,loser,round,score,winner,start_date,tournament_link,tournament_name
0,V Gerulaitis / A Panatta,F,7-6 7-6 4-6 6-3,V Amritraj / D Stockton,1977-05-02,https://matchstat.com/tennis/tournaments/m/WCT%20World%20Doubles/1977,WCT World Doubles
1,W Fibak / T Okker,SF,6-4 6-4 6-3,V Gerulaitis / A Panatta,1977-05-02,https://matchstat.com/tennis/tournaments/m/WCT%20World%20Doubles/1977,WCT World Doubles
2,C Barazzutti / E Dibbs,SF,6-4 6-2 6-2,V Amritraj / D Stockton,1977-05-02,https://matchstat.com/tennis/tournaments/m/WCT%20World%20Doubles/1977,WCT World Doubles
3,J Alexander / C Drysdale,QF,6-3 4-6 5-7 6-4 6-4,W Fibak / T Okker,1977-05-02,https://matchstat.com/tennis/tournaments/m/WCT%20World%20Doubles/1977,WCT World Doubles
4,B Martin / B Scanlon,QF,6-4 3-6 7-5 6-2,V Gerulaitis / A Panatta,1977-05-02,https://matchstat.com/tennis/tournaments/m/WCT%20World%20Doubles/1977,WCT World Doubles
5,R Moore / K Rosewall,QF,6-4 4-6 4-6 6-2 7-5,V Amritraj / D Stockton,1977-05-02,https://matchstat.com/tennis/tournaments/m/WCT%20World%20Doubles/1977,WCT World Doubles
6,R Case / T Roche,QF,3-6 6-3 7-6 6-4,C Barazzutti / E Dibbs,1977-05-02,https://matchstat.com/tennis/tournaments/m/WCT%20World%20Doubles/1977,WCT World Doubles
