,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Crealy,SF,2-6 7-5 10-8 6-2,hard,Julian Krinsky,1969-04-14,https://matchstat.com/tennis/tournaments/m/Durban/1969,Durban
1,H2H 1-0,Bob Hewitt,SF,2-6 6-4 7-5 6-1,hard,Bob Maud,1969-04-14,https://matchstat.com/tennis/tournaments/m/Durban/1969,Durban
2,H2H 2-0,Frew McMillan,QF,8-10 6-4 6-1 9-7,hard,Crealy,1969-04-14,https://matchstat.com/tennis/tournaments/m/Durban/1969,Durban
3,H2H 1-0,Peter Doerner,QF,2-6 7-5 6-2 7-5,hard,Julian Krinsky,1969-04-14,https://matchstat.com/tennis/tournaments/m/Durban/1969,Durban
4,H2H 1-2,Cliff Drysdale,QF,6-1 6-4 8-6,hard,Bob Maud,1969-04-14,https://matchstat.com/tennis/tournaments/m/Durban/1969,Durban
5,H2H 1-1,Bob Carmichael,QF,5-7 6-0 6-3 6-4,hard,Bob Hewitt,1969-04-14,https://matchstat.com/tennis/tournaments/m/Durban/1969,Durban
