,loser,round,score,winner,start_date,tournament_link,tournament_name
0,B Carmichael / T Gullikson,F,6-3 2-2 Retired,M Riessen / S Stewart,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
1,S Mayer / G Mayer,SF,6-2 6-2,B Carmichael / T Gullikson,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
2,M Edmondson / J Marks,SF,7-6 7-6,M Riessen / S Stewart,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
3,W Fibak / T Okker,QF,1-6 7-6 6-4,B Carmichael / T Gullikson,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
4,R Case / P Dent,QF,6-3 6-7 7-6,S Mayer / G Mayer,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
5,V Amaya / H Pfister,QF,6-4 6-4,M Edmondson / J Marks,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
6,B Hewitt / F McMillan,QF,6-7 6-4 6-4,M Riessen / S Stewart,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
7,W Blocher / D Bohrnstedt,R16,7-5 6-2,W Fibak / T Okker,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
8,J Bailey / B Kleege,R16,7-5 7-6,B Carmichael / T Gullikson,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
9,S Ball / R Emerson,R16,6-3 6-3,S Mayer / G Mayer,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
10,C Dibley / J James,R16,6-1 6-3,R Case / P Dent,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
11,C Lewis / B Nichols,R16,7-5 6-2,M Edmondson / J Marks,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
12,P Fleming / R Ramirez,R16,6-2 7-5,V Amaya / H Pfister,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
13,J Sadri / T Wilkison,R16,3-6 7-6 6-4,B Hewitt / F McMillan,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
14,T Leonard / J Van Linge,R16,6-7 6-2 6-4,M Riessen / S Stewart,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
15,V Amritraj / D Stockton,R32,6-3 7-5,W Fibak / T Okker,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
16,D Ditmer / B Williams,R32,4-6 7-6 7-6,W Blocher / D Bohrnstedt,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
17,G Fritz / H Fritz,R32,6-4 7-6,J Bailey / B Kleege,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
18,G Hardie / T Waltke,R32,6-3 7-6,B Carmichael / T Gullikson,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
19,D Davidson / F Stolle,R32,6-4 6-3,S Mayer / G Mayer,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
20,T Dawson / S Wedderburn,R32,7-6 6-4,S Ball / R Emerson,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
21,R Crawford / W Maze,R32,6-3 6-3,C Dibley / J James,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
22,F McNair / B Scanlon,R32,6-2 6-4,R Case / P Dent,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
23,R Fisher / M Machette,R32,2-6 6-3 7-5,M Edmondson / J Marks,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
24,S Carnahan / G Holroyd,R32,6-2 6-2,C Lewis / B Nichols,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
25,A Amritraj / H Gunthardt,R32,6-1 6-7 7-6,V Amaya / H Pfister,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
26,P Crozier / E Erck,R32,6-2 6-3,P Fleming / R Ramirez,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
27,A Amritraj / T Garcia,R32,6-4 6-3,B Hewitt / F McMillan,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
28,D Courson / C Huff,R32,6-3 6-1,J Sadri / T Wilkison,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
29,B Manson / A Pattison,R32,6-4 6-4,T Leonard / J Van Linge,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
30,J Bartlett / M Lara,R32,6-3 6-4,M Riessen / S Stewart,1979-09-10,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1979,World of Doubles
