,loser,round,score,winner,start_date,tournament_link,tournament_name
0,M Edmondson / K Warwick,F,WO,B Gottfried / R Ramirez,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
1,S Meister / C Wittus,SF,7-6 6-3,B Gottfried / R Ramirez,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
2,T Gullikson / T Gullikson,SF,7-6 6-4,M Edmondson / K Warwick,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
3,C Hooper / B Willenborg,QF,6-4 6-4,B Gottfried / R Ramirez,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
4,V Amaya / H Pfister,QF,6-3 6-4,S Meister / C Wittus,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
5,J Fitzgerald / S Krulevitz,QF,6-3 6-7 7-6,M Edmondson / K Warwick,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
6,K Curren / S Denton,QF,4-6 6-3 6-2,T Gullikson / T Gullikson,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
7,S Stewart / F Taygan,R16,6-3 7-5,C Hooper / B Willenborg,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
8,M Davis / C Dunk,R16,3-6 7-6 6-0,B Gottfried / R Ramirez,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
9,T Delatte / M Purcell,R16,6-3 1-6 6-4,V Amaya / H Pfister,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
10,T Viljoen / D Visser,R16,6-4 4-6 7-5,S Meister / C Wittus,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
11,F Sauer / S Van Der Merwe,R16,6-3 4-6 7-5,J Fitzgerald / S Krulevitz,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
12,A Pattison / B Walts,R16,7-5 7-5,M Edmondson / K Warwick,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
13,D Cahill / B Mitton,R16,7-5 6-4,T Gullikson / T Gullikson,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
14,A Andrews / J Sadri,R16,6-7 6-1 6-3,K Curren / S Denton,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
15,B Drewett / R Ycaza,R32,7-5 6-4,S Stewart / F Taygan,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
16,F Buehning / M Mitchell,R32,6-3 6-2,C Hooper / B Willenborg,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
17,B Lutz / S Smith,R32,6-2 3-6 6-4,M Davis / C Dunk,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
18,G Jones / Z Mincek,R32,6-1 6-2,B Gottfried / R Ramirez,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
19,D Gitlin / J Gurfein,R32,4-6 6-4 6-3,V Amaya / H Pfister,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
20,M Hocevar / J Soares,R32,6-4 6-3,T Delatte / M Purcell,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
21,S Giammalva / T Giammalva,R32,6-2 2-6 6-3,S Meister / C Wittus,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
22,B Prajoux / D Stockton,R32,6-3 3-6 6-3,T Viljoen / D Visser,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
23,E Edwards / L Palin,R32,6-4 6-3,J Fitzgerald / S Krulevitz,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
24,A Jarrett / J Smith,R32,6-7 6-1 6-4,F Sauer / S Van Der Merwe,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
25,M Estep / P Kronk,R32,7-5 7-6,A Pattison / B Walts,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
26,D Carter / M Doyle,R32,6-3 7-6,M Edmondson / K Warwick,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
27,M Bauer / V Winitsky,R32,6-4 4-6 6-3,T Gullikson / T Gullikson,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
28,M Dickson / M Gandolfo,R32,6-7 6-4 6-4,D Cahill / B Mitton,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
29,L Stefanki / V Hof,R32,3-6 7-6 6-4,A Andrews / J Sadri,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
30,A Fillol / J Fillol,R32,6-4 6-4,K Curren / S Denton,1982-09-13,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1982,World of Doubles
