,loser,round,score,winner,start_date,tournament_link,tournament_name
0,T Gullikson / T Gullikson,F,3-6 6-3 6-3 4-6 6-1,T Okker / M Riessen,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
1,B Hewitt / F McMillan,SF,6-3 4-6 6-2 6-4,T Okker / M Riessen,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
2,B Lutz / S Smith,SF,7-6 7-6 7-6,T Gullikson / T Gullikson,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
3,F McNair / S Stewart,QF,6-1 6-1,B Hewitt / F McMillan,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
4,G Mayer / S Menon,QF,6-1 7-6,T Okker / M Riessen,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
5,A Fillol / J Fillol,QF,6-4 6-4,B Lutz / S Smith,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
6,D Davidson / F Stolle,QF,7-5 4-6 6-3,T Gullikson / T Gullikson,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
7,J Feaver / J James,R16,6-3 3-6 6-3,B Hewitt / F McMillan,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
8,A Amritraj / V Amritraj,R16,7-6 5-7 6-4,F McNair / S Stewart,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
9,O Orantes / D Ralston,R16,6-3 7-6,T Okker / M Riessen,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
10,S Ball / K Warwick,R16,7-5 1-6 7-6,G Mayer / S Menon,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
11,R Case / G Masters,R16,6-4 6-4,A Fillol / J Fillol,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
12,M Cahill / T Moor,R16,6-1 7-6,B Lutz / S Smith,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
13,B Bertram / B Mitton,R16,2-6 6-3 6-4,D Davidson / F Stolle,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
14,B Gottfried / R Ramirez,R16,6-2 6-4,T Gullikson / T Gullikson,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
15,R Fisher / R Simpson,R32,6-4 6-1,B Hewitt / F McMillan,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
16,D Lloyd / J Lloyd,R32,6-3 7-6,J Feaver / J James,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
17,D Joubert / S Schneider,R32,6-0 6-2,A Amritraj / V Amritraj,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
18,R Drysdale / J Newcombe,R32,5-7 7-5 6-4,F McNair / S Stewart,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
19,D Bohrnstedt / M Machette,R32,7-6 6-3,T Okker / M Riessen,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
20,V Amaya / W Lofgren,R32,6-4 6-1,O Orantes / D Ralston,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
21,J Bartlett / J Marks,R32,7-6 6-4,G Mayer / S Menon,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
22,R Moore / J Yuill,R32,6-2 6-2,S Ball / K Warwick,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
23,T Dawson / G Perkins,R32,6-3 6-4,R Case / G Masters,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
24,D Couch / J Rombeau,R32,6-4 6-1,A Fillol / J Fillol,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
25,W Blocher / P Cramer,R32,4-6 6-4 6-1,M Cahill / T Moor,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
26,M Estep / J Whitlinger,R32,6-0 6-3,B Lutz / S Smith,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
27,P Kronk / C Letcher,R32,4-6 6-2 6-4,D Davidson / F Stolle,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
28,L Collins / C Walker,R32,WO,B Bertram / B Mitton,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
29,R Chavez / E Montano,R32,7-6 6-4,T Gullikson / T Gullikson,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
30,B Carmichael / B Teacher,R32,6-4 7-5,B Gottfried / R Ramirez,1977-09-12,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1977,Pro Doubles
