,loser,round,score,winner,start_date,tournament_link,tournament_name
0,M Riessen / S Stewart,F,7-6 3-6 4-6 7-6 6-3,W Fibak / T Okker,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
1,G Mayer / H Pfister,SF,6-4 6-4,M Riessen / S Stewart,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
2,B Lutz / S Smith,SF,7-6 7-6,W Fibak / T Okker,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
3,B Hewitt / F McMillan,QF,7-6 6-3,G Mayer / H Pfister,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
4,A Amritraj / C Drysdale,QF,6-2 6-2,M Riessen / S Stewart,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
5,M Edmondson / J Marks,QF,6-3 3-6 6-3,B Lutz / S Smith,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
6,W Blocher / D Bohrnstedt,QF,6-2 6-3,W Fibak / T Okker,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
7,C Dowdeswell / C Kachel,R16,7-5 7-6,B Hewitt / F McMillan,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
8,R Case / G Masters,R16,7-6 7-5,G Mayer / H Pfister,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
9,F McNair / R Ramirez,R16,3-6 6-2 6-1,A Amritraj / C Drysdale,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
10,J Borowiak / C Lewis,R16,6-7 6-2 6-4,M Riessen / S Stewart,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
11,V Amaya / J James,R16,4-6 6-4 6-2,M Edmondson / J Marks,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
12,S Ball / K Warwick,R16,3-6 6-4 6-3,B Lutz / S Smith,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
13,J Newcombe / D Stockton,R16,7-5 6-2 7-6,W Blocher / D Bohrnstedt,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
14,M Fishbach / B Mitton,R16,6-3 3-4 Retired,W Fibak / T Okker,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
15,E Alvarez / V Pecci,R32,6-2 6-4,B Hewitt / F McMillan,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
16,K Curren / P Rennert,R32,6-2 6-3,C Dowdeswell / C Kachel,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
17,B Carmichael / R Moore,R32,6-4 7-6,R Case / G Masters,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
18,D Dowlen / D Valentincic,R32,6-3 6-2,G Mayer / H Pfister,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
19,G Hardie / B Scanlon,R32,6-2 7-6,F McNair / R Ramirez,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
20,T Gullikson / T Gullikson,R32,7-6 4-6 7-6,A Amritraj / C Drysdale,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
21,C Sylvan / B Walts,R32,7-5 7-6,J Borowiak / C Lewis,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
22,P Kronk / C Letcher,R32,6-4 6-4,M Riessen / S Stewart,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
23,J Alexander / P Dent,R32,6-4 6-3,M Edmondson / J Marks,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
24,L Davidson / S Menon,R32,5-7 6-4 6-4,V Amaya / J James,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
25,A Munoz / R Ycaza,R32,7-6 6-3,S Ball / K Warwick,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
26,J Fassbender / R Taylor,R32,6-4 6-2,B Lutz / S Smith,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
27,T Leonard / M Machette,R32,7-5 6-2,J Newcombe / D Stockton,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
28,P Fleming / E Van Dillen,R32,6-4 7-6,W Blocher / D Bohrnstedt,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
29,M Cahill / T Moor,R32,7-6 7-6,M Fishbach / B Mitton,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
30,W Maze / F Taygan,R32,6-7 6-4 6-4,W Fibak / T Okker,1978-09-11,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1978,World of Doubles
