,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Ray Moore,SF,6-3 9-11 6-4 6-8 6-2,grass,T. Roche,1969-01-27,https://matchstat.com/tennis/tournaments/m/Auckland/1969,Auckland
1,H2H 2-0,B. Fairlie,SF,6-3 6-3 3-6 7-5,grass,R. Laver,1969-01-27,https://matchstat.com/tennis/tournaments/m/Auckland/1969,Auckland
2,H2H 2-1,R. Taylor,QF,6-2 1-6 6-3 6-2,grass,T. Roche,1969-01-27,https://matchstat.com/tennis/tournaments/m/Auckland/1969,Auckland
3,H2H 1-0,P. Gonzales,QF,2-6 12-10 6-4 5-7 9-7,grass,Ray Moore,1969-01-27,https://matchstat.com/tennis/tournaments/m/Auckland/1969,Auckland
4,H2H 1-1,J. Newcombe,QF,5-7 4-6 10-8 6-0 6-3,grass,B. Fairlie,1969-01-27,https://matchstat.com/tennis/tournaments/m/Auckland/1969,Auckland
5,H2H 1-0,T. Lejus,QF,6-3 4-6 4-6 6-3 7-5,grass,R. Laver,1969-01-27,https://matchstat.com/tennis/tournaments/m/Auckland/1969,Auckland
