,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-0,Martin Verkerk,12.0,7.0,5495283.0,106496.0,,,Martin Verkerk,68.0,4.0,1.0,68.0,21.0,99.0,46.0,31.0,53.0,16.0,,,194.0,164.0,212.0,2.0,167.0,62.0,37.0,F,6-1 6-3 6-2,Juan Carlos Ferrero,2.0,5.0,5495283.0,106495.0,,,Juan Carlos Ferrero,99.0,21.0,6.0,99.0,52.0,68.0,39.0,32.0,29.0,15.0,,,171.0,143.0,193.0,1.0,167.0,31.0,37.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
1,H2H 4-3,Albert Costa,6.0,7.0,5495281.0,106491.0,,,Albert Costa,99.0,4.0,2.0,95.0,34.0,115.0,63.0,42.0,52.0,23.0,,,168.0,145.0,193.0,1.0,210.0,58.0,45.0,SF,6-3 7-6(5) 6-4,Juan Carlos Ferrero,7.0,4.0,5495281.0,106492.0,,,Juan Carlos Ferrero,111.0,12.0,4.0,115.0,50.0,95.0,52.0,39.0,43.0,22.0,,,173.0,144.0,194.0,2.0,210.0,54.0,53.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
2,H2H 1-0,Guillermo Coria,1.0,3.0,5495282.0,106494.0,,,Guillermo Coria,103.0,4.0,2.0,108.0,35.0,111.0,86.0,54.0,25.0,14.0,,,151.0,134.0,186.0,2.0,219.0,54.0,31.0,SF,7-6(4) 6-4 7-6(0),Martin Verkerk,19.0,7.0,5495282.0,106493.0,,,Martin Verkerk,116.0,9.0,2.0,111.0,43.0,108.0,69.0,54.0,39.0,19.0,,,198.0,166.0,210.0,1.0,219.0,72.0,62.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
3,H2H 1-1,Tommy Robredo,4.0,6.0,5495277.0,106487.0,,,Tommy Robredo,140.0,17.0,7.0,141.0,56.0,146.0,112.0,69.0,34.0,15.0,,,150.0,137.0,188.0,1.0,287.0,98.0,62.0,QF,2-6 3-6 6-4 7-5 6-2,Albert Costa,4.0,5.0,5495277.0,106488.0,,,Albert Costa,147.0,16.0,7.0,146.0,62.0,141.0,96.0,64.0,45.0,21.0,,,170.0,152.0,196.0,2.0,287.0,78.0,48.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
4,H2H 4-3,Fernando Gonzalez,5.0,15.0,5495278.0,106490.0,,,Fernando Gonzalez,138.0,8.0,5.0,140.0,49.0,166.0,80.0,51.0,86.0,38.0,,,173.0,140.0,213.0,2.0,306.0,117.0,60.0,QF,6-1 3-6 6-1 5-7 6-4,Juan Carlos Ferrero,13.0,4.0,5495278.0,106489.0,,,Juan Carlos Ferrero,168.0,29.0,8.0,166.0,77.0,140.0,81.0,55.0,59.0,36.0,,,164.0,145.0,197.0,1.0,306.0,77.0,51.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
5,H2H 1-1,Carlos Moya,12.0,7.0,5495279.0,106486.0,,,Carlos Moya,173.0,12.0,2.0,191.0,65.0,158.0,84.0,66.0,74.0,42.0,,,185.0,141.0,215.0,2.0,349.0,78.0,83.0,QF,6-3 6-4 5-7 4-6 8-6,Martin Verkerk,27.0,12.0,5495279.0,106485.0,,,Martin Verkerk,176.0,9.0,3.0,158.0,50.0,191.0,114.0,88.0,77.0,38.0,,,199.0,164.0,215.0,1.0,349.0,89.0,97.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
6,H2H 2-5,Andre Agassi,1.0,4.0,5495280.0,106484.0,,,Andre Agassi,113.0,14.0,6.0,129.0,57.0,111.0,72.0,42.0,39.0,14.0,,,166.0,135.0,194.0,2.0,240.0,75.0,50.0,QF,4-6 6-3 6-2 6-4,Guillermo Coria,3.0,3.0,5495280.0,106483.0,,,Guillermo Coria,127.0,15.0,9.0,111.0,55.0,129.0,100.0,58.0,29.0,14.0,,,152.0,134.0,188.0,1.0,240.0,63.0,51.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
7,H2H 4-1,Gustavo Kuerten,5.0,6.0,5495269.0,106480.0,,,Gustavo Kuerten,131.0,9.0,5.0,121.0,46.0,147.0,81.0,54.0,66.0,31.0,,,167.0,137.0,197.0,2.0,268.0,92.0,57.0,R16,6-4 1-6 7-6(2) 6-4,Tommy Robredo,0.0,4.0,5495269.0,106479.0,,,Tommy Robredo,137.0,19.0,5.0,147.0,62.0,121.0,88.0,57.0,33.0,18.0,,,145.0,137.0,189.0,1.0,268.0,74.0,45.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
8,H2H 3-1,Arnaud Clement,4.0,3.0,5495270.0,106476.0,,,Arnaud Clement,108.0,14.0,2.0,114.0,43.0,118.0,58.0,36.0,60.0,29.0,,,164.0,134.0,191.0,2.0,232.0,74.0,42.0,R16,6-2 7-5 7-5,Albert Costa,11.0,2.0,5495270.0,106475.0,,,Albert Costa,124.0,15.0,6.0,118.0,53.0,114.0,73.0,51.0,41.0,20.0,,,166.0,140.0,197.0,1.0,232.0,66.0,48.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
9,H2H 8-0,Felix Mantilla,1.0,2.0,5495271.0,106482.0,,,Felix Mantilla,51.0,2.0,1.0,57.0,13.0,87.0,49.0,26.0,38.0,12.0,,,158.0,131.0,196.0,2.0,144.0,40.0,13.0,R16,6-2 6-1 6-1,Juan Carlos Ferrero,5.0,3.0,5495271.0,106481.0,,,Juan Carlos Ferrero,93.0,16.0,7.0,87.0,49.0,57.0,30.0,26.0,27.0,18.0,,,169.0,143.0,188.0,1.0,144.0,38.0,53.0,2003-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2003,FO - RG
