,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
31,,M Melo / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,2.45,QF,6-4 6-3,Hard,L Kubot / M Matkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
32,,S Groth / J Peers,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,1.65,QF,6-2 6-4,Hard,R Bopanna / F Mergea,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
33,,J Erlich / C Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,2.60,QF,7-6(0) 4-6 10-6,Hard,T Bellucci / L Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
34,,J Rojer / H Tecau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,4-6 7-6(9) 10-4,Hard,M Reid / J Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
35,,J Duckworth / J Millman,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30,1.20,R16,6-4 5-7 11-9,Hard,J Murray / B Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
36,,J Chardy / L Paes,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80,1.40,R16,6-4 6-4,Hard,M Melo / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
37,,M Lopez / A Seppi,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,1.50,R16,6-3 7-5,Hard,L Kubot / M Matkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
38,,S Bolelli / P Cuevas,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,1.67,R16,6-3 6-3,Hard,S Groth / J Peers,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
39,,D Istomin / H Kontinen,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80,1.40,R16,6-7(2) 6-3 10-8,Hard,R Bopanna / F Mergea,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
40,,T Gabashvili / M Kukushkin,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,3.40,R16,6-4 3-6 10-8,Hard,T Bellucci / L Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
41,,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,5.00,R16,7-5 7-5,Hard,J Erlich / C Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
42,H2H 1-0,Lukasz Kubot,7.0,9.0,8346959.0,3508955.0,,2.3,Lukasz Kubot,49.0,4.0,1.0,50.0,15.0,56.0,36.0,23.0,20.0,11.0,9.0,,,,,1.0,115.0,,,2.30,1.57,FQ,6-3 6-3,Hard,Alexander Sarkissian,5.0,4.0,8346959.0,3508956.0,,1.57,Alexander Sarkissian,66.0,9.0,4.0,65.0,31.0,46.0,26.0,20.0,20.0,15.0,9.0,,,,,2.0,115.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
43,H2H 1-0,Aleksandar Vukic,9.0,0.0,8346960.0,3508987.0,,2.95,Aleksandar Vukic,60.0,8.0,1.0,68.0,20.0,70.0,40.0,26.0,30.0,14.0,9.0,,,,,1.0,138.0,,,2.95,1.36,FQ,6-1 7-6(7),Hard,Maximilian Marterer,8.0,1.0,8346960.0,3508988.0,,1.36,Maximilian Marterer,78.0,5.0,3.0,70.0,30.0,67.0,48.0,33.0,19.0,15.0,10.0,,,,,2.0,138.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
44,H2H 2-0,Inigo Cervantes,20.0,7.0,8346961.0,3508986.0,,2.85,Inigo Cervantes,115.0,12.0,2.0,121.0,46.0,92.0,48.0,44.0,44.0,25.0,16.0,,,,,2.0,220.0,,,2.85,1.38,FQ,3-6 6-4 7-6(6),Hard,Mikhail Kukushkin,0.0,2.0,8346961.0,3508985.0,,1.38,Mikhail Kukushkin,105.0,6.0,2.0,99.0,30.0,119.0,86.0,59.0,33.0,16.0,15.0,,,,,1.0,220.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
45,H2H 1-1,Dusan Lajovic,6.0,4.0,8346962.0,3508992.0,,2.0,Dusan Lajovic,75.0,4.0,2.0,77.0,19.0,87.0,57.0,39.0,30.0,17.0,15.0,,,,,2.0,168.0,,,2.00,1.74,FQ,7-6(4) 3-6 6-2,Hard,Nicolas Mahut,4.0,4.0,8346962.0,3508991.0,,1.74,Nicolas Mahut,93.0,5.0,3.0,91.0,35.0,73.0,47.0,37.0,26.0,21.0,14.0,,,,,1.0,168.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
46,H2H 1-0,Blade Fong,0.0,2.0,8346476.0,3508703.0,,1.25,Blade Fong,34.0,0.0,0.0,35.0,7.0,53.0,32.0,14.0,21.0,13.0,8.0,,,,,1.0,90.0,,,1.25,3.75,SFQ,6-1 6-2,Hard,Lukasz Kubot,4.0,1.0,8346476.0,3508704.0,,3.75,Lukasz Kubot,56.0,8.0,5.0,55.0,28.0,34.0,23.0,17.0,11.0,11.0,7.0,,,,,2.0,90.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
47,H2H 1-0,Ernests Gulbis,7.0,1.0,8346477.0,3508720.0,,1.14,Ernests Gulbis,52.0,3.0,1.0,58.0,15.0,57.0,36.0,31.0,21.0,6.0,10.0,,,,,2.0,116.0,,,1.14,4.95,SFQ,6-3 7-5,Hard,Alexander Sarkissian,8.0,3.0,8346477.0,3508719.0,,4.95,Alexander Sarkissian,64.0,7.0,3.0,58.0,21.0,55.0,33.0,28.0,22.0,15.0,11.0,,,,,1.0,116.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
48,H2H 1-0,Sergiy Stakhovsky,5.0,3.0,8346478.0,3508699.0,,1.09,Sergiy Stakhovsky,82.0,6.0,2.0,86.0,30.0,78.0,52.0,36.0,26.0,16.0,14.0,,,,,1.0,167.0,,,1.09,6.30,SFQ,3-6 6-3 6-4,Hard,Aleksandar Vukic,9.0,2.0,8346478.0,3508700.0,,6.3,Aleksandar Vukic,85.0,8.0,3.0,81.0,29.0,84.0,53.0,38.0,31.0,18.0,14.0,,,,,2.0,167.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
49,H2H 1-0,Damir Dzumhur,3.0,5.0,8346479.0,3508698.0,,1.44,Damir Dzumhur,102.0,14.0,6.0,104.0,43.0,95.0,65.0,41.0,30.0,18.0,15.0,,,,,2.0,204.0,,,1.44,2.62,SFQ,7-5 1-6 7-6(2),Hard,Maximilian Marterer,7.0,6.0,8346479.0,3508697.0,,2.62,Maximilian Marterer,102.0,8.0,4.0,100.0,41.0,98.0,71.0,49.0,27.0,12.0,16.0,,,,,1.0,204.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
50,H2H 1-0,Matt Reid,22.0,5.0,8346480.0,3508716.0,,5.45,Matt Reid,112.0,5.0,1.0,117.0,38.0,107.0,65.0,54.0,42.0,20.0,17.0,,,,,2.0,229.0,,,5.45,1.12,SFQ,6-7(2) 6-4 7-6(5),Hard,Mikhail Kukushkin,9.0,1.0,8346480.0,3508715.0,,1.12,Mikhail Kukushkin,117.0,4.0,2.0,112.0,38.0,116.0,96.0,69.0,20.0,10.0,17.0,,,,,1.0,229.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
51,H2H 1-0,Luke Saville,2.0,6.0,8346481.0,3508693.0,,1.83,Luke Saville,61.0,6.0,2.0,68.0,26.0,57.0,26.0,16.0,31.0,19.0,10.0,,,,,1.0,131.0,,,1.83,1.83,SFQ,6-4 6-4,Hard,Inigo Cervantes,5.0,4.0,8346481.0,3508694.0,,1.83,Inigo Cervantes,70.0,11.0,4.0,63.0,28.0,64.0,26.0,20.0,38.0,22.0,10.0,,,,,2.0,131.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
52,H2H 2-0,Marco Cecchinato,0.0,4.0,8346482.0,3508718.0,,3.4,Marco Cecchinato,36.0,1.0,1.0,42.0,12.0,50.0,27.0,15.0,23.0,9.0,8.0,,,,,2.0,96.0,,,3.40,1.28,SFQ,6-1 6-3,Hard,Nicolas Mahut,7.0,3.0,8346482.0,3508717.0,,1.28,Nicolas Mahut,60.0,7.0,5.0,54.0,30.0,39.0,27.0,23.0,12.0,7.0,8.0,,,,,1.0,96.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
53,H2H 1-0,Mayez Jupiter Elrich,0.0,4.0,8346483.0,3508695.0,,15.0,Mayez Jupiter Elrich,29.0,2.0,1.0,43.0,12.0,38.0,22.0,10.0,16.0,7.0,7.0,,,,,1.0,85.0,,,15.00,1.01,SFQ,6-2 6-1,Hard,Dusan Lajovic,5.0,2.0,8346483.0,3508696.0,,1.01,Dusan Lajovic,56.0,9.0,5.0,42.0,25.0,41.0,23.0,18.0,18.0,13.0,8.0,,,,,2.0,85.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
