,loser,round,score,winner,start_date,tournament_link,tournament_name
0,B Lutz / S Smith,F,7-6 3-6 7-6 5-7 6-4,H Gunthardt / P McNamara,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
1,J Alexander / P Dent,SF,4-6 7-5 6-4,B Lutz / S Smith,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
2,M Cahill / T Gullikson,SF,4-6 6-2 6-3,H Gunthardt / P McNamara,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
3,F Buehning / F Taygan,QF,6-7 6-3 7-6,B Lutz / S Smith,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
4,A Amritraj / F McNair,QF,6-4 6-3,J Alexander / P Dent,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
5,M Riessen / S Stewart,QF,6-3 6-7 6-3,M Cahill / T Gullikson,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
6,H Gildemeister / A Gomez,QF,7-6 3-6 7-6,H Gunthardt / P McNamara,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
7,M Gunthardt / B Sisson,R16,6-3 6-2,B Lutz / S Smith,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
8,A Pattison / B Walts,R16,6-4 6-4,F Buehning / F Taygan,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
9,B Fritz / H Fritz,R16,6-3 4-6 6-3,A Amritraj / F McNair,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
10,G Holroyd / W Redondo,R16,6-1 6-2,J Alexander / P Dent,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
11,V Amaya / H Pfister,R16,6-3 7-6,M Cahill / T Gullikson,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
12,M Fishbach / S Schneider,R16,6-4 6-3,M Riessen / S Stewart,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
13,T Gullikson / B Mitton,R16,6-4 6-7 6-1,H Gildemeister / A Gomez,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
14,J James / R Meyer,R16,6-4 6-4,H Gunthardt / P McNamara,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
15,R Case / B Drewett,R32,6-1 4-6 6-3,B Lutz / S Smith,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
16,T Delatte / M Mitchell,R32,2-6 7-6 6-4,M Gunthardt / B Sisson,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
17,F Gonzalez / R Moore,R32,6-1 6-4,A Pattison / B Walts,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
18,C Edwards / E Edwards,R32,6-3 6-3,F Buehning / F Taygan,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
19,B Gottfried / R Ramirez,R32,6-3 3-6 6-3,A Amritraj / F McNair,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
20,S Meister / C Wittus,R32,7-6 3-6 6-3,B Fritz / H Fritz,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
21,M Cox / G Jones,R32,6-2 6-1,G Holroyd / W Redondo,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
22,K Curren / S Denton,R32,2-6 7-6 6-1,J Alexander / P Dent,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
23,M Edmondson / M Estep,R32,6-7 6-4 7-5,V Amaya / H Pfister,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
24,S Ball / C Letcher,R32,6-3 3-6 6-3,M Cahill / T Gullikson,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
25,C Sylvan / S Wedderburn,R32,6-3 6-2,M Fishbach / S Schneider,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
26,M Davis / C Dunk,R32,6-4 3-6 7-6,M Riessen / S Stewart,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
27,D Carter / P Kronk,R32,6-2 6-4,H Gildemeister / A Gomez,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
28,B Manson / D Stockton,R32,7-5 6-0,T Gullikson / B Mitton,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
29,A Fillol / N Saviano,R32,6-7 6-3 7-5,J James / R Meyer,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
30,P Hjertquist / S Krulevitz,R32,6-4 6-2,H Gunthardt / P McNamara,1981-09-14,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1981,World of Doubles
