,loser,round,score,winner,start_date,tournament_link,tournament_name
0,P Dent / S Stone,F,6-1 6-4 5-7 7-6,B Gottfried / R Ramirez,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
1,F McNair / S Stewart,SF,7-6 6-3 4-6 4-6 7-5,B Gottfried / R Ramirez,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
2,I El Shafei / B Fairlie,SF,7-6 7-6 6-7 6-3,P Dent / S Stone,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
3,A Ashe / D Ralston,QF,6-1 6-3,B Gottfried / R Ramirez,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
4,B Bengtson / M Mcmanus,QF,7-5 6-4,F McNair / S Stewart,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
5,B Lutz / S Smith,QF,6-3 4-6 6-3,I El Shafei / B Fairlie,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
6,S Ball / R Drysdale,QF,6-4 6-3,P Dent / S Stone,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
7,R Case / G Masters,R16,6-0 6-0,B Gottfried / R Ramirez,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
8,W Brown / S Menon,R16,6-1 6-7 6-3,A Ashe / D Ralston,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
9,E Alvarez / T Gorman,R16,3-6 6-4 6-1,F McNair / S Stewart,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
10,C Bovett / J Rombeau,R16,6-4 6-2,B Bengtson / M Mcmanus,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
11,D Bohrnstedt / M Machette,R16,6-4 7-5,I El Shafei / B Fairlie,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
12,J Newcombe / T Roche,R16,7-6 6-7 6-1,B Lutz / S Smith,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
13,H Rahim / K Warwick,R16,6-2 6-4,S Ball / R Drysdale,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
14,B Hewitt / F McMillan,R16,6-4 7-6,P Dent / S Stone,1976-09-13,https://matchstat.com/tennis/tournaments/m/Pro%20Doubles/1976,Pro Doubles
