,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-1,Mark Philippoussis,14.0,4.0,5500368.0,106864.0,,,Mark Philippoussis,87.0,0.0,0.0,93.0,19.0,102.0,70.0,54.0,32.0,14.0,,,197.0,173.0,222.0,2.0,195.0,17.0,37.0,F,7-6(5) 6-2 7-6(3),Roger Federer,21.0,2.0,5500368.0,106863.0,,,Roger Federer,108.0,5.0,2.0,102.0,34.0,93.0,53.0,47.0,40.0,27.0,,,186.0,157.0,199.0,1.0,195.0,9.0,50.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
1,H2H 21-3,Andy Roddick,4.0,,5500366.0,106859.0,,,Andy Roddick,80.0,2.0,0.0,84.0,17.0,99.0,57.0,42.0,42.0,21.0,,,196.0,164.0,220.0,1.0,183.0,10.0,24.0,SF,7-6(6) 6-3 6-3,Roger Federer,17.0,,5500366.0,106860.0,,,Roger Federer,103.0,8.0,3.0,99.0,36.0,84.0,53.0,44.0,31.0,23.0,,,186.0,157.0,202.0,2.0,183.0,12.0,61.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
2,H2H 4-3,Sebastien Grosjean,5.0,2.0,5500367.0,106861.0,,,Sebastien Grosjean,78.0,2.0,0.0,85.0,19.0,89.0,45.0,35.0,44.0,24.0,,,178.0,139.0,201.0,1.0,174.0,11.0,23.0,SF,7-6(3) 6-3 6-3,Mark Philippoussis,11.0,3.0,5500367.0,106862.0,,,Mark Philippoussis,96.0,8.0,3.0,89.0,30.0,85.0,47.0,42.0,38.0,24.0,,,191.0,173.0,210.0,2.0,174.0,13.0,36.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
3,H2H 5-2,Jonas Bjorkman,4.0,6.0,5500362.0,106853.0,,,Jonas Bjorkman,70.0,1.0,1.0,70.0,15.0,92.0,56.0,40.0,36.0,15.0,,,188.0,160.0,207.0,1.0,162.0,17.0,24.0,QF,6-4 6-2 6-4,Andy Roddick,13.0,1.0,5500362.0,106854.0,,,Andy Roddick,92.0,11.0,5.0,92.0,37.0,70.0,50.0,44.0,20.0,11.0,,,197.0,165.0,215.0,2.0,162.0,8.0,42.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
4,H2H 5-1,Sjeng Schalken,1.0,2.0,5500363.0,106858.0,,,Sjeng Schalken,84.0,4.0,1.0,92.0,27.0,102.0,72.0,44.0,30.0,13.0,,,164.0,148.0,180.0,2.0,194.0,21.0,33.0,QF,6-3 6-4 6-4,Roger Federer,13.0,5.0,5500363.0,106857.0,,,Roger Federer,110.0,11.0,4.0,102.0,45.0,92.0,62.0,50.0,30.0,15.0,,,181.0,156.0,204.0,1.0,194.0,8.0,40.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
5,H2H 3-4,Tim Henman,2.0,5.0,5500364.0,106851.0,,,Tim Henman,122.0,11.0,5.0,124.0,43.0,138.0,82.0,49.0,56.0,30.0,,,178.0,151.0,196.0,1.0,262.0,24.0,34.0,QF,7-6(8) 6-3 3-6 6-4,Sebastien Grosjean,12.0,1.0,5500364.0,106852.0,,,Sebastien Grosjean,140.0,9.0,6.0,138.0,59.0,124.0,71.0,53.0,53.0,28.0,,,185.0,143.0,205.0,2.0,262.0,13.0,56.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
6,H2H 1-0,Alexander Popp,14.0,9.0,5500365.0,106855.0,,,Alexander Popp,145.0,7.0,2.0,137.0,32.0,176.0,108.0,83.0,68.0,30.0,,,189.0,162.0,202.0,1.0,313.0,31.0,54.0,QF,4-6 4-6 6-3 6-3 8-6,Mark Philippoussis,34.0,7.0,5500365.0,106856.0,,,Mark Philippoussis,168.0,19.0,4.0,176.0,63.0,137.0,90.0,80.0,47.0,25.0,,,197.0,176.0,213.0,2.0,313.0,22.0,68.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
7,H2H 10-1,Max Mirnyi,14.0,5.0,5500354.0,106843.0,,,Max Mirnyi,134.0,9.0,3.0,138.0,49.0,134.0,79.0,58.0,55.0,27.0,,,196.0,170.0,209.0,1.0,272.0,17.0,49.0,R16,6-4 3-6 6-3 7-6(4),Jonas Bjorkman,9.0,6.0,5500354.0,106844.0,,,Jonas Bjorkman,138.0,12.0,4.0,134.0,49.0,138.0,93.0,69.0,45.0,20.0,,,183.0,152.0,202.0,2.0,272.0,23.0,64.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
8,H2H 7-1,Paradorn Srichaphan,6.0,2.0,5500355.0,106835.0,,,Paradorn Srichaphan,92.0,7.0,1.0,102.0,26.0,105.0,71.0,49.0,34.0,17.0,,,185.0,154.0,205.0,1.0,207.0,23.0,30.0,R16,6-4 3-6 6-3 6-2,Andy Roddick,14.0,2.0,5500355.0,106836.0,,,Andy Roddick,115.0,8.0,4.0,105.0,39.0,102.0,64.0,56.0,38.0,20.0,,,202.0,165.0,225.0,2.0,207.0,11.0,39.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
9,H2H 12-0,Feliciano Lopez,12.0,3.0,5500356.0,106842.0,,,Feliciano Lopez,114.0,6.0,3.0,104.0,39.0,127.0,79.0,50.0,48.0,25.0,,,193.0,167.0,213.0,2.0,231.0,21.0,48.0,R16,7-6(5) 6-4 6-4,Roger Federer,9.0,2.0,5500356.0,106841.0,,,Roger Federer,117.0,18.0,5.0,127.0,52.0,104.0,69.0,48.0,35.0,17.0,,,176.0,152.0,201.0,1.0,231.0,11.0,41.0,2003-06-23,https://matchstat.com/tennis/tournaments/m/Wimbledon/2003,Wimbledon
