,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
81,H2H 2-0,Tomas Behrend,6.0,8.0,5513511.0,106906.0,,,Tomas Behrend,102.0,10.0,2.0,103.0,28.0,131.0,83.0,54.0,48.0,20.0,,,,,,2.0,234.0,,,R128,5-7 6-3 6-2 6-3,Tomas Berdych,23.0,4.0,5513511.0,106905.0,,,Tomas Berdych,132.0,23.0,6.0,131.0,57.0,103.0,61.0,49.0,42.0,26.0,,,,,,1.0,234.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
82,H2H 1-0,Roko Karanusic,4.0,3.0,5513512.0,106953.0,,,Roko Karanusic,90.0,7.0,1.0,99.0,27.0,96.0,56.0,41.0,40.0,22.0,,,,,,1.0,195.0,,,R128,6-4 7-6(2) 6-3,Juan Ignacio Chela,7.0,7.0,5513512.0,106954.0,,,Juan Ignacio Chela,105.0,12.0,3.0,96.0,33.0,99.0,60.0,52.0,39.0,20.0,,,,,,2.0,195.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
83,H2H 1-0,Ivan Miranda,2.0,1.0,5513513.0,106882.0,,,Ivan Miranda,73.0,1.0,0.0,77.0,20.0,98.0,55.0,33.0,43.0,20.0,,,,,,2.0,175.0,,,R128,6-4 6-3 6-1,Wayne Ferreira,8.0,3.0,5513513.0,106881.0,,,Wayne Ferreira,102.0,12.0,5.0,98.0,45.0,77.0,43.0,37.0,34.0,20.0,,,,,,1.0,175.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
84,H2H 4-1,David Ferrer,0.0,8.0,5513514.0,780232.0,,,David Ferrer,76.0,4.0,2.0,87.0,33.0,92.0,52.0,25.0,40.0,18.0,,,165.0,133.0,186.0,1.0,179.0,57.0,22.0,R128,6-2 6-3 6-3,Robby Ginepri,4.0,4.0,5513514.0,780233.0,,,Robby Ginepri,103.0,14.0,7.0,92.0,49.0,87.0,52.0,29.0,35.0,25.0,,,172.0,141.0,199.0,2.0,179.0,31.0,19.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
85,H2H 1-0,Robert Yim,2.0,7.0,5513515.0,106873.0,,,Robert Yim,68.0,3.0,2.0,83.0,23.0,83.0,39.0,24.0,44.0,21.0,,,156.0,144.0,180.0,1.0,166.0,32.0,12.0,R128,6-1 7-6(7) 6-2,Todd Martin,12.0,5.0,5513515.0,106874.0,,,Todd Martin,98.0,9.0,6.0,83.0,38.0,83.0,47.0,38.0,36.0,22.0,,,170.0,151.0,196.0,2.0,166.0,30.0,31.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
86,H2H 1-0,Alex Bogomolov Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,R128,7-6(4) 4-6 3-6 7-6(9) 1-0 Retired,Martin Verkerk,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
87,H2H 4-1,Cyril Saulnier,9.0,8.0,5513517.0,106914.0,,,Cyril Saulnier,116.0,7.0,3.0,115.0,36.0,133.0,63.0,45.0,70.0,35.0,,,186.0,143.0,199.0,2.0,248.0,53.0,29.0,R128,2-6 6-2 6-3 7-6(4),Paradorn Srichaphan,13.0,8.0,5513517.0,106913.0,,,Paradorn Srichaphan,132.0,13.0,4.0,133.0,53.0,115.0,53.0,45.0,62.0,34.0,,,188.0,149.0,207.0,1.0,248.0,42.0,33.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
88,H2H 1-0,Justin Gimelstob,5.0,8.0,5513518.0,106929.0,,,Justin Gimelstob,72.0,2.0,1.0,78.0,23.0,89.0,45.0,33.0,44.0,16.0,,,,,,1.0,167.0,,,R128,6-3 6-4 6-2,Dominik Hrbaty,6.0,4.0,5513518.0,106930.0,,,Dominik Hrbaty,95.0,11.0,5.0,89.0,40.0,78.0,44.0,38.0,34.0,17.0,,,,,,2.0,167.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
89,H2H 1-1,Ruben Ramirez Hidalgo,9.0,10.0,5513519.0,780234.0,,,Ruben Ramirez Hidalgo,106.0,11.0,3.0,115.0,39.0,128.0,67.0,45.0,61.0,22.0,,,,,,1.0,243.0,,,R128,4-6 6-0 3-6 6-1 6-1,Davide Sanguinetti,6.0,4.0,5513519.0,780235.0,,,Davide Sanguinetti,137.0,13.0,9.0,128.0,61.0,115.0,63.0,47.0,52.0,29.0,,,,,,2.0,243.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
90,H2H 5-6,Tommy Robredo,0.0,8.0,5513520.0,106886.0,,,Tommy Robredo,68.0,4.0,1.0,75.0,17.0,95.0,54.0,30.0,41.0,21.0,,,,,,2.0,170.0,,,R128,6-3 6-4 6-2,Fernando Verdasco,7.0,6.0,5513520.0,106885.0,,,Fernando Verdasco,102.0,13.0,5.0,95.0,44.0,75.0,41.0,35.0,34.0,23.0,,,,,,1.0,170.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
91,H2H 9-3,Feliciano Lopez,7.0,6.0,5513521.0,106927.0,,,Feliciano Lopez,76.0,4.0,1.0,77.0,18.0,95.0,45.0,34.0,50.0,24.0,,,,,,1.0,172.0,,,R128,6-4 6-4 6-4,Radek Stepanek,10.0,2.0,5513521.0,106928.0,,,Radek Stepanek,96.0,7.0,4.0,95.0,37.0,77.0,49.0,41.0,28.0,18.0,,,,,,2.0,172.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
92,H2H 1-2,Julien Benneteau,4.0,5.0,5513522.0,106933.0,,,Julien Benneteau,97.0,13.0,5.0,103.0,42.0,102.0,64.0,38.0,38.0,17.0,,,,,,1.0,205.0,,,R128,0-6 7-5 6-2 6-2,Fabrice Santoro,5.0,4.0,5513522.0,106934.0,,,Fabrice Santoro,108.0,12.0,7.0,102.0,47.0,103.0,74.0,47.0,29.0,14.0,,,,,,2.0,205.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
93,H2H 2-2,Vladimir Voltchkov,12.0,8.0,5513523.0,106890.0,,,Vladimir Voltchkov,76.0,2.0,1.0,86.0,20.0,99.0,59.0,42.0,40.0,14.0,,,,,,2.0,185.0,,,R128,6-3 6-4 7-6(3),Hyung-Taik Lee,5.0,3.0,5513523.0,106889.0,,,Hyung-Taik Lee,109.0,8.0,3.0,99.0,43.0,86.0,55.0,41.0,31.0,25.0,,,,,,1.0,185.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
94,H2H 1-0,Victor Hanescu,2.0,4.0,5513524.0,106867.0,,,Victor Hanescu,59.0,1.0,1.0,58.0,12.0,89.0,59.0,35.0,30.0,12.0,,,165.0,138.0,194.0,1.0,147.0,32.0,17.0,R128,6-3 6-2 6-2,Lleyton Hewitt,3.0,2.0,5513524.0,106868.0,,,Lleyton Hewitt,88.0,12.0,7.0,89.0,42.0,58.0,31.0,26.0,27.0,20.0,,,170.0,136.0,193.0,2.0,147.0,16.0,26.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
95,H2H 3-3,Wayne Arthurs,20.0,5.0,5513525.0,106944.0,,,Wayne Arthurs,94.0,4.0,1.0,98.0,24.0,113.0,67.0,48.0,46.0,22.0,,,181.0,162.0,217.0,2.0,211.0,22.0,47.0,R128,4-6 6-3 6-2 6-4,Rainer Schuettler,7.0,3.0,5513525.0,106943.0,,,Rainer Schuettler,117.0,13.0,4.0,113.0,43.0,98.0,65.0,51.0,33.0,23.0,,,162.0,139.0,197.0,1.0,211.0,9.0,35.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
96,H2H 1-0,Franco Squillari,1.0,6.0,5513526.0,106940.0,,,Franco Squillari,24.0,0.0,0.0,35.0,6.0,38.0,16.0,13.0,22.0,5.0,,,172.0,151.0,189.0,2.0,73.0,24.0,5.0,R128,6-3 5-0 Retired,Nicolas Kiefer,2.0,2.0,5513526.0,106939.0,,,Nicolas Kiefer,49.0,4.0,4.0,38.0,20.0,35.0,14.0,13.0,21.0,16.0,,,183.0,139.0,204.0,1.0,73.0,10.0,10.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
97,H2H 2-1,Olivier Mutis,1.0,6.0,5513527.0,106937.0,,,Olivier Mutis,50.0,5.0,2.0,65.0,21.0,76.0,29.0,16.0,47.0,13.0,,,,,,1.0,141.0,,,R128,6-0 6-3 6-1,Alberto Martin,3.0,8.0,5513527.0,106938.0,,,Alberto Martin,91.0,12.0,9.0,76.0,47.0,65.0,39.0,30.0,26.0,14.0,,,,,,2.0,141.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
98,H2H 1-0,Raemon Sluiter,9.0,10.0,5513528.0,106941.0,,,Raemon Sluiter,130.0,6.0,4.0,129.0,47.0,126.0,77.0,60.0,49.0,23.0,,,180.0,151.0,201.0,1.0,255.0,56.0,54.0,R128,7-6(5) 7-6(3) 2-6 6-3,Albert Costa,12.0,3.0,5513528.0,106942.0,,,Albert Costa,125.0,9.0,3.0,126.0,43.0,129.0,78.0,52.0,51.0,30.0,,,180.0,143.0,201.0,2.0,255.0,26.0,34.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
99,H2H 1-0,Felix Mantilla,1.0,2.0,5513529.0,106925.0,,,Felix Mantilla,76.0,3.0,0.0,83.0,19.0,88.0,56.0,39.0,32.0,18.0,,,,,,1.0,171.0,,,R128,6-4 6-4 6-4,Ivo Karlovic,24.0,5.0,5513529.0,106926.0,,,Ivo Karlovic,95.0,7.0,3.0,88.0,31.0,83.0,48.0,40.0,35.0,24.0,,,,,,2.0,171.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
100,H2H 1-0,Jeff Salzenstein,5.0,3.0,5513530.0,106921.0,,,Jeff Salzenstein,70.0,2.0,0.0,91.0,23.0,75.0,50.0,36.0,25.0,11.0,,,186.0,148.0,212.0,1.0,166.0,30.0,24.0,R128,6-1 7-6(4) 6-3,Hicham Arazi,2.0,1.0,5513530.0,106922.0,,,Hicham Arazi,96.0,3.0,3.0,75.0,28.0,91.0,60.0,47.0,31.0,21.0,,,160.0,133.0,189.0,2.0,166.0,16.0,30.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
101,H2H 1-0,Luis Horna,8.0,10.0,5513531.0,106951.0,,,Luis Horna,136.0,8.0,7.0,125.0,45.0,162.0,92.0,60.0,70.0,31.0,,,,,,1.0,287.0,,,R128,6-4 4-6 3-6 7-5 6-1,Lars Burgsmuller,20.0,8.0,5513531.0,106952.0,,,Lars Burgsmuller,151.0,19.0,9.0,162.0,71.0,125.0,67.0,47.0,58.0,33.0,,,,,,2.0,287.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
102,H2H 3-1,Julien Boutter,4.0,8.0,5513532.0,106945.0,,,Julien Boutter,60.0,0.0,0.0,71.0,19.0,75.0,39.0,22.0,36.0,19.0,,,176.0,159.0,199.0,1.0,146.0,45.0,17.0,R128,6-2 6-3 6-2,Sjeng Schalken,3.0,1.0,5513532.0,106946.0,,,Sjeng Schalken,86.0,12.0,5.0,75.0,34.0,71.0,49.0,35.0,22.0,17.0,,,164.0,138.0,180.0,2.0,146.0,17.0,19.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
