,loser,round,score,winner,start_date,tournament_link,tournament_name
0,P Pala / P Vizner,F,6-7(6) 7-6(2) 6-4 6-4,E Ferreira / R Leach,2002-01-28,https://matchstat.com/tennis/tournaments/m/ATP%20Doubles%20Challenge%20Cup/2002,ATP Doubles Challenge Cup
1,D Johnson / J Palmer,SF,6-4 6-1,P Pala / P Vizner,2002-01-28,https://matchstat.com/tennis/tournaments/m/ATP%20Doubles%20Challenge%20Cup/2002,ATP Doubles Challenge Cup
2,M Knowles / B MacPhie,SF,6-2 6-4,E Ferreira / R Leach,2002-01-28,https://matchstat.com/tennis/tournaments/m/ATP%20Doubles%20Challenge%20Cup/2002,ATP Doubles Challenge Cup
