,loser,round,score,winner,start_date,tournament_link,tournament_name
0,W Fibak / T Okker,F,6-3 7-6 6-1,P Fleming / J McEnroe,1980-01-07,https://matchstat.com/tennis/tournaments/m/ATP%20Finals%20Doubles/1980,ATP Finals Doubles
1,M Edmondson / J Marks,SF,7-6 6-7 6-3,P Fleming / J McEnroe,1980-01-07,https://matchstat.com/tennis/tournaments/m/ATP%20Finals%20Doubles/1980,ATP Finals Doubles
2,M Riessen / S Stewart,SF,6-2 7-6,W Fibak / T Okker,1980-01-07,https://matchstat.com/tennis/tournaments/m/ATP%20Finals%20Doubles/1980,ATP Finals Doubles
