,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,surface,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
0,H2H 2-1,Alize Cornet,1.0,3.0,8475480.0,3623126.0,,3.25,Alize Cornet,34.0,0.0,0.0,45.0,13.0,47.0,24.0,15.0,23.0,6.0,8.0,,,,,2.0,95.0,,,3.25,1.36,F,6-0 6-3,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Karolina Pliskova,7.0,0.0,8475480.0,3623125.0,,1.36,Karolina Pliskova,61.0,8.0,5.0,50.0,29.0,45.0,21.0,19.0,24.0,13.0,7.0,,,,,1.0,95.0,,
1,H2H 5-2,Elina Svitolina,1.0,6.0,8475404.0,3622881.0,,2.3,Elina Svitolina,43.0,3.0,0.0,52.0,14.0,44.0,30.0,23.0,14.0,6.0,9.0,,,,,1.0,102.0,,,2.30,1.61,SF,6-2 6-4,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Karolina Pliskova,7.0,3.0,8475404.0,3622882.0,,1.61,Karolina Pliskova,59.0,7.0,3.0,50.0,21.0,49.0,28.0,27.0,21.0,11.0,9.0,,,,,2.0,102.0,,
2,H2H 1-2,Garbine Muguruza,0.0,3.0,8475386.0,3622859.0,,1.31,Garbine Muguruza,16.0,2.0,0.0,17.0,4.0,21.0,13.0,9.0,8.0,3.0,2.0,,,,,1.0,41.0,,,1.31,3.45,SF,4-1 Ret.,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Alize Cornet,0.0,1.0,8475386.0,3622860.0,,3.45,Alize Cornet,25.0,3.0,1.0,24.0,12.0,16.0,11.0,9.0,5.0,4.0,3.0,,,,,2.0,41.0,,
3,H2H 7-5,Angelique Kerber,1.0,5.0,8475291.0,3622775.0,,1.33,Angelique Kerber,88.0,7.0,4.0,84.0,34.0,97.0,69.0,38.0,28.0,16.0,14.0,,,,,1.0,186.0,,,1.33,3.25,QF,6-4 3-6 6-3,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Elina Svitolina,7.0,1.0,8475291.0,3622776.0,,3.25,Elina Svitolina,98.0,12.0,5.0,102.0,48.0,83.0,56.0,34.0,27.0,16.0,14.0,,,,,2.0,186.0,,
4,H2H 1-2,Roberta Vinci,6.0,4.0,8475265.0,3622706.0,,3.15,Roberta Vinci,78.0,7.0,2.0,74.0,26.0,97.0,53.0,29.0,44.0,23.0,13.0,,,,,2.0,175.0,,,3.15,1.35,QF,3-6 6-2 6-2,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Karolina Pliskova,11.0,3.0,8475265.0,3622705.0,,1.35,Karolina Pliskova,97.0,18.0,5.0,101.0,49.0,71.0,37.0,30.0,34.0,18.0,12.0,,,,,1.0,175.0,,
5,H2H 5-1,Svetlana Kuznetsova,5.0,5.0,8475307.0,3622737.0,,1.8,Svetlana Kuznetsova,69.0,6.0,2.0,74.0,29.0,67.0,32.0,21.0,35.0,19.0,11.0,,,,,1.0,146.0,,,1.80,2.00,QF,7-5 6-4,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Garbine Muguruza,1.0,2.0,8475307.0,3622738.0,,2.0,Garbine Muguruza,77.0,9.0,4.0,72.0,32.0,72.0,52.0,38.0,20.0,7.0,11.0,,,,,2.0,146.0,,
6,H2H 3-7,Dominika Cibulkova,0.0,3.0,8475266.0,3622704.0,,1.38,Dominika Cibulkova,72.0,11.0,3.0,78.0,34.0,72.0,47.0,25.0,25.0,13.0,10.0,,,,,2.0,153.0,,,1.38,3.00,QF,6-3 7-5,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Alize Cornet,6.0,10.0,8475266.0,3622703.0,,3.0,Alize Cornet,81.0,9.0,5.0,75.0,37.0,68.0,42.0,29.0,26.0,15.0,11.0,,,,,1.0,153.0,,
7,H2H 2-1,Ashleigh Barty,3.0,2.0,8474833.0,3622388.0,,5.35,Ashleigh Barty,86.0,10.0,3.0,93.0,40.0,79.0,49.0,32.0,30.0,14.0,13.0,,,,,2.0,174.0,,,5.35,1.14,R16,6-3 2-6 6-3,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Angelique Kerber,5.0,9.0,8474833.0,3622387.0,,1.14,Angelique Kerber,88.0,10.0,4.0,81.0,35.0,84.0,55.0,34.0,29.0,19.0,13.0,,,,,1.0,174.0,,
8,H2H 3-0,Shelby Rogers,3.0,3.0,8475100.0,3622299.0,,4.35,Shelby Rogers,92.0,9.0,6.0,91.0,39.0,97.0,59.0,34.0,38.0,19.0,16.0,,,,,1.0,191.0,,,4.35,1.22,R16,7-5 2-6 7-5,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Elina Svitolina,4.0,3.0,8475100.0,3622300.0,,1.22,Elina Svitolina,99.0,11.0,6.0,100.0,47.0,88.0,50.0,32.0,38.0,20.0,16.0,,,,,2.0,191.0,,
9,H2H 1-0,Asia Muhammad,2.0,3.0,8475155.0,3622316.0,,6.85,Asia Muhammad,45.0,1.0,1.0,49.0,16.0,58.0,41.0,24.0,17.0,5.0,9.0,,,,,2.0,110.0,,,6.85,1.10,R16,6-1 6-4,2017-01-02,Hard,https://matchstat.com/tennis/tournaments/w/Brisbane/2017,Brisbane,Karolina Pliskova,4.0,3.0,8475155.0,3622315.0,,1.1,Karolina Pliskova,65.0,5.0,5.0,61.0,32.0,46.0,26.0,20.0,20.0,13.0,8.0,,,,,1.0,110.0,,
