,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 8-8,Pam Shriver,F,6-2 6-4,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Zina Garrison-Jackson
1,H2H 6-2,Wendy Turnbull,SF,6-3 6-4,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Zina Garrison-Jackson
2,H2H 7-2,Manuela Maleeva-Fragniere,SF,6-3 6-3,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Pam Shriver
3,H2H 4-1,Lori McNeil,QF,6-4 7-5,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Wendy Turnbull
4,H2H 3-6,Helena Sukova,QF,6-3 6-1,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Zina Garrison-Jackson
5,H2H 4-0,Etsuko Inoue,QF,4-6 6-2 6-2,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Manuela Maleeva-Fragniere
6,H2H 3-3,Catarina Lindqvist,QF,6-4 6-2,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Pam Shriver
7,H2H 6-8,Hana Mandlikova,R16,6-3 7-5,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Wendy Turnbull
8,H2H 5-2,Elise Burgin,R16,6-1 4-6 6-2,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Lori McNeil
9,H2H 1-0,Anna-Maria Fernandez,R16,5-3 Retired,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Helena Sukova
10,H2H 5-1,Camille Benjamin,R16,6-4 6-2,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Zina Garrison-Jackson
11,H2H 2-1,Anne Smith,R16,7-5 6-1,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Manuela Maleeva-Fragniere
12,H2H 3-5,Anne Minter,R16,6-4 2-6 6-4,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Etsuko Inoue
13,H2H 4-0,Dianne  Van Rensburg,R16,7-5 7-5,1987-01-05,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1987,Sydney,Catarina Lindqvist
