,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
0,H2H 9-2,Evonne Cawley,F,6-3 6-3,clay,Billie Jean King,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
1,H2H 1-1,Helga Masthoff,SF,6-4 6-4,clay,Billie Jean King,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
2,H2H 4-0,Francoise Durr,SF,9-7 6-4,clay,Evonne Cawley,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
3,H2H 1-0,Katja Ebbinghaus,QF,6-3 8-6,clay,Helga Masthoff,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
4,H2H 7-0,Virginia Wade,QF,6-1 6-3,clay,Billie Jean King,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
5,H2H 1-2,Olga Morozova,QF,4-6 6-3 6-2,clay,Francoise Durr,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
6,H2H 2-0,Corinne Molesworth,QF,6-2 6-2,clay,Evonne Cawley,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
7,H2H 1-0,Gail Lovera Benedetti,R16,6-3 4-6 6-2,clay,Katja Ebbinghaus,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
8,H2H 1-0,Helen Gourlay,R16,8-6 6-3,clay,Helga Masthoff,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
9,H2H 1-0,Valerie Ziegenfuss,R16,6-3 6-1,clay,Billie Jean King,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
10,H2H 3-0,Mona Guerrant,R16,6-4 9-7,clay,Virginia Wade,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
11,H2H 1-0,Wendy Overton,R16,6-3 7-5,clay,Francoise Durr,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
12,H2H 1-0,Laura Rossouw,R16,6-2 8-6,clay,Olga Morozova,1972-05-22,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1972,FO - RG
