,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
37,,M Harper / K Sands,QF,6-2 6-3,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,L Allen / A White
38,,J Russell / P Shriver,R16,7-6 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,H Mandlikova / H Sukova
39,,I Kloss / Y Vermaak,R16,7-6 6-7 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Gadusek / C Jolissaint
40,,L Bonder-Kreiss / A Jaeger,R16,6-0 3-6 6-1,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,C Benjamin / S Collins
41,,T Holladay / K Shaefer,R16,4-6 6-1 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Potter / S Walsh-pete
42,,C Bassett-Seguso / K Horvath,R16,6-4 2-6 6-2,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,L Antonoplis / B Jordan
43,,Z Garrison-jackson / L McNeil,R16,6-4 7-6,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,B Bunge / E Pfaff
44,,C Kohde-Kilsch / P Paradis-Mangon,R16,7-6 6-4,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,M Harper / K Sands
45,,A Hobbs / W Turnbull,R16,6-4 7-5,1984-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1984,Washington,L Allen / A White
46,H2H 2-0,Pam Teeguarden,F,6-2 6-1,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Jenny Klitch
47,H2H 2-0,Kathleen Cummings,SF,6-3 6-1,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Jenny Klitch
48,H2H 1-0,Sandra Cecchini,SF,6-1 4-6 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Pam Teeguarden
49,H2H 1-0,Nathalie Herreman,QF,4-6 6-4 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Jenny Klitch
50,H2H 1-0,Lucia Romanov,QF,3-6 6-1 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Kathleen Cummings
51,H2H 1-0,Marie-Christine Calleja,QF,6-2 5-7 6-4,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Pam Teeguarden
52,H2H 1-0,Trey Lewis,QF,3-6 6-4 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Sandra Cecchini
53,H2H 1-0,Mary-Lou Daniels,R16,6-1 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Nathalie Herreman
54,H2H 2-0,Felicia Raschiatore,R16,6-3 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Jenny Klitch
55,H2H 2-0,Amy Holton,R16,6-4 6-4,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Kathleen Cummings
56,H2H 1-1,Vicki Nelson-Dunbar,R16,6-2 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Lucia Romanov
57,H2H 1-0,Kathrin Keil,R16,7-6 7-6,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Marie-Christine Calleja
58,H2H 1-0,Nancy Yeargin,R16,2-6 7-5 6-4,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Pam Teeguarden
59,H2H 1-0,Rina Einy,R16,6-7 6-1 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Trey Lewis
60,H2H 2-0,Emilse Rapponi-Longo,R16,6-7 6-4 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Sandra Cecchini
61,H2H 1-0,Sabrina Goles,R32,2-6 7-5 6-4,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Mary-Lou Daniels
62,H2H 1-1,Amanda Brown,R32,6-4 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Nathalie Herreman
