,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 8-2,Andrea Jaeger,F,6-2 6-2,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Tracy Austin
1,H2H 7-5,Wendy Turnbull,SF,6-2 6-1,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Tracy Austin
2,H2H 4-11,Martina Navratilova,SF,6-4 4-6 6-1,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Andrea Jaeger
3,H2H 6-8,Hana Mandlikova,QF,4-6 6-3 6-3,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Wendy Turnbull
4,H2H 3-14,Chris Evert,QF,WO,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Andrea Jaeger
5,H2H 5-2,Hana Mandlikova,R16,6-3 6-0,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Tracy Austin
6,H2H 11-10,Pam Shriver,R16,7-5 7-5,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Wendy Turnbull
7,H2H 8-1,Virginia Ruzici,R16,3-6 6-2 7-6,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Andrea Jaeger
8,H2H 37-22,Chris Evert,R16,WO,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Martina Navratilova
9,H2H 13-0,Virginia Ruzici,R32,6-0 6-3,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Tracy Austin
10,H2H 28-3,Wendy Turnbull,R32,6-2 6-4,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,Martina Navratilova
11,,K Jordan / A Smith,SF,6-3 1-6 6-4,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,P Smith / C Reynolds
12,,B Stove / P Shriver,SF,6-4 6-4,1981-01-05,carpet,https://matchstat.com/tennis/tournaments/w/Landover/1981,Landover,R Casals / W Turnbull
13,H2H 4-11,Martina Navratilova,F,3-6 6-3 7-5,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Andrea Jaeger
14,H2H 18-0,Barbara Potter,SF,6-3 6-2,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Martina Navratilova
15,H2H 8-1,Virginia Ruzici,SF,6-2 6-3,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Andrea Jaeger
16,H2H 9-0,Kate Latham,QF,6-3 6-2,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Martina Navratilova
17,H2H 5-1,Sandy Collins,QF,6-3 6-3,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Barbara Potter
18,H2H 9-3,Mima Jausovec,QF,6-3 6-4,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Virginia Ruzici
19,H2H 9-2,Sylvia Hanika,QF,6-2 7-5,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Andrea Jaeger
20,H2H 4-0,Sherry Acker,R16,6-4 6-2,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Martina Navratilova
21,H2H 4-0,Pam Teeguarden,R16,6-4 6-4,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Kate Latham
22,H2H 4-4,Wendy Turnbull,R16,7-6 6-0,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Barbara Potter
23,H2H 1-1,Virginia Wade,R16,6-4 6-0,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Sandy Collins
24,H2H 2-0,Susan Mascarin,R16,6-1 3-6 6-2,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Mima Jausovec
25,H2H 2-0,Kathleen Cummings,R16,6-2 6-4,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Virginia Ruzici
26,H2H 4-1,Mareen Harper,R16,6-3 6-0,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Sylvia Hanika
27,H2H 7-1,Joanne Russell,R16,6-1 6-1,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Andrea Jaeger
28,H2H 21-1,Anne Smith,R32,6-3 6-1,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Martina Navratilova
29,H2H 1-1,Wendy Prausa,R32,6-4 3-6 6-2,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Sherry Acker
30,H2H 2-1,Ann Kiyomura,R32,6-4 4-6 7-5,1981-01-12,carpet,https://matchstat.com/tennis/tournaments/w/Kansas%20City/1981,Kansas City,Kate Latham
