,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
0,H2H 5-0,Onny Parun,F,6-4 6-3 6-1,Bjorn Borg,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
1,H2H 2-0,Ross Case,SF,7-5 6-3 6-1,Onny Parun,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
2,H2H 4-0,Colin Dibley,SF,6-2 6-7 6-4 6-1,Bjorn Borg,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
3,H2H 1-0,Syd Ball,QF,7-5 5-7 4-6 6-2 6-4,Onny Parun,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
4,H2H 1-0,Stone,QF,6-7 2-6 7-5 6-1 6-2,Ross Case,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
5,H2H 1-0,Crealy,QF,5-7 6-2 7-6 6-1,Bjorn Borg,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
6,H2H 2-0,Bob Giltinan,QF,4-6 6-1 6-3 2-6 6-3,Colin Dibley,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
7,H2H 1-1,R. Ruffels,R16,6-2 3-6 6-3 6-2,Onny Parun,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
8,H2H 2-1,Russell Simpson,R16,6-3 6-3 Retired,Syd Ball,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
9,H2H 1-1,Vladimir Zednik,R16,6-4 5-7 7-6 6-3,Stone,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
10,H2H 2-0,Wanaro N'Godrella,R16,6-3 7-6 7-6,Ross Case,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
11,H2H 3-0,John Feaver,R16,6-4 6-2 3-6 6-2,Bjorn Borg,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
12,H2H 1-0,Ian Fletcher,R16,6-4 7-6 6-3,Crealy,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
13,H2H 1-0,Larry Parker,R16,6-1 7-6 6-1,Bob Giltinan,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
14,H2H 1-0,William Brown,R16,1-6 6-1 7-6 6-3,Colin Dibley,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
15,H2H 1-0,Wayne Bryan,R32,6-1 6-2 6-4,Onny Parun,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
16,H2H 1-0,Thierry Bernasconi,R32,6-1 6-1 5-7 7-6,R. Ruffels,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
17,H2H 1-0,John Lloyd,R32,6-1 6-0 7-6,Syd Ball,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
18,H2H 1-1,George Hardie,R32,7-6 3-6 6-4 6-3,Russell Simpson,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
19,H2H 1-1,Anthony Parun,R32,6-3 6-3 7-6,Vladimir Zednik,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
20,H2H 1-0,John Mills,R32,6-2 6-7 6-4 6-3,Stone,1974-01-14,https://matchstat.com/tennis/tournaments/m/Auckland/1974,Auckland,hard
