,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
0,H2H 1-0,Andrei Chesnokov,F,6-3 6-4,John Fitzgerald,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
1,H2H 1-0,Christo Van Rensburg,SF,6-3 7-6,Andrei Chesnokov,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
2,H2H 1-1,Joey Rive,SF,6-4 3-6 6-1,John Fitzgerald,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
3,H2H 2-1,Alexander Volkov,QF,6-0 4-6 7-5,Christo Van Rensburg,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
4,H2H 2-0,Darren Cahill,QF,6-3 7-5,Andrei Chesnokov,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
5,H2H 1-0,Barry Moir,QF,6-0 6-1,John Fitzgerald,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
6,H2H 2-0,Brad Drewett,QF,6-4 6-2,Joey Rive,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
7,H2H 4-0,Simon Youl,R16,6-4 6-3,Christo Van Rensburg,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
8,H2H 1-0,Massimiliano Narducci,R16,6-1 3-0 Retired,Alexander Volkov,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
9,H2H 2-0,Chris Pridham,R16,6-2 7-5,Andrei Chesnokov,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
10,H2H 1-0,Andrew Castle,R16,7-6 6-3,Darren Cahill,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
11,H2H 1-0,Roger Smith,R16,3-6 7-6 6-2,John Fitzgerald,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
12,H2H 1-0,Peter Doohan,R16,7-5 6-4,Barry Moir,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
13,H2H 1-0,Andrei Olhovskiy,R16,6-2 6-7 7-6,Joey Rive,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
14,H2H 2-1,Marc Flur,R16,6-2 6-4,Brad Drewett,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
15,H2H 1-1,Johan Anderson,R32,7-5 6-3,Christo Van Rensburg,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
16,H2H 1-0,Jerome Potier,R32,7-6 6-4,Simon Youl,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
17,H2H 1-0,Rick Leach,R32,7-6 7-5,Alexander Volkov,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
18,H2H 1-0,Tom Nijssen,R32,4-6 6-4 6-4,Massimiliano Narducci,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
19,H2H 1-0,Danie Visser,R32,6-3 6-3,Andrei Chesnokov,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
20,H2H 1-0,Tony Mmoh,R32,7-6 7-6,Chris Pridham,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
21,H2H 1-0,Roberto Saad,R32,6-2 7-6,Andrew Castle,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
22,H2H 2-0,Paul Chamberlin,R32,6-3 4-6 6-3,Darren Cahill,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
23,H2H 1-0,Richard Schmidt,R32,3-6 7-5 6-3,John Fitzgerald,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
24,H2H 1-0,Eddie Edwards,R32,6-4 6-3,Roger Smith,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
25,H2H 1-0,Todd Woodbridge,R32,6-3 6-1,Barry Moir,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
26,H2H 1-0,Gianluca Pozzi,R32,7-6 6-7 6-3,Peter Doohan,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
27,H2H 1-1,Stephen Shaw,R32,7-6 7-6,Joey Rive,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
28,H2H 1-0,Huub Van Boeckel,R32,6-2 7-5,Andrei Olhovskiy,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
29,H2H 1-1,Jason Stoltenberg,R32,6-4 7-6,Brad Drewett,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
30,H2H 2-2,Wally Masur,R32,6-4 6-4,Marc Flur,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
31,,J Rive / B Schultz,F,7-6 6-4,D Cahill / M Kratzmann,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
32,,M Flur / T Siegel,SF,7-6 6-3,J Rive / B Schultz,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
33,,B Drewett / M Edmondson,SF,7-6 6-4,D Cahill / M Kratzmann,1988-01-04,https://matchstat.com/tennis/tournaments/m/Sydney/1988,Sydney,grass
