,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner,surface
0,H2H 1-1,Olivier Delaitre,F,6-3 6-1,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Richey Reneberg,hard
1,H2H 2-0,Chris Pridham,SF,6-1 6-1,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Richey Reneberg,hard
2,H2H 3-1,Paul Haarhuis,SF,3-6 6-1 6-4,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Olivier Delaitre,hard
3,H2H 1-1,Ronald Agenor,QF,7-6 6-3,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Richey Reneberg,hard
4,H2H 1-0,Fabrice Santoro,QF,6-2 1-6 7-6,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Chris Pridham,hard
5,H2H 3-1,David Prinosil,QF,6-2 6-3,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Paul Haarhuis,hard
6,H2H 2-0,Lars Jonsson,QF,6-0 5-7 6-4,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Olivier Delaitre,hard
7,H2H 1-1,Christo Van Rensburg,R16,6-2 1-6 7-6,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Ronald Agenor,hard
8,H2H 6-0,Jacco Eltingh,R16,6-4 6-1,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Richey Reneberg,hard
9,H2H 5-0,Guillaume Raoux,R16,6-4 6-2,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Fabrice Santoro,hard
10,H2H 1-1,Alexander Mronz,R16,6-4 7-5,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Chris Pridham,hard
11,H2H 1-0,Bent-Ove Pedersen,R16,6-4 6-3,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,David Prinosil,hard
12,H2H 1-0,Rikard Bergh,R16,7-5 2-6 7-5,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Paul Haarhuis,hard
13,H2H 1-0,Leonardo Lavalle,R16,6-3 6-1,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Olivier Delaitre,hard
14,H2H 3-0,Lars Koslowski,R16,6-4 6-2,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Lars Jonsson,hard
15,H2H 3-0,Henrik Holm,R32,6-2 7-5,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Christo Van Rensburg,hard
16,H2H 2-1,Diego Perez,R32,7-5 6-0,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Ronald Agenor,hard
17,H2H 1-0,Ramayah Ramachandran,R32,6-1 6-0,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Richey Reneberg,hard
18,H2H 2-0,Sander Groen,R32,6-2 6-4,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Jacco Eltingh,hard
19,H2H 1-0,Adam Malik,R32,7-5 7-6,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Fabrice Santoro,hard
20,H2H 2-0,Jan Apell,R32,6-4 6-3,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Guillaume Raoux,hard
21,H2H 1-0,Daniel Vacek,R32,6-2 6-3,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Chris Pridham,hard
22,H2H 1-0,Rodolphe Gilbert,R32,6-4 6-1,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Alexander Mronz,hard
23,H2H 2-3,Jeff Tarango,R32,6-2 3-6 7-5,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,David Prinosil,hard
24,H2H 1-1,Francisco Montana,R32,6-2 7-5,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Bent-Ove Pedersen,hard
25,H2H 1-0,Benny Wijaya,R32,7-6 6-4,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Rikard Bergh,hard
26,H2H 1-0,Andrew Sznajder,R32,7-5 1-6 6-1,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Paul Haarhuis,hard
27,H2H 2-0,Chris Wilkinson,R32,6-4 6-4,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Olivier Delaitre,hard
28,H2H 3-1,Christian Saceanu,R32,6-3 3-6 6-2,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Leonardo Lavalle,hard
29,H2H 1-1,Brad Pearce,R32,4-6 6-0 6-1,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Lars Jonsson,hard
30,H2H 1-0,Carl-Uwe Steeb,R32,2-6 6-4 7-6,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,Lars Koslowski,hard
31,,H Holm / B Pedersen,F,7-5 6-3,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,J Eltingh / P Haarhuis,hard
32,,R Benson / A Malik,SF,6-3 6-4,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,J Eltingh / P Haarhuis,hard
33,,T Kempers / M Oosting,SF,6-3 6-2,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,H Holm / B Pedersen,hard
34,,L Lavalle / C Van Rensburg,QF,6-1 6-3,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,J Eltingh / P Haarhuis,hard
35,,R Bathman / R Bergh,QF,4-6 6-4 7-6,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,R Benson / A Malik,hard
36,,B Pearce / B Talbot,QF,7-6 6-7 6-4,1993-01-04,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur%201/1993,Kuala Lumpur 1,T Kempers / M Oosting,hard
