,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name,surface
0,H2H 2-9,Roger Federer,7.0,3.0,8346968.0,3508933.0,,1.32,Roger Federer,57.0,1.0,0.0,60.0,18.0,58.0,34.0,25.0,24.0,14.0,10.0,,,,,1.0,121.0,,,1.32,3.55,F,6-4 6-4,Milos Raonic,6.0,6.0,8346968.0,3508934.0,,3.55,Milos Raonic,64.0,5.0,2.0,61.0,22.0,54.0,34.0,28.0,20.0,14.0,10.0,,,,,2.0,121.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
1,H2H 1-2,Dominic Thiem,2.0,4.0,8346574.0,3508736.0,,7.75,Dominic Thiem,41.0,1.0,1.0,49.0,14.0,51.0,31.0,18.0,20.0,9.0,8.0,,,,,2.0,104.0,,,7.75,1.08,SF,6-1 6-4,Roger Federer,6.0,0.0,8346574.0,3508735.0,,1.08,Roger Federer,63.0,6.0,4.0,55.0,28.0,49.0,27.0,23.0,22.0,12.0,9.0,,,,,1.0,104.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
2,H2H 3-0,Bernard Tomic,10.0,3.0,8346498.0,3508638.0,,2.35,Bernard Tomic,77.0,4.0,0.0,79.0,20.0,81.0,54.0,41.0,27.0,16.0,12.0,,,,,2.0,163.0,,,2.35,1.61,SF,7-6(5) 7-6(5),Milos Raonic,13.0,3.0,8346498.0,3508637.0,,1.61,Milos Raonic,86.0,2.0,0.0,84.0,27.0,76.0,49.0,40.0,27.0,19.0,12.0,,,,,1.0,163.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
3,H2H 5-0,Grigor Dimitrov,8.0,2.0,8346356.0,3508506.0,,5.1,Grigor Dimitrov,86.0,1.0,1.0,83.0,19.0,102.0,62.0,46.0,40.0,21.0,16.0,,,,,2.0,187.0,,,5.1,1.17,QF,6-4 6-7(4) 6-4,Roger Federer,7.0,1.0,8346356.0,3508505.0,,1.17,Roger Federer,101.0,11.0,3.0,104.0,37.0,82.0,52.0,45.0,30.0,19.0,16.0,,,,,1.0,187.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
4,H2H 1-0,Marin Cilic,11.0,2.0,8346292.0,3508279.0,,1.44,Marin Cilic,91.0,2.0,2.0,84.0,23.0,96.0,52.0,41.0,44.0,27.0,15.0,,,,,1.0,182.0,,,1.44,2.62,QF,2-6 7-6(4) 6-4,Dominic Thiem,6.0,0.0,8346292.0,3508280.0,,2.62,Dominic Thiem,91.0,8.0,1.0,98.0,30.0,84.0,55.0,41.0,29.0,20.0,15.0,,,,,2.0,182.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
5,H2H 2-0,Lucas Pouille,6.0,4.0,8346341.0,3508471.0,,4.85,Lucas Pouille,55.0,1.0,1.0,52.0,13.0,69.0,43.0,33.0,26.0,9.0,10.0,,,,,1.0,125.0,,,4.85,1.17,QF,6-4 6-4,Milos Raonic,12.0,4.0,8346341.0,3508472.0,,1.17,Milos Raonic,70.0,8.0,3.0,73.0,31.0,48.0,29.0,27.0,19.0,12.0,10.0,,,,,2.0,125.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
6,H2H 1-2,Kei Nishikori,5.0,3.0,8346293.0,3508340.0,,1.34,Kei Nishikori,89.0,11.0,3.0,97.0,39.0,81.0,52.0,35.0,29.0,15.0,12.0,,,,,2.0,181.0,,,1.34,3.1,QF,6-3 1-6 6-3,Bernard Tomic,14.0,1.0,8346293.0,3508339.0,,3.1,Bernard Tomic,92.0,10.0,3.0,84.0,34.0,96.0,62.0,45.0,34.0,13.0,13.0,,,,,1.0,181.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
7,H2H 2-0,Tobias Kamke,2.0,4.0,8345534.0,3507948.0,,12.0,Tobias Kamke,31.0,1.0,0.0,40.0,10.0,42.0,27.0,15.0,15.0,6.0,8.0,,,,,2.0,86.0,,,12.0,1.02,R16,6-2 6-1,Roger Federer,2.0,1.0,8345534.0,3507947.0,,1.02,Roger Federer,55.0,6.0,5.0,46.0,25.0,39.0,22.0,18.0,17.0,12.0,7.0,,,,,1.0,86.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
8,H2H 2-2,Viktor Troicki,9.0,1.0,8346094.0,3508033.0,,3.2,Viktor Troicki,115.0,7.0,2.0,117.0,41.0,119.0,76.0,51.0,43.0,23.0,16.0,,,,,1.0,237.0,,,3.2,1.33,R16,5-7 7-6(6) 6-2,Grigor Dimitrov,9.0,4.0,8346094.0,3508034.0,,1.33,Grigor Dimitrov,122.0,9.0,3.0,120.0,46.0,113.0,70.0,51.0,43.0,25.0,16.0,,,,,2.0,237.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
9,H2H 3-0,Hyeon Chung,5.0,2.0,8345535.0,3507974.0,,3.25,Hyeon Chung,75.0,6.0,2.0,77.0,24.0,77.0,50.0,36.0,27.0,15.0,12.0,,,,,2.0,156.0,,,3.25,1.33,R16,7-5 7-6(3),Marin Cilic,18.0,3.0,8345535.0,3507973.0,,1.33,Marin Cilic,81.0,9.0,3.0,79.0,28.0,74.0,44.0,37.0,30.0,16.0,12.0,,,,,1.0,156.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
10,H2H 1-0,Denis Kudla,0.0,2.0,8346095.0,3508113.0,,2.85,Denis Kudla,36.0,0.0,0.0,45.0,9.0,46.0,27.0,19.0,19.0,8.0,8.0,,,,,1.0,93.0,,,2.85,1.4,R16,6-3 6-2,Dominic Thiem,7.0,1.0,8346095.0,3508114.0,,1.4,Dominic Thiem,57.0,5.0,3.0,48.0,21.0,44.0,33.0,28.0,11.0,8.0,9.0,,,,,2.0,93.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
11,H2H 2-0,David Goffin,9.0,1.0,8346225.0,3508141.0,,1.16,David Goffin,97.0,11.0,2.0,106.0,37.0,91.0,50.0,40.0,41.0,20.0,16.0,,,,,1.0,198.0,,,1.16,5.05,R16,7-6(5) 4-6 6-3,Lucas Pouille,13.0,4.0,8346225.0,3508142.0,,5.05,Lucas Pouille,101.0,4.0,3.0,92.0,32.0,102.0,57.0,45.0,45.0,24.0,15.0,,,,,2.0,198.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
12,H2H 2-2,Ivan Dodig,11.0,2.0,8345536.0,3508117.0,,3.8,Ivan Dodig,96.0,3.0,0.0,106.0,32.0,98.0,66.0,47.0,32.0,17.0,14.0,,,,,1.0,206.0,,,3.8,1.25,R16,6-7(2) 6-1 6-4,Milos Raonic,17.0,5.0,8345536.0,3508118.0,,1.25,Milos Raonic,110.0,10.0,3.0,100.0,36.0,101.0,62.0,51.0,39.0,23.0,15.0,,,,,2.0,206.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
13,H2H 1-3,Radek Stepanek,14.0,5.0,8346244.0,3508172.0,,3.5,Radek Stepanek,113.0,6.0,3.0,114.0,41.0,102.0,66.0,54.0,36.0,18.0,17.0,,,,,2.0,221.0,,,3.5,1.28,R16,7-6(6) 4-6 7-6(4),Bernard Tomic,19.0,1.0,8346244.0,3508171.0,,1.28,Bernard Tomic,108.0,6.0,2.0,107.0,35.0,113.0,78.0,56.0,35.0,17.0,17.0,,,,,1.0,221.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
14,H2H 7-0,Mikhail Kukushkin,3.0,0.0,8345537.0,3508169.0,,5.45,Mikhail Kukushkin,52.0,6.0,1.0,61.0,19.0,58.0,36.0,23.0,22.0,10.0,9.0,,,,,1.0,119.0,,,5.45,1.14,R16,6-3 6-4,Kei Nishikori,5.0,2.0,8345537.0,3508170.0,,1.14,Kei Nishikori,67.0,7.0,3.0,58.0,25.0,59.0,40.0,29.0,19.0,13.0,10.0,,,,,2.0,119.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
15,H2H 1-0,Benjamin Mitchell,4.0,3.0,8345519.0,3507735.0,,2.0,Benjamin Mitchell,51.0,0.0,0.0,59.0,17.0,56.0,37.0,24.0,19.0,10.0,9.0,,,,,1.0,118.0,,,2.0,1.77,R32,6-2 6-4,Tobias Kamke,1.0,0.0,8345519.0,3507736.0,,1.77,Tobias Kamke,67.0,8.0,3.0,59.0,25.0,59.0,36.0,29.0,23.0,13.0,9.0,,,,,2.0,118.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
16,H2H 1-0,Steve Johnson,3.0,0.0,8345520.0,3507302.0,,1.95,Steve Johnson,49.0,3.0,2.0,56.0,15.0,62.0,33.0,20.0,29.0,14.0,9.0,,,,,2.0,118.0,,,1.95,1.8,R32,7-6(3) 6-1,Viktor Troicki,3.0,2.0,8345520.0,3507301.0,,1.8,Viktor Troicki,69.0,8.0,4.0,62.0,28.0,54.0,34.0,28.0,20.0,13.0,10.0,,,,,1.0,118.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
17,H2H 1-5,Gilles Simon,2.0,3.0,8345521.0,3507294.0,,1.8,Gilles Simon,79.0,7.0,1.0,81.0,27.0,88.0,55.0,36.0,33.0,16.0,10.0,,,,,2.0,172.0,,,1.8,1.95,R32,6-3 7-6(10),Grigor Dimitrov,8.0,6.0,8345521.0,3507293.0,,1.95,Grigor Dimitrov,93.0,5.0,2.0,91.0,39.0,75.0,46.0,36.0,29.0,18.0,11.0,,,,,1.0,172.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
18,H2H 1-1,Sam Groth,11.0,3.0,8345523.0,3507304.0,,2.4,Sam Groth,73.0,4.0,2.0,73.0,24.0,81.0,52.0,39.0,29.0,10.0,11.0,,,,,2.0,157.0,,,2.4,1.56,R32,7-6(8) 6-4,Hyeon Chung,2.0,3.0,8345523.0,3507303.0,,1.56,Hyeon Chung,84.0,11.0,3.0,84.0,35.0,70.0,48.0,35.0,22.0,14.0,11.0,,,,,1.0,157.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
19,H2H 6-1,John-Patrick Smith,8.0,3.0,8345524.0,3507295.0,,2.45,John-Patrick Smith,68.0,5.0,1.0,73.0,18.0,82.0,40.0,25.0,42.0,25.0,13.0,,,,,1.0,158.0,,,2.45,1.51,R32,4-6 6-3 6-2,Denis Kudla,2.0,3.0,8345524.0,3507296.0,,1.51,Denis Kudla,90.0,8.0,3.0,85.0,35.0,70.0,44.0,36.0,26.0,19.0,14.0,,,,,2.0,158.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
20,H2H 1-1,James Duckworth,14.0,1.0,8345525.0,3507297.0,,3.75,James Duckworth,82.0,4.0,2.0,80.0,24.0,92.0,42.0,32.0,50.0,26.0,14.0,,,,,1.0,173.0,,,3.75,1.25,R32,3-6 6-4 6-3,Dominic Thiem,4.0,2.0,8345525.0,3507298.0,,1.25,Dominic Thiem,91.0,9.0,3.0,93.0,35.0,78.0,48.0,35.0,30.0,21.0,14.0,,,,,2.0,173.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
21,H2H 2-1,Thomaz Bellucci,7.0,2.0,8345526.0,3507300.0,,3.9,Thomaz Bellucci,58.0,2.0,1.0,57.0,18.0,64.0,40.0,25.0,24.0,15.0,10.0,,,,,2.0,123.0,,,3.9,1.24,R32,6-4 6-4,David Goffin,3.0,4.0,8345526.0,3507299.0,,1.24,David Goffin,65.0,10.0,3.0,66.0,26.0,53.0,30.0,23.0,23.0,16.0,10.0,,,,,1.0,123.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
22,H2H 1-0,Yoshihito Nishioka,4.0,3.0,8345527.0,3507755.0,,1.67,Yoshihito Nishioka,99.0,4.0,2.0,95.0,27.0,117.0,64.0,42.0,53.0,30.0,15.0,,,,,1.0,215.0,,,1.67,2.15,R32,4-6 6-3 7-5,Lucas Pouille,17.0,2.0,8345527.0,3507756.0,,2.15,Lucas Pouille,116.0,15.0,3.0,120.0,48.0,93.0,64.0,53.0,29.0,15.0,16.0,,,,,2.0,215.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
23,H2H 1-0,Oliver Anderson,3.0,1.0,8345528.0,3507754.0,,7.75,Oliver Anderson,43.0,0.0,0.0,49.0,12.0,51.0,30.0,22.0,21.0,9.0,8.0,,,,,2.0,101.0,,,7.75,1.07,R32,6-3 6-2,Ivan Dodig,11.0,2.0,8345528.0,3507753.0,,1.07,Ivan Dodig,58.0,6.0,3.0,52.0,21.0,47.0,30.0,24.0,17.0,13.0,9.0,,,,,1.0,101.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
24,H2H 1-2,Nicolas Mahut,4.0,1.0,8345530.0,3507288.0,,3.95,Nicolas Mahut,48.0,5.0,1.0,59.0,17.0,49.0,29.0,21.0,20.0,10.0,9.0,,,,,2.0,109.0,,,3.95,1.23,R32,6-4 6-3,Bernard Tomic,8.0,0.0,8345530.0,3507287.0,,1.23,Bernard Tomic,61.0,6.0,3.0,50.0,19.0,59.0,34.0,28.0,25.0,14.0,10.0,,,,,1.0,109.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
25,H2H 2-0,Dusan Lajovic,0.0,2.0,8345531.0,3507286.0,,1.69,Dusan Lajovic,37.0,2.0,0.0,48.0,14.0,44.0,25.0,15.0,19.0,8.0,7.0,,,,,2.0,94.0,,,1.69,2.15,R32,6-0 6-3,Radek Stepanek,3.0,2.0,8345531.0,3507285.0,,2.15,Radek Stepanek,57.0,8.0,4.0,46.0,23.0,46.0,25.0,18.0,21.0,16.0,8.0,,,,,1.0,94.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
26,H2H 4-5,Denis Istomin,6.0,0.0,8345532.0,3507289.0,,1.8,Denis Istomin,54.0,3.0,0.0,67.0,20.0,53.0,32.0,22.0,21.0,12.0,10.0,,,,,1.0,120.0,,,1.8,2.0,R32,6-2 7-5,Mikhail Kukushkin,1.0,3.0,8345532.0,3507290.0,,2.0,Mikhail Kukushkin,66.0,7.0,3.0,53.0,19.0,64.0,36.0,27.0,28.0,20.0,10.0,,,,,2.0,120.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
27,,J Duckworth / C Guccione,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.5,F,7-6(4) 6-1,H Kontinen / J Peers,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
28,,G Dimitrov / K Nishikori,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.5,SF,WO,J Duckworth / C Guccione,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
29,,D Inglot / R Lindstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.95,SF,6-4 6-3,H Kontinen / J Peers,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
30,,P Herbert / N Mahut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,4-6 6-1 10-7,G Dimitrov / K Nishikori,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
31,,L Kubot / M Matkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,3.55,QF,3-6 6-3 10-4,J Duckworth / C Guccione,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
32,,M Reid / J Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,7-6(0) 6-2,D Inglot / R Lindstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
33,,I Dodig / S Groth,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.88,QF,7-6(2) 6-3,H Kontinen / J Peers,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
34,,T Bellucci / S Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 3-6 13-11,P Herbert / N Mahut,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
35,,L Dlouhy / D Thiem,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.37,R16,7-6(5) 6-2,G Dimitrov / K Nishikori,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
36,,J Marray / A Qureshi,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.5,R16,6-3 6-4,L Kubot / M Matkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
37,,L Pouille / G Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,1.57,R16,2-6 6-2 10-2,J Duckworth / C Guccione,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
38,,M Pavic / M Venus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(1) 6-4,M Reid / J Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
39,,E Butorac / S Lipsky,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.5,R16,7-6(5) 4-6 10-7,D Inglot / R Lindstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
40,,D Lajovic / V Troicki,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,1.25,R16,6-3 3-6 10-3,I Dodig / S Groth,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
41,,D Nestor / R Stepanek,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,2.05,R16,6-3 6-3,H Kontinen / J Peers,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
42,H2H 1-0,Ernests Gulbis,16.0,5.0,8345715.0,3507393.0,,1.4,Ernests Gulbis,56.0,1.0,0.0,59.0,17.0,59.0,40.0,31.0,19.0,8.0,9.0,,,,,1.0,123.0,,,1.4,2.75,FQ,6-3 6-4,Yoshihito Nishioka,0.0,2.0,8345715.0,3507394.0,,2.75,Yoshihito Nishioka,67.0,5.0,2.0,64.0,25.0,57.0,36.0,27.0,21.0,15.0,10.0,,,,,2.0,123.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
43,H2H 2-0,Jared Donaldson,8.0,2.0,8345716.0,3507396.0,,3.0,Jared Donaldson,74.0,2.0,1.0,73.0,16.0,87.0,54.0,38.0,33.0,20.0,14.0,,,,,2.0,162.0,,,3.0,1.36,FQ,6-3 3-6 6-4,Ivan Dodig,8.0,3.0,8345716.0,3507395.0,,1.36,Ivan Dodig,88.0,7.0,2.0,89.0,31.0,70.0,40.0,34.0,30.0,23.0,14.0,,,,,1.0,162.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
44,H2H 2-0,Jurgen Zopp,2.0,1.0,8345717.0,3507409.0,,1.63,Jurgen Zopp,43.0,3.0,1.0,54.0,19.0,47.0,32.0,17.0,15.0,7.0,8.0,,,,,1.0,102.0,,,1.63,2.2,FQ,6-3 6-2,Tobias Kamke,2.0,1.0,8345717.0,3507410.0,,2.2,Tobias Kamke,59.0,6.0,4.0,48.0,24.0,53.0,35.0,22.0,18.0,13.0,9.0,,,,,2.0,102.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
45,H2H 1-0,Tim Smyczek,12.0,5.0,8345718.0,3507391.0,,1.08,Tim Smyczek,101.0,6.0,3.0,110.0,41.0,99.0,62.0,41.0,37.0,19.0,16.0,,,,,1.0,214.0,,,1.08,7.0,FQ,6-7(3) 7-6(1) 6-2,Oliver Anderson,8.0,2.0,8345718.0,3507392.0,,7.0,Oliver Anderson,113.0,7.0,5.0,104.0,44.0,108.0,65.0,44.0,43.0,25.0,16.0,,,,,2.0,214.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
46,H2H 1-0,Marius Copil,9.0,1.0,8345576.0,3507236.0,,3.1,Marius Copil,41.0,0.0,0.0,48.0,10.0,47.0,31.0,23.0,16.0,8.0,9.0,,,,,2.0,96.0,,,3.1,1.35,SFQ,6-4 6-2,Ernests Gulbis,9.0,1.0,8345576.0,3507235.0,,1.35,Ernests Gulbis,55.0,6.0,3.0,48.0,17.0,47.0,26.0,22.0,21.0,16.0,9.0,,,,,1.0,96.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
47,H2H 1-0,Lukasz Kubot,0.0,8.0,8345577.0,3507233.0,,2.6,Lukasz Kubot,35.0,4.0,0.0,51.0,17.0,35.0,25.0,15.0,10.0,3.0,7.0,,,,,1.0,94.0,,,2.6,1.48,SFQ,6-2 6-0,Yoshihito Nishioka,4.0,0.0,8345577.0,3507234.0,,1.48,Yoshihito Nishioka,59.0,8.0,5.0,43.0,25.0,51.0,35.0,26.0,16.0,8.0,7.0,,,,,2.0,94.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
48,H2H 1-0,Omar Jasika,0.0,5.0,8345578.0,3507242.0,,5.15,Omar Jasika,38.0,1.0,0.0,50.0,14.0,45.0,28.0,16.0,17.0,8.0,8.0,,,,,2.0,100.0,,,5.15,1.15,SFQ,6-1 6-3,Ivan Dodig,8.0,2.0,8345578.0,3507241.0,,1.15,Ivan Dodig,62.0,7.0,4.0,50.0,26.0,48.0,34.0,27.0,14.0,9.0,8.0,,,,,1.0,100.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
49,H2H 1-0,Pierre-Hugues Herbert,11.0,6.0,8345579.0,3507239.0,,1.5,Pierre-Hugues Herbert,81.0,3.0,2.0,72.0,23.0,87.0,52.0,41.0,35.0,17.0,14.0,,,,,1.0,165.0,,,1.5,2.5,SFQ,3-6 6-3 6-4,Jared Donaldson,3.0,3.0,8345579.0,3507240.0,,2.5,Jared Donaldson,84.0,9.0,3.0,93.0,35.0,69.0,40.0,34.0,29.0,15.0,14.0,,,,,2.0,165.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
50,H2H 1-2,Thiemo de Bakker,10.0,0.0,8345580.0,3507243.0,,1.56,Thiemo de Bakker,64.0,3.0,1.0,67.0,18.0,70.0,44.0,30.0,26.0,16.0,11.0,,,,,1.0,137.0,,,1.56,2.4,SFQ,6-4 7-6(3),Jurgen Zopp,5.0,1.0,8345580.0,3507244.0,,2.4,Jurgen Zopp,73.0,4.0,2.0,70.0,24.0,66.0,43.0,35.0,23.0,14.0,11.0,,,,,2.0,137.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
51,H2H 1-0,Norbert Gombos,5.0,10.0,8345581.0,3507246.0,,1.74,Norbert Gombos,52.0,4.0,2.0,59.0,21.0,46.0,37.0,24.0,9.0,7.0,10.0,,,,,2.0,115.0,,,1.74,2.05,SFQ,6-2 7-5,Tobias Kamke,1.0,4.0,8345581.0,3507245.0,,2.05,Tobias Kamke,63.0,8.0,5.0,56.0,25.0,55.0,27.0,21.0,28.0,17.0,10.0,,,,,1.0,115.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
52,H2H 2-1,Matt Reid,10.0,4.0,8345582.0,3507248.0,,3.95,Matt Reid,100.0,10.0,2.0,113.0,40.0,94.0,53.0,38.0,41.0,22.0,14.0,,,,,2.0,211.0,,,3.95,1.23,SFQ,6-3 6-7(5) 6-3,Tim Smyczek,8.0,3.0,8345582.0,3507247.0,,1.23,Tim Smyczek,111.0,7.0,4.0,98.0,38.0,110.0,86.0,60.0,24.0,13.0,16.0,,,,,1.0,211.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
53,H2H 1-0,Dennis Novikov,11.0,4.0,8345583.0,3507250.0,,1.15,Dennis Novikov,92.0,5.0,2.0,100.0,35.0,83.0,49.0,37.0,34.0,20.0,14.0,,,,,2.0,187.0,,,1.15,5.15,SFQ,3-6 6-4 6-4,Oliver Anderson,5.0,3.0,8345583.0,3507249.0,,5.15,Oliver Anderson,95.0,5.0,2.0,87.0,30.0,97.0,60.0,43.0,37.0,22.0,15.0,,,,,1.0,187.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Brisbane/2016,Brisbane,hard
54,H2H 3-0,Borna Coric,2.0,1.0,8347001.0,3509126.0,,5.45,Borna Coric,56.0,5.0,0.0,69.0,17.0,62.0,39.0,27.0,23.0,12.0,10.0,,,,,2.0,132.0,,,5.45,1.15,F,6-3 7-5,Stan Wawrinka,15.0,3.0,8347001.0,3509125.0,,1.15,Stan Wawrinka,76.0,3.0,2.0,63.0,24.0,66.0,38.0,34.0,28.0,18.0,11.0,,,,,1.0,132.0,,,2016-01-04,https://matchstat.com/tennis/tournaments/m/Chennai/2016,Chennai,hard
