,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,surface,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
0,H2H 6-8,Vera Zvonareva,0.0,4.0,4313011.0,10782.0,,2.5,Vera Zvonareva,118.0,19.0,7.0,132.0,59.0,111.0,65.0,41.0,46.0,18.0,,,,,,2.0,243.0,,,2.5,1.63,F,7-6(9) 5-7 6-3,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Jelena Jankovic,1.0,3.0,4313011.0,10781.0,,1.625,Jelena Jankovic,125.0,11.0,7.0,111.0,52.0,132.0,91.0,50.0,41.0,23.0,,,,,,1.0,243.0,,
1,H2H 1-0,Camille Pin,0.0,0.0,4313009.0,10772.0,,6.9,Camille Pin,5.0,0.0,0.0,12.0,3.0,8.0,5.0,2.0,3.0,0.0,,,,,,2.0,20.0,,,6.9,1.15,SF,3-0 Retired,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Jelena Jankovic,1.0,0.0,4313009.0,10771.0,,1.154,Jelena Jankovic,15.0,1.0,1.0,8.0,6.0,12.0,8.0,6.0,4.0,3.0,,,,,,1.0,20.0,,
2,H2H 5-1,Jill Craybas,1.0,1.0,4313010.0,10778.0,,3.65,Jill Craybas,54.0,6.0,4.0,65.0,29.0,56.0,37.0,17.0,19.0,8.0,,,,,,2.0,121.0,,,3.65,1.35,SF,6-3 7-5,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Vera Zvonareva,2.0,4.0,4313010.0,10777.0,,1.351,Vera Zvonareva,67.0,9.0,6.0,56.0,31.0,65.0,41.0,25.0,24.0,11.0,,,,,,1.0,121.0,,
3,H2H 1-0,Eleni Daniilidou,0.0,2.0,4313005.0,10764.0,,3.85,Eleni Daniilidou,49.0,4.0,1.0,55.0,15.0,61.0,41.0,22.0,20.0,12.0,,,,,,2.0,116.0,,,3.85,1.32,QF,6-3 6-4,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Jelena Jankovic,1.0,0.0,4313005.0,10763.0,,1.317,Jelena Jankovic,67.0,7.0,3.0,61.0,27.0,55.0,34.0,26.0,21.0,14.0,,,,,,1.0,116.0,,
4,H2H 2-3,Emilie Loit,0.0,1.0,4313006.0,19907.0,,1.769,Emilie Loit,46.0,5.0,2.0,57.0,22.0,54.0,31.0,16.0,23.0,8.0,,,,,,1.0,111.0,,,1.77,2.2,QF,6-3 6-3,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Camille Pin,0.0,2.0,4313006.0,19908.0,,2.2,Camille Pin,65.0,9.0,5.0,54.0,30.0,57.0,47.0,33.0,10.0,2.0,,,,,,2.0,111.0,,
5,H2H 2-4,Virginie Razzano,0.0,5.0,4313007.0,10770.0,,3.55,Virginie Razzano,42.0,1.0,1.0,39.0,12.0,58.0,37.0,21.0,21.0,9.0,,,,,,2.0,97.0,,,3.55,1.36,QF,7-5 2-0 Retired,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Vera Zvonareva,0.0,1.0,4313007.0,10769.0,,1.364,Vera Zvonareva,55.0,10.0,3.0,58.0,28.0,39.0,26.0,18.0,13.0,9.0,,,,,,1.0,97.0,,
6,H2H 3-3,Paola Suarez,3.0,2.0,4313008.0,10759.0,,1.769,Paola Suarez,65.0,2.0,2.0,79.0,31.0,59.0,37.0,26.0,22.0,8.0,,,,,,1.0,138.0,,,1.77,2.2,QF,6-3 7-6(4),2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Jill Craybas,1.0,4.0,4313008.0,10760.0,,2.2,Jill Craybas,73.0,9.0,3.0,59.0,25.0,79.0,51.0,31.0,28.0,17.0,,,,,,2.0,138.0,,
7,H2H 1-0,Emma Laine,0.0,1.0,4312997.0,10748.0,,5.75,Emma Laine,41.0,3.0,1.0,64.0,25.0,42.0,22.0,9.0,20.0,7.0,,,,,,2.0,106.0,,,5.75,1.19,R16,6-2 6-1,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Jelena Jankovic,0.0,3.0,4312997.0,10747.0,,1.19,Jelena Jankovic,65.0,8.0,5.0,42.0,26.0,64.0,44.0,33.0,20.0,6.0,,,,,,1.0,106.0,,
8,H2H 1-0,Marina Erakovic,3.0,4.0,4312998.0,10743.0,,4.6,Marina Erakovic,92.0,18.0,6.0,105.0,52.0,77.0,39.0,20.0,38.0,20.0,,,,,,1.0,182.0,,,4.6,1.25,R16,6-4 2-6 6-4,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Eleni Daniilidou,0.0,8.0,4312998.0,10744.0,,1.25,Eleni Daniilidou,90.0,8.0,6.0,77.0,37.0,105.0,75.0,39.0,30.0,14.0,,,,,,2.0,182.0,,
9,H2H 2-2,Marion Bartoli,1.0,7.0,4312999.0,10707.0,,1.328,Marion Bartoli,64.0,4.0,3.0,63.0,23.0,80.0,48.0,28.0,32.0,13.0,,,,,,1.0,143.0,,,1.33,3.75,R16,7-5 6-4,2007-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2007,Auckland,Emilie Loit,4.0,4.0,4312999.0,10708.0,,3.75,Emilie Loit,79.0,10.0,5.0,80.0,39.0,63.0,41.0,30.0,22.0,10.0,,,,,,2.0,143.0,,
