,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
0,H2H 2-0,F. Pala,F,6-1 6-0 6-3,I. Nastase,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
1,H2H 1-1,Boro Jovanovic,SF,6-1 6-1 6-4,F. Pala,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
2,H2H 5-0,Jiri Hrebec,SF,6-3 6-2 6-2,I. Nastase,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
3,H2H 1-0,Bernard Mignot,QF,6-2 7-5 6-4,Boro Jovanovic,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
4,H2H 4-1,Ion Tiriac,QF,8-6 6-1 4-6 6-2,F. Pala,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
5,H2H 2-1,Szabolcs Baranyi,QF,6-2 6-3 6-2,Jiri Hrebec,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
6,H2H 2-0,Peter Szoke,QF,6-3 6-1 4-6 6-1,I. Nastase,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
7,H2H 1-0,Kjell Johansson,R16,6-2 6-2 6-4,Bernard Mignot,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
8,H2H 1-0,Wieslaw Gasiorek,R16,6-2 6-4 6-2,Boro Jovanovic,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
9,H2H 2-0,Patrick Hombergen,R16,6-3 8-6 6-1,Ion Tiriac,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
10,H2H 1-0,Vladimir Korotkov,R16,6-3 4-6 1-6 6-1 6-2,F. Pala,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
11,H2H 1-1,Balazs Taroczy,R16,6-4 4-6 6-2 6-4,Szabolcs Baranyi,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
12,H2H 1-0,Bengtson,R16,4-6 7-5 6-3 3-6 6-3,Jiri Hrebec,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
13,H2H 1-0,Tadeusz Nowicki,R16,2-6 3-3 Retired,Peter Szoke,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
14,H2H 3-0,Hans Kary,R16,6-3 6-2 6-2,I. Nastase,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
15,H2H 1-0,Pierre Barthes,R32,7-5 2-6 6-0,Bernard Mignot,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
16,H2H 1-0,Sherwood Stewart,R32,8-6 6-0,Kjell Johansson,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
17,H2H 1-0,Dimitri Sturdza,R32,6-1 6-3,Boro Jovanovic,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
18,H2H 1-0,Mike Estep,R32,6-3 6-3,Wieslaw Gasiorek,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
19,H2H 1-0,Geza Varga,R32,6-1 5-7 6-3,Ion Tiriac,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
20,H2H 2-0,John Paish,R32,11-9 6-1,Patrick Hombergen,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
21,H2H 1-0,Robert Machan,R32,6-2 7-5,F. Pala,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
22,H2H 1-0,Ezio Di Matteo,R32,5-7 6-4 6-3,Vladimir Korotkov,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
23,H2H 1-0,Kukal,R32,6-3 6-2,Balazs Taroczy,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
24,H2H 1-1,Antonio Munoz,R32,6-1 2-6 6-3,Szabolcs Baranyi,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
25,H2H 1-0,Vincenzo Franchitti,R32,4-6 6-3 6-4,Bengtson,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
26,H2H 1-1,H. Elschenbroich,R32,6-0 6-3,Jiri Hrebec,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
27,H2H 1-1,Antonio Zugarelli,R32,6-1 6-0,Peter Szoke,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
28,H2H 1-0,Steven Turner,R32,6-3 6-3,Tadeusz Nowicki,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
29,H2H 1-0,Daniel Contet,R32,6-3 2-6 6-3,Hans Kary,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
30,H2H 2-0,N. Spear,R32,6-4 6-1,I. Nastase,1972-03-27,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/1972,Monte Carlo Masters,clay
31,H2H 2-0,F. Pala,F,6-0 6-0 6-1,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
32,H2H 8-4,J. Kodes,SF,3-6 6-7 7-6 7-6 6-3,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
33,H2H 1-0,Patrick Proisy,SF,6-2 4-6 7-5 7-6,F. Pala,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
34,H2H 3-0,Szabolcs Baranyi,QF,6-2 6-2,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
35,H2H 2-0,A. Gimeno,QF,6-4 6-2,J. Kodes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
36,H2H 2-4,Orantes,QF,7-6 4-6 6-4,Patrick Proisy,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
37,H2H 1-2,Adriano Panatta,QF,6-3 6-7 6-1,F. Pala,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
38,H2H 5-0,Onny Parun,R16,6-4 6-2,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
39,H2H 2-1,G. Battrick,R16,7-5 6-2,Szabolcs Baranyi,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
40,H2H 1-3,Bjorn Borg,R16,6-3 6-2,J. Kodes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
41,H2H 1-0,H. Elschenbroich,R16,6-3 7-5,A. Gimeno,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
42,H2H 1-1,Jimmy Connors,R16,1-6 6-1 6-1,Patrick Proisy,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
43,H2H 2-0,Andrew Pattison,R16,7-6 6-2,Orantes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
44,H2H 1-0,Patrice Dominguez,R16,6-2 6-4,F. Pala,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
45,H2H 1-1,S. Smith,R16,7-6 7-6,Adriano Panatta,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
46,H2H 1-0,Torben Ulrich,R32,6-4 6-2,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
47,H2H 2-2,Tom Gorman,R32,6-2 6-7 7-5,Onny Parun,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
48,H2H 1-0,Jim Ward,R32,4-6 6-1 6-1,G. Battrick,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
49,H2H 1-0,Lew Hoad,R32,6-2 7-5,J. Kodes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
50,H2H 6-0,Antonio Zugarelli,R32,7-6 6-3,Bjorn Borg,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
51,H2H 1-0,J. Velasco,R32,6-3 6-1,A. Gimeno,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
52,H2H 1-0,B. Phillips-Moore,R32,6-4 6-1,H. Elschenbroich,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
53,H2H 2-0,William Higgins,R32,6-1 7-5,Patrick Proisy,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
54,H2H 5-0,Crealy,R32,5-7 7-5 6-3,Jimmy Connors,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
55,H2H 2-0,Bernard Mignot,R32,6-4 7-6,Andrew Pattison,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
56,H2H 4-0,Antonio Munoz,R32,6-4 7-5,Orantes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
57,H2H 1-0,Jean-Baptiste Chanfreau,R32,7-6 6-2,F. Pala,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
58,H2H 1-0,M. Mulligan,R32,6-3 6-4,Patrice Dominguez,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
59,H2H 2-0,Ray Moore,R32,6-2 2-0 Retired,Adriano Panatta,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
60,H2H 2-0,Bengtson,R64,7-5 6-3,J. Kodes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
61,H2H 1-0,Ivan Molina,R64,6-4 6-4,Lew Hoad,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
62,H2H 1-0,J. Lundqvist,R64,6-3 6-2,Bjorn Borg,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
63,H2H 1-1,Peter Szoke,R64,6-2 6-4,Antonio Zugarelli,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
64,H2H 1-0,Wanaro N'Godrella,R64,6-4 6-1,A. Gimeno,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
65,H2H 1-0,Boro Jovanovic,R64,6-4 6-2,H. Elschenbroich,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
66,H2H 2-1,Frew McMillan,R64,7-5 6-4,B. Phillips-Moore,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
67,H2H 2-0,Kim Warwick,R64,6-1 6-1,Patrick Proisy,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters,clay
