,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
38,,M Davis / M Freeman,R16,6-4 3-6 8-6,K Jones / B Pearce,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland,hard
39,,P Kuhnen / D Utzinger,R16,7-6 6-3,M Mecir / M Srejber,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland,hard
40,,G Michibata / B Schultz,R16,6-7 7-5 6-4,S Guy / P Serret,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland,hard
41,,D Saltz / T Siegel,R16,6-4 6-2,B Derlin / R Krishnan,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland,hard
42,,A Emerson / D Lewis,R16,6-4 6-7 6-3,C Limberger / M Woodforde,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland,hard
43,,B Green / J Letts,R16,4-6 6-1 6-4,K Richter / R Rudeen,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland,hard
44,,J Carlsson / C Pistolesi,R16,6-7 6-1 11-9,G Bloom / J Levine,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland,hard
45,,N Odizor / M Schapers,R16,7-6 4-6 6-3,D Mustard / B Steven,1987-01-05,https://matchstat.com/tennis/tournaments/m/Auckland/1987,Auckland,hard
46,H2H 8-2,Pat Cash,F,6-3 6-4 3-6 5-7 6-3,Stefan Edberg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
47,H2H 3-5,Ivan Lendl,SF,7-6 5-7 7-6 6-4,Pat Cash,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
48,H2H 6-0,Wally Masur,SF,6-2 6-4 7-6,Stefan Edberg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
49,H2H 11-1,Anders Jarryd,QF,7-6 6-1 6-3,Ivan Lendl,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
50,H2H 1-1,Yannick Noah,QF,6-4 6-2 2-6 6-0,Pat Cash,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
51,H2H 9-5,Miloslav Mecir,QF,6-1 6-4 6-4,Stefan Edberg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
52,H2H 6-0,Kelly Evernden,QF,6-3 7-5 6-4,Wally Masur,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
53,H2H 4-0,Dan Goldie,R16,2-6 6-4 7-6 6-3,Ivan Lendl,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
54,H2H 1-1,Peter Doohan,R16,6-1 6-7 6-4 7-6,Anders Jarryd,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
55,H2H 4-3,Tim Wilkison,R16,4-6 4-6 6-3 6-4 6-2,Yannick Noah,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
56,H2H 2-0,Paul Annacone,R16,6-4 6-1 6-7 1-6 6-2,Pat Cash,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
57,H2H 3-0,Mark Kratzmann,R16,6-4 6-2 6-2,Miloslav Mecir,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
58,H2H 2-0,Robert Seguso,R16,6-1 6-0 6-1,Stefan Edberg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
59,H2H 2-0,Derrick Rostagno,R16,6-7 6-2 6-4 5-7 7-5,Kelly Evernden,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
60,H2H 1-5,Boris Becker,R16,4-6 7-6 6-4 6-7 6-2,Wally Masur,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
61,H2H 4-0,Matt Anger,R32,6-4 6-2 6-7 6-2,Ivan Lendl,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
62,H2H 1-0,Ramesh Krishnan,R32,3-6 7-5 6-7 6-2 6-2,Dan Goldie,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
63,H2H 3-0,Thierry Champion,R32,6-0 7-6 2-6 6-2,Anders Jarryd,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
64,H2H 1-1,Kevin Curren,R32,4-6 6-3 6-4 6-4,Peter Doohan,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
65,H2H 1-0,Bud Schultz,R32,7-6 4-6 4-6 7-6 6-4,Yannick Noah,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
66,H2H 3-2,Mark Edmondson,R32,6-2 6-1 7-6,Tim Wilkison,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
67,H2H 2-2,Ben Testerman,R32,6-3 6-7 6-1 6-2,Pat Cash,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
68,H2H 2-0,Henri Leconte,R32,1-6 4-6 6-3 6-4 10-8,Paul Annacone,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
69,H2H 1-0,Gary Muller,R32,6-4 6-4 6-4,Miloslav Mecir,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
70,H2H 1-0,Ken Flach,R32,6-4 6-2 6-3,Mark Kratzmann,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
71,H2H 1-0,Javier Frana,R32,6-3 3-6 7-6 6-4,Robert Seguso,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
