,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
0,H2H 4-0,C. Pasarell,SF,8-10 11-13 6-3 6-2 6-2,S. Smith,1969-01-06,https://matchstat.com/tennis/tournaments/m/Melbourne/1969,Melbourne,grass
1,H2H 4-0,R. Ruffels,SF,6-2 6-4 6-4,A. Ashe,1969-01-06,https://matchstat.com/tennis/tournaments/m/Melbourne/1969,Melbourne,grass
2,H2H 1-0,T. Lejus,QF,6-2 6-4 8-6,S. Smith,1969-01-06,https://matchstat.com/tennis/tournaments/m/Melbourne/1969,Melbourne,grass
3,H2H 1-0,B. Bowrey,QF,4-6 5-7 8-6 6-1 6-4,C. Pasarell,1969-01-06,https://matchstat.com/tennis/tournaments/m/Melbourne/1969,Melbourne,grass
4,H2H 2-0,B. Phillips-Moore,QF,9-11 6-4 6-4 6-3,A. Ashe,1969-01-06,https://matchstat.com/tennis/tournaments/m/Melbourne/1969,Melbourne,grass
5,H2H 1-1,B. Lutz,QF,6-3 6-1 6-2,R. Ruffels,1969-01-06,https://matchstat.com/tennis/tournaments/m/Melbourne/1969,Melbourne,grass
6,H2H 3-2,J. Newcombe,SF,6-1 6-3 7-5,R. Laver,1969-01-13,https://matchstat.com/tennis/tournaments/m/Sydney/1969,Sydney,grass
7,H2H 3-3,K. Rosewall,SF,5-7 7-9 6-4 11-9 8-6,T. Roche,1969-01-13,https://matchstat.com/tennis/tournaments/m/Sydney/1969,Sydney,grass
8,H2H 2-1,R. Taylor,QF,5-7 8-6 6-2 6-3,R. Laver,1969-01-13,https://matchstat.com/tennis/tournaments/m/Sydney/1969,Sydney,grass
9,H2H 1-0,P. Gonzales,QF,5-7 18-16 6-3 14-12,J. Newcombe,1969-01-13,https://matchstat.com/tennis/tournaments/m/Sydney/1969,Sydney,grass
10,H2H 4-0,R. Emerson,QF,18-16 3-6 6-1 6-2,K. Rosewall,1969-01-13,https://matchstat.com/tennis/tournaments/m/Sydney/1969,Sydney,grass
11,H2H 2-0,A. Gimeno,QF,4-6 6-3 6-2 3-6 6-1,T. Roche,1969-01-13,https://matchstat.com/tennis/tournaments/m/Sydney/1969,Sydney,grass
12,H2H 3-0,A. Gimeno,F,6-3 6-4 7-5,R. Laver,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
13,H2H 2-0,T. Roche,SF,7-5 22-20 9-11 1-6 6-3,R. Laver,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
14,H2H 3-0,R. Ruffels,SF,6-2 11-9 6-2,A. Gimeno,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
15,H2H 2-0,F. Stolle,QF,6-4 18-16 6-4,R. Laver,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
16,H2H 3-6,J. Newcombe,QF,10-8 4-6 6-8 7-5 6-3,T. Roche,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
17,H2H 1-0,B. Bowrey,QF,9-11 2-6 6-0 6-3 6-4,R. Ruffels,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
18,H2H 1-1,Butch Buchholz,QF,6-1 6-2 6-2,A. Gimeno,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
19,H2H 2-0,R. Emerson,R16,6-2 6-4 3-6 9-7,R. Laver,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
20,H2H 1-0,Stone,R16,8-6 6-4 6-2,F. Stolle,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
21,H2H 5-0,Ray Moore,R16,6-2 6-4 6-3,J. Newcombe,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
22,H2H 1-0,M. Anderson,R16,8-6 6-3 6-4,T. Roche,1969-01-20,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1969,Australian Open,grass
