,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner,surface
0,H2H 3-3,Arnaud Boetsch,F,6-2 7-5,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jim Courier,hard
1,H2H 5-5,Mark Woodforde,SF,6-3 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jim Courier,hard
2,H2H 3-2,Richard Krajicek,SF,7-6 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Arnaud Boetsch,hard
3,H2H 2-3,Yevgeny Kafelnikov,QF,6-3 7-5,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Mark Woodforde,hard
4,H2H 6-2,Thomas Enqvist,QF,6-2 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jim Courier,hard
5,H2H 7-2,Patrick Rafter,QF,6-4 7-6,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Richard Krajicek,hard
6,H2H 2-0,Hendrik Dreekmann,QF,6-3 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Arnaud Boetsch,hard
7,H2H 2-0,Henrik Holm,R16,7-5 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Yevgeny Kafelnikov,hard
8,H2H 2-1,Jeremy Bates,R16,7-6 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Mark Woodforde,hard
9,H2H 1-0,Daniel Vacek,R16,6-3 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jim Courier,hard
10,H2H 3-1,Jason Stoltenberg,R16,6-4 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Thomas Enqvist,hard
11,H2H 2-0,Jamie Morgan,R16,7-6 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Patrick Rafter,hard
12,H2H 5-0,Richard Fromberg,R16,7-5 7-5,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Richard Krajicek,hard
13,H2H 4-1,Renzo Furlan,R16,6-3 7-5,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Arnaud Boetsch,hard
14,H2H 1-0,Carl-Uwe Steeb,R16,7-6 3-6 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Hendrik Dreekmann,hard
15,H2H 3-1,Marcos Ondruska,R32,7-6 6-1,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Yevgeny Kafelnikov,hard
16,H2H 2-2,Cedric Pioline,R32,6-2 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Henrik Holm,hard
17,H2H 5-0,Joern Renzenbrink,R32,6-4 4-6 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jeremy Bates,hard
18,H2H 2-3,Marc-Kevin Goellner,R32,6-4 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Mark Woodforde,hard
19,H2H 2-1,Jakob Hlasek,R32,7-6 6-1,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jim Courier,hard
20,H2H 2-1,Alex O'Brien,R32,6-4 5-7 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Daniel Vacek,hard
21,H2H 1-0,David Adams,R32,6-4 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Thomas Enqvist,hard
22,H2H 3-0,Nicklas Kulti,R32,7-5 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jason Stoltenberg,hard
23,H2H 5-1,Todd Woodbridge,R32,7-6 6-1,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Patrick Rafter,hard
24,H2H 1-1,Byron Black,R32,4-6 6-2 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jamie Morgan,hard
25,H2H 2-1,Jonathan Stark,R32,6-4 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Richard Fromberg,hard
26,H2H 6-2,Fabrice Santoro,R32,6-3 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Richard Krajicek,hard
27,H2H 5-1,Gianluca Pozzi,R32,6-3 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Renzo Furlan,hard
28,H2H 1-1,Bryan Shelton,R32,4-6 7-5 7-6,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Arnaud Boetsch,hard
29,H2H 3-1,Wally Masur,R32,6-4 7-6,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Carl-Uwe Steeb,hard
30,H2H 4-1,Wayne Ferreira,R32,7-6 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Hendrik Dreekmann,hard
31,,B Black / G Connell,F,7-6 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,J Courier / P Rafter,hard
32,,T Woodbridge / M Woodforde,SF,7-6 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,B Black / G Connell,hard
33,,H Holm / S Lareau,SF,6-2 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,J Courier / P Rafter,hard
34,,A Florent / K Kinnear,QF,6-3 5-7 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,T Woodbridge / M Woodforde,hard
35,,N Kulti / B Shelton,QF,7-6 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,B Black / G Connell,hard
36,,D Cahill / W Masur,QF,3-6 6-3 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,H Holm / S Lareau,hard
37,,P Galbraith / J Stark,QF,6-4 0-6 7-5,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,J Courier / P Rafter,hard
38,,E Ferreira / D Randall,R16,6-3 7-6,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,T Woodbridge / M Woodforde,hard
39,,J Morgan / J Stoltenberg,R16,5-7 7-6 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,A Florent / K Kinnear,hard
40,,T Kronemann / D Macpherson,R16,6-7 6-4 7-5,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,B Black / G Connell,hard
41,,B MacPhie / A O'Brien,R16,3-6 6-3 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,N Kulti / B Shelton,hard
42,,J Fitzgerald / M Goellner,R16,6-4 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,D Cahill / W Masur,hard
43,,D Adams / W Ferreira,R16,3-6 6-4 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,H Holm / S Lareau,hard
44,,C Suk / D Vacek,R16,6-4 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,J Courier / P Rafter,hard
45,,J Hlasek / Y Kafelnikov,R16,7-6 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,P Galbraith / J Stark,hard
46,H2H 1-0,Andrew Kratzmann,FQ,1-6 6-2 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jakob Hlasek,hard
47,H2H 1-2,Paul Kilderry,FQ,4-1 Retired,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,David Adams,hard
48,H2H 2-1,Neil Borwick,FQ,6-1 6-7 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Bryan Shelton,hard
49,H2H 1-0,Sebastien Lareau,FQ,3-6 7-5 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Nicklas Kulti,hard
50,H2H 1-0,Lars-Anders Wahlgren,SFQ,6-3 2-6 7-6,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jakob Hlasek,hard
51,H2H 1-0,Brent Larkham,SFQ,6-1 6-7 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Andrew Kratzmann,hard
52,H2H 1-1,Cristiano Caratti,SFQ,6-3 1-6 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Paul Kilderry,hard
53,H2H 1-0,Todd Larkham,SFQ,3-6 7-5 6-0,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,David Adams,hard
54,H2H 1-0,Grant Doyle,SFQ,6-3 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Bryan Shelton,hard
55,H2H 1-1,Michael Tebbutt,SFQ,6-7 7-5 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Neil Borwick,hard
56,H2H 1-0,Oscar Ortiz,SFQ,6-2 4-6 6-0,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Nicklas Kulti,hard
57,H2H 1-0,Bojan Vujic,SFQ,7-6 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Sebastien Lareau,hard
58,H2H 2-0,Mikael Tillstrom,QFQ,6-3 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Jakob Hlasek,hard
59,H2H 2-0,Grant Connell,QFQ,6-2 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Lars-Anders Wahlgren,hard
60,H2H 1-0,Thierry Guardiola,QFQ,6-7 6-4 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Andrew Kratzmann,hard
61,H2H 1-0,Mark Philippoussis,QFQ,6-3 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Brent Larkham,hard
62,H2H 1-0,Andrew Florent,QFQ,5-7 6-4 6-1,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Cristiano Caratti,hard
63,H2H 3-0,Peter Tramacchi,QFQ,6-4 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Paul Kilderry,hard
64,H2H 2-0,Joshua Eagle,QFQ,2-6 6-3 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Todd Larkham,hard
65,H2H 2-0,Scott Draper,QFQ,6-3 7-5,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,David Adams,hard
66,H2H 1-0,Libor Nemecek,QFQ,4-6 6-3 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Bryan Shelton,hard
67,H2H 3-0,Wade McGuire,QFQ,4-6 6-3 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Grant Doyle,hard
68,H2H 2-0,Brian MacPhie,QFQ,6-3 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Neil Borwick,hard
69,H2H 1-0,Kent Kinnear,QFQ,6-3 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Michael Tebbutt,hard
70,H2H 1-0,Steven Baldas,QFQ,6-4 6-1,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Nicklas Kulti,hard
71,H2H 1-0,Marius Barnard,QFQ,6-4 6-4,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Oscar Ortiz,hard
72,H2H 1-0,Carsten Arriens,QFQ,7-6 6-2,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Bojan Vujic,hard
73,H2H 1-0,Ellis Ferreira,QFQ,6-4 6-1,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,Sebastien Lareau,hard
74,,M Barnard / B Haygarth,FQ,6-1 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,E Ferreira / D Randall,hard
75,,A Kratzmann / M Tebbutt,SFQ,6-2 6-7 6-3,1995-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1995,Adelaide,E Ferreira / D Randall,hard
