,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
0,H2H 5-2,Evonne Cawley,F,2-6 7-6 7-5,grass,Margaret Court,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
1,H2H 3-0,Lesley Hunt,SF,6-0 6-3,grass,Margaret Court,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
2,H2H 1-0,Winnie Shaw,SF,7-6 6-1,grass,Evonne Cawley,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
3,H2H 3-0,Helen Gourlay,QF,6-0 6-4,grass,Margaret Court,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
4,H2H 1-0,Jan O'neill,QF,6-4 6-4,grass,Lesley Hunt,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
5,H2H 1-0,Norma Marsh,QF,6-0 7-6,grass,Winnie Shaw,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
6,H2H 5-0,Sharon Walsh-Pete,QF,6-3 6-4,grass,Evonne Cawley,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
7,H2H 2-0,Patricia Gregg,R16,6-1 6-1,grass,Margaret Court,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
8,H2H 1-0,Barbara Hawcroft,R16,7-5 6-4,grass,Helen Gourlay,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
9,H2H 2-0,Patti Hogan,R16,6-3 6-4,grass,Lesley Hunt,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
10,H2H 1-0,Norma Eastburn,R16,6-1 6-0,grass,Jan O'neill,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
11,H2H 1-0,Sandra Hole,R16,6-2 6-3,grass,Norma Marsh,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
12,H2H 2-1,Lesley Bowrey,R16,6-0 1-6 6-4,grass,Winnie Shaw,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
13,H2H 1-0,Patricia Edwards,R16,6-3 6-1,grass,Sharon Walsh-Pete,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
14,H2H 2-0,Helen Kayser,R16,6-1 6-1,grass,Evonne Cawley,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
15,H2H 1-0,Helen Taylor,R32,6-0 6-0,grass,Patricia Gregg,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
16,H2H 1-0,Cynthia Doerner,R32,6-3 6-4,grass,Barbara Hawcroft,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
17,H2H 1-0,Vicki Lancaster-Kerr,R32,6-3 3-6 6-1,grass,Helen Gourlay,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
18,H2H 1-0,Sandra Walsham,R32,6-4 6-2,grass,Patti Hogan,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
19,H2H 1-0,Adrienne Avis,R32,6-3 6-4,grass,Lesley Hunt,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
20,H2H 1-1,Dianne Balestrat,R32,6-3 6-0,grass,Jan O'neill,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
21,H2H 0-0,Gail Lovera Benedetti,R32,WO,grass,Norma Eastburn,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
22,H2H 1-0,Janet Fallis,R32,6-7 6-3 7-5,grass,Sandra Hole,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
23,H2H 1-0,Marilyn Tesch,R32,6-1 6-2,grass,Norma Marsh,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
24,H2H 1-0,Carol Zeeman,R32,6-1 6-1,grass,Lesley Bowrey,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
25,H2H 1-0,Janet Young,R32,6-1 6-0,grass,Winnie Shaw,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
26,H2H 1-0,Kerry Harris,R32,6-3 7-6,grass,Patricia Edwards,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
27,H2H 1-0,Anne Coleman,R32,6-2 6-2,grass,Sharon Walsh-Pete,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
28,H2H 1-0,Kati Athorne,R32,6-0 5-0 Retired,grass,Helen Kayser,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
29,,J Emerson / L Hunt,F,6-0 6-0,grass,M Court / E Cawley,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
30,,H Gourlay / K Harris,SF,6-4 7-5,grass,M Court / E Cawley,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
31,,P Gregg / W Shaw,SF,6-2 6-4,grass,J Emerson / L Hunt,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
32,,J O'neill / C Zeeman,QF,6-1 6-2,grass,M Court / E Cawley,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
33,,P Hogan / S Walsh-pete,QF,6-4 6-3,grass,H Gourlay / K Harris,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
34,,J Fallis / J Young,QF,6-3 6-1,grass,J Emerson / L Hunt,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
35,,B Hawcroft / H Kayser,QF,3-6 7-5 6-1,grass,P Gregg / W Shaw,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
36,,S O'connor / C Doerner,R16,6-3 6-0,grass,J O'neill / C Zeeman,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
37,,A Coleman / M Tesch,R16,6-0 6-4,grass,H Gourlay / K Harris,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
38,,S Hole / V Lancaster-kerr,R16,6-2 6-4,grass,P Hogan / S Walsh-pete,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
39,,A Avis / N Eastburn,R16,6-3 4-6 7-6,grass,J Fallis / J Young,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
40,,P Edwards / S Walsham,R16,6-3 6-1,grass,J Emerson / L Hunt,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
41,,L Bowrey / N Marsh,R16,6-4 6-4,grass,B Hawcroft / H Kayser,1971-01-04,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1971,Australian Open
42,H2H 5-0,Helen Gourlay,F,6-3 7-5,clay,Evonne Cawley,1971-05-24,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1971,FO - RG
43,H2H 3-0,Marijke Schaar,SF,6-4 6-1,clay,Evonne Cawley,1971-05-24,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1971,FO - RG
44,H2H 1-0,Nancy Richey,SF,6-2 6-3,clay,Helen Gourlay,1971-05-24,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1971,FO - RG
45,H2H 1-0,Linda Tuero,QF,6-2 6-3,clay,Marijke Schaar,1971-05-24,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1971,FO - RG
46,H2H 4-0,Francoise Durr,QF,6-3 6-0,clay,Evonne Cawley,1971-05-24,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1971,FO - RG
47,H2H 1-0,Lesley Bowrey,QF,6-2 6-4,clay,Nancy Richey,1971-05-24,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1971,FO - RG
48,H2H 1-0,Gail Lovera Benedetti,QF,6-4 3-6 6-3,clay,Helen Gourlay,1971-05-24,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1971,FO - RG
49,H2H 1-0,Maria-Teresa Nasuelli,R16,9-7 6-3,clay,Linda Tuero,1971-05-24,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1971,FO - RG
