,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 12-11,Arantxa Sanchez Vicario,F,6-1 6-1,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Gabriela Sabatini
1,H2H 13-10,Mary Joe Fernandez,SF,6-2 6-3,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Gabriela Sabatini
2,H2H 12-2,Anke Huber,SF,4-6 7-5 6-3,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Arantxa Sanchez Vicario
3,H2H 3-0,Gigi Fernandez,QF,6-2 7-6,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Gabriela Sabatini
4,H2H 3-0,Leila Meskhi,QF,6-1 6-2,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Mary Joe Fernandez
5,H2H 4-8,Jana Novotna,QF,6-3 7-5,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Anke Huber
6,H2H 14-4,Conchita Martinez,QF,6-4 6-2,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Arantxa Sanchez Vicario
7,H2H 2-0,Sabine Hack,R16,6-1 6-0,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Gabriela Sabatini
8,H2H 3-9,Zina Garrison-Jackson,R16,7-6 5-7 6-3,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Gigi Fernandez
9,H2H 6-5,Helena Sukova,R16,6-4 6-4,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Mary Joe Fernandez
10,H2H 2-3,Kimiko Date-Krumm,R16,4-6 6-3 6-2,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Leila Meskhi
11,H2H 3-0,Tami Whitlinger-Jones,R16,6-3 6-4,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Anke Huber
12,H2H 6-0,Julie Halard-Decugis,R16,6-2 7-5,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Jana Novotna
13,H2H 8-4,Amy Frazier,R16,6-4 6-4,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Conchita Martinez
14,H2H 14-0,Barbara Rittner,R16,7-5 6-0,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Arantxa Sanchez Vicario
15,H2H 2-0,Manon Bollegraf,R32,6-0 6-1,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Gabriela Sabatini
16,H2H 1-0,Lori McNeil,R32,7-6 3-6 6-3,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Sabine Hack
17,H2H 1-1,Rachel McQuillan,R32,6-1 7-5,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Gigi Fernandez
18,H2H 2-0,Akiko Kijimuta,R32,6-4 6-3 6-2,1992-01-06,hard,https://matchstat.com/tennis/tournaments/w/Sydney/1992,Sydney,Zina Garrison-Jackson
