,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner,surface
0,H2H 4-1,Crealy,F,6-4 9-7 6-2,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,A. Ashe,grass
1,H2H 2-0,R. Taylor,SF,6-2 9-11 8-6 3-6 8-6,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Crealy,grass
2,H2H 1-0,Dennis Ralston,SF,6-3 8-10 6-3 2-1 Retired,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,A. Ashe,grass
3,H2H 1-2,T. Roche,QF,9-7 7-5 7-5,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,R. Taylor,grass
4,H2H 1-3,Tom Okker,QF,6-1 3-6 4-6 7-5 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Crealy,grass
5,H2H 4-0,R. Ruffels,QF,6-8 6-3 6-4 6-2,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,A. Ashe,grass
6,H2H 1-1,J. Newcombe,QF,19-17 20-18 4-6 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Dennis Ralston,grass
7,H2H 1-0,G. Battrick,R16,6-2 6-2 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,T. Roche,grass
8,H2H 1-2,B. Lutz,R16,1-6 2-6 6-4 12-10 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,R. Taylor,grass
9,H2H 2-1,J. Alexander,R16,7-5 10-8 10-12 4-6 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Tom Okker,grass
10,H2H 2-2,S. Smith,R16,6-4 6-4 14-12,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Crealy,grass
11,H2H 2-2,Niki Pilic,R16,7-5 6-4 5-7 7-5,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,R. Ruffels,grass
12,H2H 1-0,B. Bowrey,R16,6-3 9-7 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,A. Ashe,grass
13,H2H 1-0,Stone,R16,6-2 6-3 6-2,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Dennis Ralston,grass
14,H2H 3-1,P. Dent,R16,6-2 6-3 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,J. Newcombe,grass
15,H2H 1-0,John Cooper,R32,8-6 11-9 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,T. Roche,grass
16,H2H 1-0,Kukal,R32,2-6 6-3 2-6 6-0 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,G. Battrick,grass
17,H2H 1-0,Lenny Schloss,R32,6-4 6-3 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,R. Taylor,grass
18,H2H 1-0,Matthias Werren,R32,6-1 6-3 6-1,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,B. Lutz,grass
19,H2H 1-0,Ken Stuart,R32,6-4 6-2 7-5,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Tom Okker,grass
20,H2H 1-0,Ray Keldie,R32,6-3 2-1 Retired,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,J. Alexander,grass
21,H2H 1-0,Alvin Gardiner,R32,6-4 10-8 12-10,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Crealy,grass
22,H2H 1-0,John Brown,R32,6-1 8-6 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,S. Smith,grass
23,H2H 1-1,Tom Gorman,R32,6-3 13-11 9-11 3-6 6-1,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Niki Pilic,grass
24,H2H 1-0,B. Phillips-Moore,R32,8-6 6-4 1-6 7-5,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,R. Ruffels,grass
25,H2H 1-0,F. Sedgman,R32,6-2 1-6 6-3 4-6 7-5,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,B. Bowrey,grass
26,H2H 3-0,Geoff Masters,R32,17-15 6-2 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,A. Ashe,grass
27,H2H 1-0,Vladimir Zednik,R32,6-3 6-3 4-6 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Dennis Ralston,grass
28,H2H 1-0,Bob Giltinan,R32,7-5 6-3 3-6 6-1,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Stone,grass
29,H2H 2-0,Bob Carmichael,R32,2-1 Retired,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,P. Dent,grass
30,H2H 1-0,Armistead Neely,R32,6-1 7-5 6-1,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,J. Newcombe,grass
31,H2H 0-0,Ray Wilson,R64,WO,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,John Cooper,grass
32,H2H 1-0,A. Hammond,R64,6-4 12-10,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Kukal,grass
33,H2H 1-0,Geoff Pollard,R64,7-5 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Lenny Schloss,grass
34,H2H 0-0,M. Anderson,R64,WO,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Matthias Werren,grass
35,H2H 1-0,Allan McDonald,R64,7-5 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Ken Stuart,grass
36,H2H 1-0,Allan Shapter,R64,8-6 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Ray Keldie,grass
37,H2H 0-0,Richard Russell,R64,WO,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Alvin Gardiner,grass
38,H2H 1-0,Peter Doerner,R64,9-7 0-6 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,John Brown,grass
39,H2H 1-0,Syd Ball,R64,6-1 6-1,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Tom Gorman,grass
40,H2H 1-0,Colin Dibley,R64,6-3 8-10 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,B. Phillips-Moore,grass
41,H2H 1-0,Bernard Paul,R64,6-4 3-6 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,F. Sedgman,grass
42,H2H 1-0,Karl Coombes,R64,6-4 7-5,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Geoff Masters,grass
43,H2H 1-0,John Bartlett,R64,17-19 6-3 6-2,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Vladimir Zednik,grass
44,H2H 1-0,Mcmanus,R64,4-6 9-7 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Bob Giltinan,grass
45,H2H 1-0,Rod Brent,R64,6-4 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,P. Dent,grass
46,H2H 0-0,Ian Bidmeade,R64,WO,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,Armistead Neely,grass
47,,J Alexander / P Dent,F,6-3 8-6 6-3,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,B Lutz / S Smith,grass
48,,S Ball / B Giltinan,SF,9-11 6-3 6-4 6-2,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,J Alexander / P Dent,grass
49,,C Crealy / S Stone,SF,6-4 6-4 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,B Lutz / S Smith,grass
50,,J Newcombe / N Pilic,QF,6-4 11-9,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,J Alexander / P Dent,grass
51,,B Carmichael / R Keldie,QF,16-18 6-1 6-2,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,S Ball / B Giltinan,grass
52,,J Bartlett / G Masters,QF,5-7 6-3 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,C Crealy / S Stone,grass
53,,J Cooper / B Phillips-moore,QF,6-3 6-4,1970-01-19,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1970,Australian Open,B Lutz / S Smith,grass
