,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
0,H2H 2-1,Patrik Kuhnen,F,7-5 1-6 7-5,Mark Woodforde,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
1,H2H 4-0,Alexander Volkov,SF,6-2 7-5,Mark Woodforde,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
2,H2H 3-0,Veli Paloheimo,SF,4-6 6-4 6-3,Patrik Kuhnen,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
3,H2H 2-7,Pete Sampras,QF,2-6 6-1 6-4,Alexander Volkov,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
4,H2H 4-6,Goran Ivanisevic,QF,7-5 3-6 6-2,Mark Woodforde,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
5,H2H 1-0,Wally Masur,QF,6-4 4-6 6-3,Veli Paloheimo,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
6,H2H 1-0,Mark Kratzmann,QF,6-4 3-6 6-3,Patrik Kuhnen,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
7,H2H 3-1,Andrei Olhovskiy,R16,4-6 6-3 6-4,Alexander Volkov,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
8,H2H 4-1,Jason Stoltenberg,R16,6-3 6-2,Pete Sampras,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
9,H2H 2-2,Andrey Cherkasov,R16,6-3 7-6,Mark Woodforde,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
10,H2H 1-0,Johan Anderson,R16,6-1 6-7 6-2,Goran Ivanisevic,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
11,H2H 5-1,Todd Woodbridge,R16,6-2 6-1,Wally Masur,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
12,H2H 1-0,Roger Rasheed,R16,6-1 6-3,Veli Paloheimo,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
13,H2H 3-1,M. Koevermans,R16,6-4 6-4,Patrik Kuhnen,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
14,H2H 2-1,Neil Broad,R16,6-3 7-5,Mark Kratzmann,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
15,H2H 1-1,Andrei Chesnokov,R32,6-3 6-1,Alexander Volkov,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
16,H2H 1-1,Libor Nemecek,R32,1-6 6-3 6-2,Andrei Olhovskiy,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
17,H2H 2-1,Jeremy Bates,R32,6-2 6-3,Pete Sampras,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
18,H2H 1-1,Brad Drewett,R32,6-3 6-2,Jason Stoltenberg,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
19,H2H 1-2,Guillaume Raoux,R32,6-4 6-4,Mark Woodforde,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
20,H2H 3-0,Alexander Mronz,R32,6-3 7-6,Andrey Cherkasov,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
21,H2H 1-0,Broderick Dyke,R32,5-7 6-4 6-4,Johan Anderson,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
22,H2H 1-0,John Frawley,R32,7-5 6-7 6-4,Goran Ivanisevic,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
23,H2H 3-0,Glenn Layendecker,R32,6-4 7-5,Wally Masur,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
24,H2H 1-0,Peter Carter,R32,7-6 6-4,Todd Woodbridge,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
25,H2H 1-0,Jan Apell,R32,6-3 1-6 6-3,Roger Rasheed,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
26,H2H 1-0,Slobodan Zivojinovic,R32,6-1 6-1,Veli Paloheimo,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
27,H2H 3-0,Olivier Delaitre,R32,2-6 7-6 6-2,Patrik Kuhnen,1989-01-02,https://matchstat.com/tennis/tournaments/m/Adelaide/1989,Adelaide,hard
