,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 9-3,Helena Sukova,F,6-2 6-3,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Pam Shriver
1,H2H 7-2,Claudia Kohde-Kilsch,SF,7-5 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Pam Shriver
2,H2H 5-0,Patty Fendick,SF,7-6 6-1,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Helena Sukova
3,H2H 3-3,Catarina Lindqvist,QF,6-4 6-1,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Pam Shriver
4,H2H 5-1,Etsuko Inoue,QF,6-2 6-3,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Claudia Kohde-Kilsch
5,H2H 4-2,Brenda Schultz-McCarthy,QF,6-3 7-5,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Patty Fendick
6,H2H 1-0,Hester Witvoet,QF,6-2 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Helena Sukova
7,H2H 2-0,Wiltrud Probst,R16,6-1 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Pam Shriver
8,H2H 1-2,Anne Minter,R16,6-3 7-6,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Catarina Lindqvist
9,H2H 2-3,Jana Novotna,R16,6-4 6-3,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Claudia Kohde-Kilsch
10,H2H 1-0,Ann Henricksson,R16,6-4 2-6 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Etsuko Inoue
11,H2H 2-0,Christiane Jolissaint,R16,6-1 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Patty Fendick
12,H2H 1-1,Belinda Cordwell,R16,4-6 6-2 7-6,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Brenda Schultz-McCarthy
13,H2H 1-0,Maria Lindstrom,R16,6-2 6-7 7-6,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Hester Witvoet
14,H2H 11-3,Jo Durie,R16,6-3 6-3,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Helena Sukova
15,H2H 5-0,Sara Gomer,R32,6-7 7-5 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Pam Shriver
16,H2H 1-0,Tina Mochizuki,R32,1-6 6-3 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Wiltrud Probst
17,H2H 2-0,Lisa O'Neill,R32,6-1 6-4,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Anne Minter
18,H2H 2-2,Janine Tremelling,R32,4-6 6-4 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Catarina Lindqvist
19,H2H 2-0,Sandra Wasserman,R32,6-3 6-2,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Claudia Kohde-Kilsch
20,H2H 1-0,Catherine Suire,R32,6-2 7-6,1988-01-04,grass,https://matchstat.com/tennis/tournaments/w/Sydney/1988,Sydney,Jana Novotna
