,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
4505,H2H 1-2,Melinda Czink,4.0,9.0,4795974.0,41872.0,,5.1,Melinda Czink,113.0,9.0,4.0,108.0,43.0,129.0,80.0,49.0,49.0,21.0,,,,,,2.0,237.0,,,5.1,1.2,R16,6-7(4) 6-4 6-3,hard,Daniela Hantuchova,8.0,3.0,4795974.0,41871.0,,1.2,Daniela Hantuchova,124.0,19.0,7.0,129.0,59.0,108.0,68.0,45.0,40.0,20.0,,,,,,1.0,237.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4506,H2H 2-0,Irina Falconi,1.0,2.0,4795975.0,41888.0,,3.64,Irina Falconi,81.0,13.0,4.0,90.0,39.0,78.0,57.0,32.0,21.0,10.0,,,,,,2.0,168.0,,,3.64,1.33,R16,6-3 2-6 6-2,hard,Marina Erakovic,4.0,0.0,4795975.0,41887.0,,1.333,Marina Erakovic,87.0,12.0,5.0,78.0,36.0,90.0,54.0,34.0,36.0,17.0,,,,,,1.0,168.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4507,H2H 2-3,Varvara Lepchenko,1.0,5.0,4795976.0,41882.0,,3.64,Varvara Lepchenko,110.0,6.0,3.0,120.0,47.0,101.0,68.0,48.0,33.0,15.0,,,,,,2.0,221.0,,,3.64,1.33,R16,6-7(2) 6-3 7-6(4),hard,Tamira Paszek,2.0,6.0,4795976.0,41881.0,,1.333,Tamira Paszek,111.0,9.0,4.0,101.0,38.0,120.0,75.0,47.0,45.0,26.0,,,,,,1.0,221.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4508,H2H 2-2,Sofia Arvidsson,2.0,1.0,4795977.0,41880.0,,2.18,Sofia Arvidsson,68.0,10.0,4.0,76.0,33.0,72.0,47.0,30.0,25.0,5.0,,,,,,2.0,148.0,,,2.18,1.75,R16,7-5 6-3,hard,Heather Watson,6.0,3.0,4795977.0,41879.0,,1.75,Heather Watson,80.0,11.0,6.0,72.0,37.0,76.0,57.0,38.0,19.0,5.0,,,,,,1.0,148.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4509,H2H 3-0,Julie Coin,13.0,2.0,4795978.0,41873.0,,3.64,Julie Coin,74.0,1.0,1.0,70.0,17.0,86.0,45.0,36.0,41.0,21.0,,,,,,1.0,156.0,,,3.64,1.33,R16,7-5 4-6 6-1,hard,Michaella Krajicek,8.0,5.0,4795978.0,41874.0,,1.333,Michaella Krajicek,82.0,11.0,4.0,86.0,29.0,70.0,41.0,37.0,29.0,16.0,,,,,,2.0,156.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4510,H2H 1-1,Aleksandra Wozniak,7.0,4.0,4795979.0,41883.0,,1.5,Aleksandra Wozniak,95.0,14.0,3.0,99.0,39.0,89.0,58.0,39.0,31.0,17.0,,,,,,1.0,188.0,,,1.5,2.8,R16,6-4 4-6 6-4,hard,Rebecca Marino,11.0,5.0,4795979.0,41884.0,,2.8,Rebecca Marino,93.0,7.0,4.0,89.0,33.0,99.0,57.0,41.0,42.0,19.0,,,,,,2.0,188.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4511,H2H 2-1,Mirjana Lucic-Baroni,,,4795980.0,3452472.0,,2.18,Mirjana Lucic-Baroni,,,,,,,,,,,,,,,,2.0,,,,2.18,1.75,R16,2-6 6-1 6-3,hard,Barbora Strycova,,,4795980.0,3452471.0,,1.75,Barbora Strycova,,,,,,,,,,,,,,,,1.0,,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4512,H2H 1-0,Lucie Safarova,3.0,9.0,4795981.0,41886.0,,1.312,Lucie Safarova,77.0,6.0,3.0,80.0,30.0,82.0,46.0,34.0,36.0,13.0,,,,,,2.0,162.0,,,1.31,3.81,R16,7-6(1) 7-5,hard,Andrea Hlavackova,5.0,6.0,4795981.0,41885.0,,3.81,Andrea Hlavackova,85.0,6.0,4.0,82.0,35.0,80.0,43.0,28.0,37.0,22.0,,,,,,1.0,162.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4513,H2H 2-1,Ajla Tomljanovic,5.0,7.0,4795958.0,41714.0,,6.1,Ajla Tomljanovic,77.0,7.0,4.0,70.0,30.0,93.0,53.0,31.0,40.0,16.0,,,,,,2.0,163.0,,,6.1,1.15,R32,6-0 2-6 6-4,hard,Daniela Hantuchova,2.0,3.0,4795958.0,41713.0,,1.154,Daniela Hantuchova,86.0,18.0,6.0,93.0,46.0,70.0,48.0,31.0,22.0,9.0,,,,,,1.0,163.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
4514,H2H 3-0,Kathrin Woerle,3.0,6.0,4795959.0,41707.0,,2.75,Kathrin Woerle,78.0,8.0,5.0,83.0,37.0,75.0,38.0,21.0,37.0,20.0,,,,,,1.0,158.0,,,2.75,1.5,R32,6-4 1-6 6-3,hard,Melinda Czink,6.0,10.0,4795959.0,41708.0,,1.5,Melinda Czink,80.0,10.0,5.0,75.0,34.0,83.0,53.0,34.0,30.0,12.0,,,,,,2.0,158.0,,,2011-09-12,https://matchstat.com/tennis/tournaments/w/Quebec%20City/2011,Quebec City
