,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner,surface
0,H2H 1-0,Michael Stich,F,6-3 1-6 6-2,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Nicklas Kulti,hard
1,H2H 3-4,Magnus Larsson,SF,7-5 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Nicklas Kulti,hard
2,H2H 7-5,Jim Courier,SF,6-4 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Michael Stich,hard
3,H2H 3-0,Patrik Kuhnen,QF,7-6 3-6 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Magnus Larsson,hard
4,H2H 1-0,Fabrice Santoro,QF,6-3 6-0,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Nicklas Kulti,hard
5,H2H 2-0,Jimmy Arias,QF,3-6 6-3 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Michael Stich,hard
6,H2H 1-0,Martin Sinner,QF,7-6 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Jim Courier,hard
7,H2H 1-0,Slobodan Zivojinovic,R16,7-6 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Magnus Larsson,hard
8,H2H 3-2,Todd Woodbridge,R16,7-5 6-2,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Patrik Kuhnen,hard
9,H2H 2-1,Udo Riglewski,R16,7-6 7-5,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Fabrice Santoro,hard
10,H2H 2-4,Magnus Gustafsson,R16,4-6 6-1 6-1,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Nicklas Kulti,hard
11,H2H 1-0,Gilad Bloom,R16,7-5 6-1,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Michael Stich,hard
12,H2H 1-0,Jason Stoltenberg,R16,6-2 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Jimmy Arias,hard
13,H2H 2-2,Mark Woodforde,R16,4-6 6-3 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Martin Sinner,hard
14,H2H 4-0,Paul Haarhuis,R16,6-4 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Jim Courier,hard
15,H2H 2-4,Boris Becker,R32,6-4 3-6 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Magnus Larsson,hard
16,H2H 1-0,Mark Kratzmann,R32,6-3 3-6 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Slobodan Zivojinovic,hard
17,H2H 3-0,Veli Paloheimo,R32,6-0 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Patrik Kuhnen,hard
18,H2H 5-2,Guillaume Raoux,R32,7-6 6-1,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Todd Woodbridge,hard
19,H2H 1-2,Sergio Bruguera,R32,7-5 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Udo Riglewski,hard
20,H2H 2-1,Thierry Champion,R32,6-2 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Fabrice Santoro,hard
21,H2H 2-1,Aki Rahunen,R32,6-4 6-0,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Nicklas Kulti,hard
22,H2H 1-1,John Fitzgerald,R32,6-2 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Magnus Gustafsson,hard
23,H2H 1-0,Jean-Philippe Fleurian,R32,6-4 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Michael Stich,hard
24,H2H 2-0,Sandon Stolle,R32,6-7 7-6 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Gilad Bloom,hard
25,H2H 3-0,Jacco Eltingh,R32,6-3 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Jason Stoltenberg,hard
26,H2H 3-1,Horst Skoff,R32,7-6 3-0 Retired,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Jimmy Arias,hard
27,H2H 1-0,M. Koevermans,R32,6-2 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Mark Woodforde,hard
28,H2H 1-0,Eric Jelen,R32,6-3 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Martin Sinner,hard
29,H2H 1-0,Brad Pearce,R32,6-1 3-6 6-2,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Paul Haarhuis,hard
30,H2H 2-0,Alexander Mronz,R32,3-6 6-2 6-1,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,Jim Courier,hard
31,,P Haarhuis / M Koevermans,F,6-4 4-6 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,W Ferreira / S Kruger,hard
32,,B Becker / E Jelen,SF,6-3 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,P Haarhuis / M Koevermans,hard
33,,N Broad / S Youl,SF,7-6 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,W Ferreira / S Kruger,hard
34,,N Odizor / C Suk,QF,6-3 6-1,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,B Becker / E Jelen,hard
35,,A Castle / R Smith,QF,6-4 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,P Haarhuis / M Koevermans,hard
36,,J Brown / S Salumaa,QF,4-6 7-5 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,N Broad / S Youl,hard
37,,B Pearce / M Schapers,QF,6-4 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,W Ferreira / S Kruger,hard
38,,M Kratzmann / J Stoltenberg,R16,6-4 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,B Becker / E Jelen,hard
39,,P Doohan / L Warder,R16,6-4 7-5,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,N Odizor / C Suk,hard
40,,C Adams / G Pozzi,R16,7-5 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,P Haarhuis / M Koevermans,hard
41,,T Woodbridge / M Woodforde,R16,6-4 4-6 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,A Castle / R Smith,hard
42,,S DeVries / D Macpherson,R16,7-5 5-7 6-4,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,N Broad / S Youl,hard
43,,B Dyke / J Fitzgerald,R16,6-2 7-5,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,J Brown / S Salumaa,hard
44,,J Courier / G Layendecker,R16,3-6 6-2 7-6,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,W Ferreira / S Kruger,hard
45,,U Riglewski / M Stich,R16,7-5 6-3,1990-12-31,https://matchstat.com/tennis/tournaments/m/Adelaide/1991,Adelaide,B Pearce / M Schapers,hard
