,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
0,H2H 4-0,Renata Tomanova,F,6-2 0-6 6-2,clay,Sue Barker,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
1,H2H 1-1,Florenta Mihai,SF,7-5 7-6,clay,Renata Tomanova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
2,H2H 5-4,Virginia Ruzici,SF,6-3 1-6 6-2,clay,Sue Barker,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
3,H2H 2-0,Helga Masthoff,QF,6-2 6-4,clay,Renata Tomanova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
4,H2H 1-1,Kathy Kuykendall,QF,6-2 0-6 6-1,clay,Florenta Mihai,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
5,H2H 1-0,Miroslava Holubova,QF,6-1 6-3,clay,Virginia Ruzici,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
6,H2H 2-1,Regina Marsikova,QF,4-6 6-2 8-6,clay,Sue Barker,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
7,H2H 1-0,Cynthia Doerner,R16,1-6 6-0 7-5,clay,Helga Masthoff,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
8,H2H 1-3,Kathy Teacher,R16,6-2 6-2,clay,Renata Tomanova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
9,H2H 1-0,Isabel Fernandez-De Soto,R16,6-4 6-4,clay,Kathy Kuykendall,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
10,H2H 1-0,Nathalie Fuchs,R16,6-7 6-1 6-2,clay,Florenta Mihai,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
11,H2H 1-0,Wendy Turnbull,R16,7-6 6-7 6-0,clay,Miroslava Holubova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
12,H2H 3-0,Marita Redondo,R16,6-3 6-2,clay,Virginia Ruzici,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
13,H2H 1-0,Antonella Rosa,R16,6-4 6-1,clay,Regina Marsikova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
14,H2H 1-1,Mariana Simionescu,R16,7-5 2-6 6-1,clay,Sue Barker,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
15,H2H 1-0,Daniela Porzio,R32,7-5 5-7 6-2,clay,Helga Masthoff,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
16,H2H 1-0,Laura Du Pont,R32,2-6 6-3 6-2,clay,Cynthia Doerner,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
17,H2H 1-0,Linky Boshoff,R32,6-3 5-7 6-0,clay,Kathy Teacher,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
18,H2H 3-1,Ilana Kloss,R32,7-5 6-1,clay,Renata Tomanova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
19,H2H 1-0,Mima Jausovec,R32,3-6 7-6 6-3,clay,Kathy Kuykendall,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
20,H2H 1-0,Brigitte Simon-Glinel,R32,6-0 6-3,clay,Isabel Fernandez-De Soto,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
21,H2H 1-0,Frederique Thibault,R32,7-5 6-1,clay,Nathalie Fuchs,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
22,H2H 1-0,Jenny Walker,R32,7-6 2-6 6-3,clay,Florenta Mihai,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
23,H2H 1-0,Elly Vessies,R32,6-2 6-3,clay,Wendy Turnbull,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
24,H2H 1-0,Gail Lovera Benedetti,R32,1-6 6-2 7-5,clay,Miroslava Holubova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
25,H2H 1-0,Eva Szabo,R32,6-2 6-3,clay,Virginia Ruzici,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
26,H2H 1-0,Beth Norton,R32,5-7 6-4 6-2,clay,Marita Redondo,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
27,H2H 1-0,Florence Guedy,R32,6-2 6-4,clay,Antonella Rosa,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
28,H2H 2-0,Fiorella Bonicelli,R32,6-3 2-6 6-4,clay,Regina Marsikova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
29,H2H 1-0,Glynis Coles,R32,3-6 6-3 7-5,clay,Mariana Simionescu,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
30,H2H 1-0,Carmen Perea-Alcala,R32,7-5 7-6,clay,Sue Barker,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
31,H2H 1-0,Beatrix Klein,R64,6-4 6-3,clay,Helga Masthoff,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
32,H2H 1-0,Susana Maria Villaverde,R64,6-4 6-3,clay,Daniela Porzio,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
33,H2H 1-0,Odile De Roubin,R64,6-2 6-1,clay,Cynthia Doerner,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
34,H2H 1-0,Monique Van Haver,R64,6-3 6-4,clay,Laura Du Pont,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
35,H2H 1-0,Helena Anliot,R64,6-4 6-3,clay,Linky Boshoff,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
36,H2H 1-0,Alison Mcmillan,R64,6-3 0-6 6-4,clay,Kathy Teacher,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
37,H2H 2-2,Betsy Nagelsen,R64,6-1 6-2,clay,Renata Tomanova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
38,H2H 1-0,Heidi Eisterlehner,R64,6-3 6-0,clay,Ilana Kloss,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
39,H2H 1-0,Janice Metcalf,R64,6-1 6-1,clay,Mima Jausovec,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
40,H2H 1-0,Chris O'neil,R64,6-4 6-0,clay,Kathy Kuykendall,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
41,H2H 1-0,Jane Stratton,R64,6-3 6-1,clay,Isabel Fernandez-De Soto,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
42,H2H 1-0,Iris Riedel,R64,6-3 4-6 7-5,clay,Brigitte Simon-Glinel,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
43,H2H 1-0,Lesley Hunt,R64,3-6 7-5 8-6,clay,Frederique Thibault,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
44,H2H 1-0,Jenny Dimond,R64,6-1 6-1,clay,Nathalie Fuchs,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
45,H2H 1-0,Valerie Ziegenfuss,R64,4-6 6-4 6-3,clay,Jenny Walker,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
46,H2H 1-0,Rowena Whitehouse,R64,2-6 6-2 6-3,clay,Florenta Mihai,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
47,H2H 1-0,Ingrid Bentzer,R64,6-2 7-6,clay,Wendy Turnbull,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
48,H2H 1-0,Kathleen Harter,R64,6-1 6-7 11-9,clay,Elly Vessies,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
49,H2H 1-0,Maria Bueno,R64,6-4 6-1,clay,Miroslava Holubova,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
50,H2H 1-0,Yvonne Vermaak,R64,6-2 6-1,clay,Gail Lovera Benedetti,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
51,H2H 1-0,Sally Greer,R64,6-7 7-6 6-1,clay,Eva Szabo,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
52,H2H 2-0,Michele Gurdal,R64,6-2 6-2,clay,Virginia Ruzici,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
53,H2H 2-0,Christine Dorey,R64,6-0 6-1,clay,Beth Norton,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
54,H2H 1-0,Elvira Weisenberger,R64,6-1 6-1,clay,Marita Redondo,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
55,H2H 1-0,Sylvie Rual,R64,2-6 6-4 6-0,clay,Florence Guedy,1976-05-31,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1976,FO - RG
