,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner
0,H2H 2-0,Russell Simpson,F,6-4 6-3 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,J. Alexander
1,H2H 3-3,Chris Lewis,SF,7-6 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,J. Alexander
2,H2H 2-1,Rod Frawley,SF,6-4 3-6 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Russell Simpson
3,H2H 1-0,David Siegler,QF,6-1 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,J. Alexander
4,H2H 3-0,Bernie Mitton,QF,6-7 6-4 7-5,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Chris Lewis
5,H2H 1-0,Broderick Dyke,QF,6-2 6-1,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Rod Frawley
6,H2H 1-0,Jeff Simpson,QF,6-2 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Russell Simpson
7,H2H 1-1,John Lloyd,R16,7-6 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,J. Alexander
8,H2H 1-0,Brad Drewett,R16,6-7 6-4 7-6,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,David Siegler
9,H2H 1-0,John  Mccurdy,R16,6-3 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Chris Lewis
10,H2H 1-0,David Lewis,R16,6-1 6-1,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Bernie Mitton
11,H2H 1-0,David Graham,R16,6-4 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Rod Frawley
12,H2H 1-0,Armand Molino,R16,6-4 5-7 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Broderick Dyke
13,H2H 1-0,Bruce Derlin,R16,4-6 6-3 8-6,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Jeff Simpson
14,H2H 2-1,Charles Fancutt,R16,6-4 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Russell Simpson
15,H2H 1-0,John Frawley,R32,6-2 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,J. Alexander
16,H2H 1-0,Greg Whitecross,R32,6-4 6-1,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,John Lloyd
17,H2H 1-0,Jeff Turpin,R32,7-5 2-6 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,David Siegler
18,H2H 2-0,Peter Johnston,R32,6-3 5-7 8-6,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Brad Drewett
19,H2H 2-0,Scott McCain,R32,6-3 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Chris Lewis
20,H2H 1-0,David Mustard,R32,7-6 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,John  Mccurdy
21,H2H 1-0,Rand Evett,R32,3-6 6-4 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,David Lewis
22,H2H 2-0,Ross Case,R32,6-2 3-6 8-6,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Bernie Mitton
23,H2H 1-0,Matt Mcdonald,R32,7-6 4-6 6-1,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Rod Frawley
24,H2H 1-0,Ron Dutton,R32,6-2 6-1,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,David Graham
25,H2H 1-0,Robert Crames,R32,6-1 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Armand Molino
26,H2H 1-0,P. Dent,R32,6-4 5-7 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Broderick Dyke
27,H2H 1-0,Craig Tregonning,R32,6-4 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Jeff Simpson
28,H2H 1-0,Rodney Crowley,R32,6-1 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Bruce Derlin
29,H2H 1-0,Mark Lewis,R32,6-1 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Charles Fancutt
30,H2H 1-0,Eduardo Oncins,R32,7-6 6-2,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,Russell Simpson
31,,D Graham / L Warder,F,7-6 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,C Lewis / R Simpson
32,,R Crowley / R Evett,SF,4-6 6-1 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,D Graham / L Warder
33,,R Frawley / J Simpson,SF,7-6 4-6 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,C Lewis / R Simpson
34,,M Grant / S Maloney,QF,7-6 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,R Crowley / R Evett
35,,R Case / B Drewett,QF,7-5 6-2,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,D Graham / L Warder
36,,B Derlin / D Mustard,QF,7-6 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,R Frawley / J Simpson
37,,B Dyke / G Whitecross,QF,6-7 7-6 6-2,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,C Lewis / R Simpson
38,,J Alexander / P Dent,R16,7-6 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,R Crowley / R Evett
39,,S Brawley / M Lewis,R16,7-6 3-6 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,M Grant / S Maloney
40,,C Fancutt / D Siegler,R16,4-6 6-3 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,D Graham / L Warder
41,,P Johnston / J Mccurdy,R16,6-3 3-6 7-5,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,R Case / B Drewett
42,,H Hansson / E Oncins,R16,6-3 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,B Derlin / D Mustard
43,,S Bondurant / A Molino,R16,6-7 6-4 7-5,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,R Frawley / J Simpson
44,,J Frawley / D Lewis,R16,6-4 6-4,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,B Dyke / G Whitecross
45,,S McCain / B Mitton,R16,6-4 3-6 6-3,1983-01-10,https://matchstat.com/tennis/tournaments/m/Auckland/1983,Auckland,C Lewis / R Simpson
46,H2H 19-14,John McEnroe,F,6-4 6-4 6-2,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Ivan Lendl
47,H2H 22-12,Jimmy Connors,SF,6-3 6-1,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Ivan Lendl
48,H2H 2-0,Guillermo Vilas,SF,6-3 6-3,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,John McEnroe
49,H2H 7-2,Johan Kriek,QF,7-6 6-2,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Jimmy Connors
50,H2H 10-6,Yannick Noah,QF,6-4 7-5,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Ivan Lendl
51,H2H 2-3,Jose Luis Clerc,QF,6-3 6-4,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,John McEnroe
52,H2H 1-0,Andres Gomez,QF,7-5 6-4,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Guillermo Vilas
53,H2H 4-0,Steve Denton,R16,6-3 4-6 6-2,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Johan Kriek
54,H2H 3-1,Vitas Gerulaitis,R16,4-6 6-3 6-2,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Yannick Noah
55,H2H 2-2,Mats Wilander,R16,5-7 6-4 6-1,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Jose Luis Clerc
56,H2H 5-3,Jose Higueras,R16,0-6 6-2 6-4,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1983,ATP World Tour Finals,Andres Gomez
57,,S Stewart / F Taygan,F,7-5 6-3,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20Finals%20Doubles/1983,ATP Finals Doubles,P Fleming / J McEnroe
58,,V Amaya / H Pfister,SF,6-2 6-2,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20Finals%20Doubles/1983,ATP Finals Doubles,S Stewart / F Taygan
59,,P Slozil / T Smid,SF,6-3 6-4,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20Finals%20Doubles/1983,ATP Finals Doubles,P Fleming / J McEnroe
60,,T Gullikson / T Gullikson,QF,7-6 7-6,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20Finals%20Doubles/1983,ATP Finals Doubles,V Amaya / H Pfister
61,,K Curren / S Denton,QF,7-6 7-6,1983-01-17,https://matchstat.com/tennis/tournaments/m/ATP%20Finals%20Doubles/1983,ATP Finals Doubles,P Slozil / T Smid
62,H2H 2-2,Mats Wilander,F,3-6 7-5 6-1,1983-01-24,https://matchstat.com/tennis/tournaments/m/Guaruja/1983,Guaruja,Jose Luis Clerc
63,H2H 2-0,Bernard Boileau,SF,6-1 6-2,1983-01-24,https://matchstat.com/tennis/tournaments/m/Guaruja/1983,Guaruja,Jose Luis Clerc
