,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,surface,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
0,H2H 1-0,Ashley Harkleroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,6-3 6-2,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Eleni Daniilidou,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H2H 3-0,Paola Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,7-6(13) 6-4,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Eleni Daniilidou,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H2H 2-1,Marion Bartoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,3-6 6-4 6-1,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Ashley Harkleroad,,,,,,,,,,,,,,,,,,,,,,,,,,
3,H2H 2-0,Kristina Brandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-4 6-2,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Paola Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,
4,H2H 2-0,Meilen Tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,7-5 6-2,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Eleni Daniilidou,,,,,,,,,,,,,,,,,,,,,,,,,,
5,H2H 5-0,Shenay Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-2 6-3,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Marion Bartoli,,,,,,,,,,,,,,,,,,,,,,,,,,
6,H2H 2-2,Anca Barna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,7-5 6-3,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Ashley Harkleroad,,,,,,,,,,,,,,,,,,,,,,,,,,
7,H2H 1-0,Lindsay Lee-Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-1 6-3,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Paola Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,
8,H2H 2-4,Amy Frazier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,2-6 7-6(3) 7-6(6),2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Kristina Brandi,,,,,,,,,,,,,,,,,,,,,,,,,,
9,H2H 3-1,Emmanuelle Gagliardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(3) 6-2,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Eleni Daniilidou,,,,,,,,,,,,,,,,,,,,,,,,,,
10,H2H 3-0,Marlene Weingartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,4-6 6-3 7-6(4),2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Meilen Tu,,,,,,,,,,,,,,,,,,,,,,,,,,
11,H2H 2-1,Tathiana Garbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-1 2-6 6-3,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Shenay Perry,,,,,,,,,,,,,,,,,,,,,,,,,,
12,H2H 1-0,Cara Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-1 6-1,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Marion Bartoli,,,,,,,,,,,,,,,,,,,,,,,,,,
13,H2H 1-0,Eden Marama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 7-5,2004-01-05,hard,https://matchstat.com/tennis/tournaments/w/Auckland/2004,Auckland,Anca Barna,,,,,,,,,,,,,,,,,,,,,,,,,,
