,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,Billie Jean King,F,6-4 6-1,grass,Margaret Court,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
1,H2H 1-1,Adrianne Haydon,SF,4-6 6-2 6-3,grass,Billie Jean King,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
2,H2H 5-0,Kerry Reid,SF,3-6 6-2 7-5,grass,Margaret Court,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
3,H2H 3-0,Karen Krantzcke,QF,11-9 7-5,grass,Billie Jean King,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
4,H2H 1-0,Lesley Hunt,QF,6-3 6-1,grass,Adrianne Haydon,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
5,H2H 3-0,Helen Gourlay,QF,6-3 4-6 6-4,grass,Kerry Reid,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
6,H2H 6-1,Rosie Casals,QF,6-4 6-1,grass,Margaret Court,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
7,H2H 9-2,Evonne Cawley,R16,6-3 6-1,grass,Billie Jean King,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
8,H2H 1-0,Helen Sheedy,R16,6-0 6-1,grass,Karen Krantzcke,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
9,H2H 1-0,Kerry Harris,R16,9-7 6-1,grass,Adrianne Haydon,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
10,H2H 1-0,Lesley Bowrey,R16,WO,grass,Lesley Hunt,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
11,H2H 1-1,Francoise Durr,R16,4-6 6-4 6-0,grass,Helen Gourlay,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
12,H2H 1-0,Margaret Starr,R16,6-1 6-1,grass,Kerry Reid,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
13,H2H 1-0,Janet Young,R16,6-3 6-3,grass,Rosie Casals,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
14,H2H 1-0,Helen Amos,R16,6-0 6-2,grass,Margaret Court,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
15,H2H 1-0,Frances Luff,R32,6-1 6-3,grass,Billie Jean King,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
16,H2H 2-0,Helen Kayser,R32,6-3 6-1,grass,Evonne Cawley,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
17,H2H 1-0,Lexie Kenny,R32,6-1 6-2,grass,Karen Krantzcke,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
18,H2H 1-0,Lany Kaligis,R32,7-5 6-2,grass,Helen Sheedy,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
19,H2H 1-0,Patricia Edwards,R32,6-0 6-2,grass,Adrianne Haydon,1969-01-20,https://matchstat.com/tennis/tournaments/w/Australian%20Open/1969,Australian Open
