,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
740,H2H 1-0,Nicole Bimes,SFQ,5-7 6-2 6-3,clay,Susana Maria Villaverde,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
741,H2H 1-0,Nina Bohm,SFQ,7-5 7-5,clay,Chris O'neil,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
742,H2H 1-0,Iva Budarova,SFQ,5-7 6-2 6-4,clay,Donna Ganz,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
743,H2H 1-0,Kym Ruddell,SFQ,6-3 6-4,clay,Monique Van Haver,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
744,H2H 1-0,Marion Foldina,SFQ,6-1 6-0,clay,Silvana Urroz,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
745,H2H 1-0,Christine Dorey,QFQ,6-7 6-2 6-3,clay,Ivanna Madruga-Osses,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
746,H2H 1-1,Lucia Romanov,QFQ,1-6 6-4 6-2,clay,Hana Strachonova,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
747,H2H 1-0,Yolanda Sumarno,QFQ,6-4 6-7 6-2,clay,Natalie Scaramanga,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
748,H2H 1-0,Rosy Darmon,QFQ,6-4 6-3,clay,Marketa Wallenfels,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
749,H2H 1-0,Nancy Ornstein,QFQ,4-6 6-1 6-4,clay,Jan Wilton,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
750,H2H 1-0,Dominique Beillan,QFQ,7-6 7-5,clay,Elvira Weisenberger,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
751,H2H 1-0,Helle Viragh,QFQ,6-4 6-2,clay,Claudia Casabianca,1977-05-23,https://matchstat.com/tennis/tournaments/w/FO%20-%20RG/1977,FO - RG
