,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 1-2,Barbara Paulus,F,6-3 1-6 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Sandra Cacic
1,H2H 1-0,Florencia Labat,SF,6-3 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Sandra Cacic
2,H2H 1-0,Fang Li,SF,6-3 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Barbara Paulus
3,H2H 1-0,Julie Halard-Decugis,QF,6-4 4-6 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Sandra Cacic
4,H2H 2-2,Sabine Hack,QF,6-2 1-6 7-6,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Florencia Labat
5,H2H 1-4,Rita Grande,QF,2-6 7-5 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Fang Li
6,H2H 3-0,Karin Kschwendt,QF,6-2 6-2,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Barbara Paulus
7,H2H 1-0,Laurence Courtois,R16,7-5 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Julie Halard-Decugis
8,H2H 1-0,Jana Kandarr,R16,6-2 6-2,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Sandra Cacic
9,H2H 2-2,Joannette Kruger,R16,6-2 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Florencia Labat
10,H2H 3-0,Silvia Farina Elia,R16,6-4 6-2,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Sabine Hack
11,H2H 1-0,Andrea Glass,R16,2-6 6-4 7-6,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Fang Li
12,H2H 3-3,Ai Sugiyama,R16,6-3 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Rita Grande
13,H2H 1-1,Rachel McQuillan,R16,7-6 7-5,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Karin Kschwendt
14,H2H 1-0,Pam Shriver,R16,6-2 3-6 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Barbara Paulus
15,H2H 2-3,Irina Spirlea,R32,7-5 6-2,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Julie Halard-Decugis
16,H2H 1-0,Ludmila Richterova,R32,2-6 6-4 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Laurence Courtois
17,H2H 1-0,Els Callens,R32,1-6 7-5 6-1,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Jana Kandarr
18,H2H 1-1,Kyoko Nagatsuka,R32,6-1 6-2,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Sandra Cacic
19,H2H 1-1,Jana Nejedly,R32,5-7 6-2 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Joannette Kruger
20,H2H 4-0,Linda Wild,R32,6-3 1-6 6-1,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Florencia Labat
21,H2H 1-0,Nancy Feber,R32,6-7 6-2 6-2,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Silvia Farina Elia
22,H2H 3-0,Patricia Hy-Boulais,R32,6-3 2-6 6-1,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Sabine Hack
23,H2H 1-0,Angelica Gavaldon,R32,6-3 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Andrea Glass
24,H2H 3-0,Anna Smashnova,R32,6-1 6-7 6-1,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Fang Li
25,H2H 1-0,Claudine Toleafoa,R32,6-3 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Rita Grande
26,H2H 1-0,Judith Wiesner,R32,6-3 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Ai Sugiyama
27,H2H 2-2,Shi-Ting Wang,R32,6-2 2-6 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Karin Kschwendt
28,H2H 2-0,Lindsay Lee-Waters,R32,6-3 6-1,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Rachel McQuillan
29,H2H 1-0,Ruxandra Dragomir-Ilie,R32,6-4 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Pam Shriver
30,H2H 1-0,Elena Likhovtseva,R32,6-3 7-5,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,Barbara Paulus
31,,J Hetherington / K Kunce,F,6-1 6-0,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,E Callens / J Halard-Decugis
32,,R Hiraki / P Hy-Boulais,SF,6-1 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,E Callens / J Halard-Decugis
33,,A Fusai / K Kschwendt,SF,6-3 6-2,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,J Hetherington / K Kunce
34,,P Shriver / E Smylie,QF,6-3 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,R Hiraki / P Hy-Boulais
35,,K Nagatsuka / A Sugiyama,QF,6-3 2-6 6-2,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,E Callens / J Halard-Decugis
36,,S Farina Elia / L Golarsa,QF,7-6 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,J Hetherington / K Kunce
37,,N Dahlman / C Wood,QF,7-5 3-6 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,A Fusai / K Kschwendt
38,,I Spirlea / L Wild,R16,7-6 6-3,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,P Shriver / E Smylie
39,,L Courtois / N Feber,R16,6-4 6-4,1996-01-01,hard,https://matchstat.com/tennis/tournaments/w/Auckland/1996,Auckland,R Hiraki / P Hy-Boulais
