,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner
36,H2H 1-0,Alvin Gardiner,R64,4-6 4-6 7-6 6-4 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Charles Fancutt
37,H2H 2-0,Chris Lewis,R64,3-6 6-1 7-6 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Ross Case
38,H2H 2-0,Brad Drewett,R64,4-6 6-3 6-1 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,William Lloyd
39,H2H 1-0,Peter McNamara,R64,6-3 6-0 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,A. Ashe
40,H2H 1-0,H. Elschenbroich,R64,3-6 6-3 6-3 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Dick Bohrnstedt
41,H2H 2-2,Geoff Masters,R64,3-6 6-3 6-0 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Hank Pfister
42,H2H 2-0,Stone,R64,6-3 6-7 6-1 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Cliff Letcher
43,H2H 1-0,Paul Kronk,R64,7-5 6-1 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,R. Ruffels
44,H2H 1-0,Kim Warwick,R64,6-1 6-3 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Colin Dibley
45,H2H 1-0,Mike Machette,R64,7-6 7-6 6-7 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,J. Alexander
46,H2H 1-0,Graeme Thomson,R64,6-2 7-5 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Marten
47,H2H 1-0,Bob Giltinan,R64,6-2 6-7 6-4 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Richard Lewis
48,H2H 1-0,Russell Simpson,R64,6-3 6-2 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Tom Gorman
