,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,surface
5264,,Y Lu / F Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,7-6(8) 6-4,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5265,,D Nestor / N Zimonjic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,7-6(3) 6-4,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,M Fyrstenberg / M Matkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5266,,J Erlich / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,7-6(4) 6-2,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5267,,M Gong / Z Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,3-6 6-1 [12-10],2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,Y Lu / F Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5268,,M Fish / M Knowles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,WO,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,M Fyrstenberg / M Matkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5269,,S Stakhovsky / M Youzhny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-2 6-2,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,D Nestor / N Zimonjic,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5270,,J Isner / S Querrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 6-4,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5271,,L Dlouhy / P Kohlschreiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-7(5) 6-4 [10-6],2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,J Erlich / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5272,,L Kubot / O Marach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,4-6 6-1 [11-9],2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,M Gong / Z Li,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5273,,I Ljubicic / T Robredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-1 7-5,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,Y Lu / F Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5274,,N Almagro / J Tipsarevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(2) 6-2,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,M Fish / M Knowles,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5275,,D Ferrer / A Montanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(7) 6-4,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,M Fyrstenberg / M Matkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5276,,T Bellucci / A Dolgopolov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,WO,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,S Stakhovsky / M Youzhny,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5277,,A Golubev / D Istomin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 6-1,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,D Nestor / N Zimonjic,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5278,H2H 2-0,Grega Zemlja,6.0,3.0,5968254.0,149054.0,,2.9,Grega Zemlja,91.0,4.0,2.0,79.0,23.0,114.0,79.0,50.0,35.0,18.0,,,,,,2.0,193.0,,,2.9,1.45,FQ,5-7 6-4 6-3,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,Michael Berrer,6.0,3.0,5968254.0,149053.0,,1.45,Michael Berrer,102.0,17.0,4.0,114.0,46.0,79.0,53.0,42.0,26.0,14.0,,,,,,1.0,193.0,,,hard
5279,H2H 1-0,Rainer Schuettler,3.0,5.0,5968255.0,149042.0,,1.99,Rainer Schuettler,103.0,8.0,5.0,109.0,50.0,91.0,54.0,31.0,37.0,22.0,,,,,,2.0,200.0,,,1.99,1.88,FQ,1-6 7-5 6-3,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,Lukasz Kubot,2.0,7.0,5968255.0,149041.0,,1.88,Lukasz Kubot,97.0,6.0,5.0,91.0,38.0,109.0,73.0,42.0,36.0,17.0,,,,,,1.0,200.0,,,hard
5280,H2H 3-0,Teymuraz Gabashvili,2.0,2.0,5968256.0,149044.0,,2.5,Teymuraz Gabashvili,43.0,2.0,2.0,49.0,16.0,53.0,27.0,18.0,26.0,9.0,,,,,,2.0,102.0,,,2.5,1.58,FQ,6-3 6-3,2010-10-04,https://matchstat.com/tennis/tournaments/m/Beijing/2010,Beijing,Paul-Henri Mathieu,2.0,2.0,5968256.0,149043.0,,1.58,Paul-Henri Mathieu,59.0,7.0,5.0,53.0,26.0,49.0,25.0,18.0,24.0,15.0,,,,,,1.0,102.0,,,hard
