,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 10-17,Martina Navratilova,F,6-3 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Tracy Austin
1,H2H 13-1,Dianne Balestrat,SF,6-4 6-3,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Martina Navratilova
2,H2H 2-0,Ilana Kloss,SF,6-2 6-3,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Tracy Austin
3,H2H 11-0,Ann Kiyomura,QF,6-3 6-1,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Martina Navratilova
4,H2H 2-1,Pam Teeguarden,QF,6-2 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Dianne Balestrat
5,H2H 1-2,Anne Smith,QF,6-4 4-6 6-4,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Ilana Kloss
6,H2H 4-2,Pam Shriver,QF,6-3 1-6 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Tracy Austin
7,H2H 1-0,Ruta Gerulaitis,R16,6-4 6-3,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Martina Navratilova
8,H2H 2-0,Mima Jausovec,R16,4-6 6-4 6-3,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Ann Kiyomura
9,H2H 1-1,Mareen Harper,R16,6-2 6-0,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Dianne Balestrat
10,H2H 1-1,Renee Richards,R16,6-2 6-4,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Pam Teeguarden
11,H2H 1-3,Rosie Casals,R16,4-6 6-4 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Ilana Kloss
12,H2H 1-0,Janet Wright,R16,7-6 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Anne Smith
13,H2H 1-0,Hana Strachonova,R16,6-2 7-5,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Pam Shriver
14,H2H 3-0,Diane Desfor,R16,6-2 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Tracy Austin
15,H2H 4-0,Lea Antonoplis,R32,6-1 6-0,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Martina Navratilova
16,H2H 1-0,Dana Gilbert,R32,6-4 6-4,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Ruta Gerulaitis
17,H2H 1-0,Nancy Ornstein,R32,6-2 6-3,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Mima Jausovec
18,H2H 1-1,Jeanne Duvall,R32,6-4 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Ann Kiyomura
19,H2H 4-0,Joanne Russell,R32,6-2 2-1 Retired,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Dianne Balestrat
20,H2H 1-0,Viviana Segal,R32,6-4 7-6,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Mareen Harper
21,H2H 2-1,Virginia Ruzici,R32,5-7 6-4 7-5,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Renee Richards
22,H2H 3-2,Yvonne Vermaak,R32,6-0 6-4,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Pam Teeguarden
23,H2H 2-0,Laura Du Pont,R32,7-6 2-6 6-4,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Ilana Kloss
24,H2H 1-1,Sharon Walsh-Pete,R32,3-6 6-3 6-3,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Rosie Casals
25,H2H 2-0,Caroline Stoll,R32,6-2 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Janet Wright
26,H2H 3-2,Betty Stove,R32,6-7 7-5 6-3,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Anne Smith
27,H2H 1-0,Stephanie Tolleson,R32,2-6 6-3 7-5,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Hana Strachonova
28,H2H 2-0,Francoise Durr,R32,6-2 6-4,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Pam Shriver
29,H2H 1-0,Julie Anthony,R32,6-0 4-6 6-1,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Diane Desfor
30,H2H 3-0,Barbara Hallquist,R32,6-2 6-2,1979-01-01,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1979,Washington,Tracy Austin
