,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
0,H2H 2-7,Mary Pierce,F,4-6 7-6 6-2,hard,Patty Schnyder,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
1,H2H 5-3,Irina Spirlea,SF,4-6 6-4 6-1,hard,Mary Pierce,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
2,H2H 2-4,Ai Sugiyama,SF,6-0 1-6 6-4,hard,Patty Schnyder,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
3,H2H 4-0,Nathalie Dechy,QF,6-4 6-3,hard,Mary Pierce,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
4,H2H 1-7,Anke Huber,QF,6-4 4-6 6-1,hard,Irina Spirlea,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
5,H2H 2-0,Brie Rippner,QF,6-3 6-3,hard,Ai Sugiyama,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
6,H2H 5-2,Magui Serna,QF,6-0 1-6 6-4,hard,Patty Schnyder,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
7,H2H 1-1,Ines Gorrochategui,R16,6-2 6-2,hard,Mary Pierce,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
8,H2H 2-0,Elena Likhovtseva,R16,6-4 3-6 7-5,hard,Nathalie Dechy,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
9,H2H 4-0,Anna Smashnova,R16,6-4 6-1,hard,Irina Spirlea,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
10,H2H 4-2,Anne-Gaelle Sidot,R16,6-3 4-6 7-5,hard,Anke Huber,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
11,H2H 1-0,Kveta Peschke,R16,6-2 6-1,hard,Brie Rippner,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
12,H2H 2-0,Sarah Pitkowski-Malcor,R16,6-4 7-5,hard,Ai Sugiyama,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
13,H2H 4-2,Ruxandra Dragomir-Ilie,R16,6-3 6-4,hard,Magui Serna,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
14,H2H 2-0,Shi-Ting Wang,R16,6-3 6-4,hard,Patty Schnyder,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
15,H2H 1-0,Tathiana Garbin,R32,7-5 6-2,hard,Ines Gorrochategui,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
16,H2H 3-2,Tatiana Panova,R32,6-1 2-6 6-2,hard,Nathalie Dechy,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
17,H2H 4-0,Nicole Pratt,R32,6-2 6-1,hard,Elena Likhovtseva,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
18,H2H 2-1,Rachel McQuillan,R32,7-6 6-3,hard,Irina Spirlea,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
19,H2H 2-1,Larisa Savchenko,R32,6-0 6-3,hard,Anna Smashnova,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
20,H2H 1-0,Annabel Ellwood,R32,3-6 6-4 6-1,hard,Anne-Gaelle Sidot,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
21,H2H 2-2,Mariaan De Swardt,R32,6-3 6-2,hard,Anke Huber,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
22,H2H 2-1,Henrieta Nagyova,R32,3-6 7-6 6-1,hard,Kveta Peschke,1999-01-04,https://matchstat.com/tennis/tournaments/w/Hope%20Island/1999,Hope Island
