,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 10-2,Betty Stove,F,7-5 6-4,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Martina Navratilova
1,H2H 13-1,Dianne Balestrat,SF,6-7 6-4 7-5,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Martina Navratilova
2,H2H 3-1,Joanne Russell,SF,2-6 7-6 6-2,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Betty Stove
3,H2H 12-0,Greer Stevens,QF,6-2 6-3,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Martina Navratilova
4,H2H 2-0,Kathy Teacher,QF,7-6 7-5,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Dianne Balestrat
5,H2H 4-3,Virginia Ruzici,QF,6-4 6-1,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Betty Stove
6,H2H 1-0,Nancy Richey,QF,6-4 6-3,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Joanne Russell
7,H2H 2-1,Janet Wright,R16,6-3 6-2,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Martina Navratilova
8,H2H 1-0,Florenta Mihai,R16,6-2 7-6,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Greer Stevens
9,H2H 1-1,Virginia Wade,R16,6-2 3-6 7-5,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Kathy Teacher
10,H2H 4-0,Laura Du Pont,R16,6-2 3-6 6-4,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Dianne Balestrat
11,H2H 2-3,Pam Shriver,R16,6-4 7-5,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Virginia Ruzici
12,H2H 3-2,Julie Anthony,R16,6-1 6-4,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Betty Stove
13,H2H 4-1,Lesley Hunt,R16,6-2 6-2,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Nancy Richey
14,H2H 2-2,Regina Marsikova,R16,6-3 6-3,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Joanne Russell
15,H2H 9-0,Sharon Walsh-Pete,R32,6-2 6-0,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Martina Navratilova
16,H2H 1-0,Linda Mottram,R32,6-2 7-5,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Janet Wright
17,H2H 1-0,Kristien Shaw,R32,6-1 6-1,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Greer Stevens
18,H2H 1-0,Jeanne Evert,R32,6-2 6-1,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Florenta Mihai
19,H2H 4-0,Renee Richards,R32,6-0 6-3,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Virginia Wade
20,H2H 1-0,Kathy Kuykendall,R32,6-0 6-0,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Kathy Teacher
21,H2H 3-0,Michelle Tyler,R32,6-4 3-6 6-3,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Dianne Balestrat
22,H2H 1-1,Kate Latham,R32,6-7 1-6 6-3,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Laura Du Pont
23,H2H 2-0,Pam Teeguarden,R32,7-6 6-0,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Pam Shriver
24,H2H 5-6,Wendy Turnbull,R32,6-1 1-6 7-6,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Virginia Ruzici
25,H2H 1-0,Yvonne Vermaak,R32,7-6 6-1,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Julie Anthony
26,H2H 3-0,Brigette Cuypers,R32,2-6 6-4 6-0,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Betty Stove
27,H2H 1-0,Betsy Nagelsen,R32,6-4 6-1,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Nancy Richey
28,H2H 1-0,Terry Holladay,R32,6-2 3-6 6-0,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Lesley Hunt
29,H2H 1-1,Francoise Durr,R32,7-6 4-6 6-1,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Joanne Russell
30,H2H 1-2,Billie Jean King,R32,1-6 6-3 6-3,1978-01-02,carpet,https://matchstat.com/tennis/tournaments/w/Washington/1978,Washington,Regina Marsikova
31,H2H 11-1,Virginia Wade,F,6-2 6-3,1978-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Hollywood/1978,Hollywood,Evonne Cawley
32,H2H 5-5,Wendy Turnbull,SF,6-3 7-5,1978-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Hollywood/1978,Hollywood,Virginia Wade
33,H2H 7-0,Betty Stove,SF,6-2 5-7 6-4,1978-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Hollywood/1978,Hollywood,Evonne Cawley
