,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,surface,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
5115,H2H 3-5,Angelique Kerber,1.0,1.0,8449777.0,3609603.0,,1.3,Angelique Kerber,65.0,11.0,2.0,75.0,28.0,66.0,43.0,27.0,23.0,10.0,10.0,,,,,1.0,142.0,,,1.3,3.5,R16,6-3 7-5,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Elina Svitolina,2.0,2.0,8449777.0,3609604.0,,3.5,Elina Svitolina,77.0,9.0,4.0,67.0,30.0,73.0,43.0,33.0,30.0,14.0,11.0,,,,,2.0,142.0,,
5116,H2H 3-0,Caroline Garcia,3.0,3.0,8449778.0,3609600.0,,2.0,Caroline Garcia,51.0,3.0,2.0,47.0,14.0,68.0,34.0,23.0,34.0,14.0,10.0,,,,,2.0,118.0,,,2.0,1.81,R16,6-4 6-3,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Daria Gavrilova,1.0,1.0,8449778.0,3609599.0,,1.81,Daria Gavrilova,67.0,11.0,5.0,71.0,34.0,46.0,26.0,17.0,20.0,16.0,9.0,,,,,1.0,118.0,,
5117,H2H 6-9,Caroline Wozniacki,0.0,1.0,8449515.0,3609122.0,,2.4,Caroline Wozniacki,42.0,6.0,2.0,57.0,23.0,47.0,30.0,13.0,17.0,6.0,8.0,,,,,2.0,105.0,,,2.4,1.57,R16,6-3 6-1,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Agnieszka Radwanska,2.0,2.0,8449515.0,3609121.0,,1.57,Agnieszka Radwanska,63.0,9.0,6.0,48.0,29.0,55.0,34.0,23.0,21.0,11.0,8.0,,,,,1.0,105.0,,
5118,H2H 1-1,Alize Cornet,0.0,6.0,8448914.0,3609093.0,,2.1,Alize Cornet,62.0,9.0,1.0,77.0,31.0,54.0,35.0,20.0,19.0,11.0,9.0,,,,,1.0,137.0,,,2.1,1.7,R16,6-2 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Yaroslava Shvedova,1.0,2.0,8448914.0,3609094.0,,1.7,Yaroslava Shvedova,75.0,5.0,4.0,60.0,29.0,75.0,42.0,29.0,33.0,17.0,9.0,,,,,2.0,137.0,,
5119,H2H 1-5,Karolina Pliskova,7.0,4.0,8449779.0,3609601.0,,1.87,Karolina Pliskova,88.0,13.0,3.0,103.0,36.0,82.0,47.0,32.0,35.0,20.0,14.0,,,,,1.0,189.0,,,1.87,1.93,R16,6-1 3-6 7-6(2),2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Johanna Konta,4.0,3.0,8449779.0,3609602.0,,1.93,Johanna Konta,101.0,10.0,4.0,86.0,34.0,100.0,69.0,50.0,31.0,17.0,14.0,,,,,2.0,189.0,,
5120,H2H 2-1,Simona Halep,0.0,6.0,8449583.0,3609118.0,,1.14,Simona Halep,35.0,4.0,1.0,50.0,17.0,36.0,23.0,13.0,13.0,5.0,7.0,,,,,2.0,92.0,,,1.14,5.8,R16,6-0 6-3,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Shuai Zhang,0.0,1.0,8449583.0,3609117.0,,5.8,Shuai Zhang,57.0,7.0,5.0,42.0,24.0,49.0,33.0,23.0,16.0,10.0,8.0,,,,,1.0,92.0,,
5121,H2H 3-0,Svetlana Kuznetsova,1.0,7.0,8449516.0,3609086.0,,2.05,Svetlana Kuznetsova,67.0,8.0,3.0,75.0,30.0,67.0,52.0,33.0,15.0,4.0,10.0,,,,,2.0,149.0,,,2.05,1.77,R16,7-6(2) 6-2,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Madison Keys,2.0,5.0,8449516.0,3609085.0,,1.77,Madison Keys,82.0,9.0,5.0,74.0,37.0,70.0,38.0,25.0,32.0,20.0,10.0,,,,,1.0,149.0,,
5122,H2H 2-1,Garbine Muguruza,0.0,5.0,8448915.0,3608924.0,,2.35,Garbine Muguruza,42.0,1.0,0.0,53.0,13.0,46.0,27.0,17.0,19.0,12.0,8.0,,,,,2.0,104.0,,,2.35,1.59,R16,6-1 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Petra Kvitova,2.0,3.0,8448915.0,3608923.0,,1.59,Petra Kvitova,62.0,4.0,3.0,51.0,22.0,50.0,30.0,22.0,20.0,18.0,9.0,,,,,1.0,104.0,,
5123,H2H 6-1,Barbora Strycova,0.0,3.0,8448911.0,3608556.0,,4.5,Barbora Strycova,59.0,7.0,5.0,69.0,33.0,59.0,43.0,20.0,16.0,6.0,10.0,,,,,2.0,131.0,,,4.5,1.2,R32,6-3 7-6(4),2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Angelique Kerber,0.0,3.0,8448911.0,3608555.0,,1.2,Angelique Kerber,72.0,8.0,6.0,62.0,36.0,66.0,41.0,25.0,25.0,11.0,11.0,,,,,1.0,131.0,,
5124,H2H 2-0,Sabine Lisicki,8.0,6.0,8448016.0,3608467.0,,3.25,Sabine Lisicki,52.0,5.0,3.0,55.0,22.0,48.0,35.0,27.0,13.0,3.0,10.0,,,,,1.0,109.0,,,3.25,1.34,R32,6-4 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Elina Svitolina,2.0,2.0,8448016.0,3608468.0,,1.34,Elina Svitolina,57.0,7.0,5.0,54.0,24.0,53.0,31.0,23.0,22.0,10.0,10.0,,,,,2.0,109.0,,
