,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 11-1,Magdalena Maleeva,F,6-3 6-4,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Conchita Martinez
1,H2H 2-0,Michelle Jaggard-Lai,SF,7-5 6-3,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Conchita Martinez
2,H2H 1-0,Shi-Ting Wang,SF,6-4 7-5,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Magdalena Maleeva
3,H2H 2-0,Angelica Gavaldon,QF,6-3 6-3,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Conchita Martinez
4,H2H 2-0,Noelle Van Lottum,QF,6-1 3-6 7-6,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Michelle Jaggard-Lai
5,H2H 1-0,Florencia Labat,QF,6-4 6-3,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Shi-Ting Wang
6,H2H 5-0,Rachel McQuillan,QF,6-3 6-2,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Magdalena Maleeva
7,H2H 6-0,Miriam Oremans,R16,6-3 3-6 6-3,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Conchita Martinez
8,H2H 1-0,Stephanie Rottier,R16,6-1 4-6 6-1,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Angelica Gavaldon
9,H2H 1-0,Natalia Baudone-Furlan,R16,6-3 7-6,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Michelle Jaggard-Lai
10,H2H 1-0,Manon Bollegraf,R16,4-6 6-2 7-5,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Noelle Van Lottum
11,H2H 3-0,Radomira Zrubakova,R16,6-1 7-5,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Florencia Labat
12,H2H 1-2,Julie Halard-Decugis,R16,6-3 6-1,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Shi-Ting Wang
13,H2H 4-1,Nicole Pratt,R16,6-4 6-3,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Rachel McQuillan
14,H2H 3-3,Lindsay Davenport,R16,6-3 6-2,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Magdalena Maleeva
15,H2H 1-0,Fang Li,R32,6-3 6-1,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Conchita Martinez
16,H2H 1-0,Joanne Limmer,R32,6-4 6-4,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Miriam Oremans
17,H2H 2-1,Sandrine Testud,R32,6-4 6-4,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Angelica Gavaldon
18,H2H 1-1,Andrea Strnadova,R32,6-2 6-2,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Stephanie Rottier
19,H2H 2-2,Sabine Appelmans,R32,7-6 1-6 6-2,1993-01-04,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1993,Brisbane,Michelle Jaggard-Lai
