,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
0,H2H 5-0,Rachel McQuillan,F,6-4 6-0,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Natalia Zvereva
1,H2H 9-0,Brenda Schultz-McCarthy,SF,6-4 6-1,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Natalia Zvereva
2,H2H 3-2,Judith Wiesner,SF,6-3 7-6,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Rachel McQuillan
3,H2H 2-3,Helena Sukova,QF,6-3 6-4,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Natalia Zvereva
4,H2H 1-0,Kristin Godridge,QF,7-5 6-3,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Brenda Schultz-McCarthy
5,H2H 1-2,Kimiko Date-Krumm,QF,6-0 6-4,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Rachel McQuillan
6,H2H 8-5,Jana Novotna,QF,7-6 6-3,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Judith Wiesner
7,H2H 5-0,Isabelle Demongeot,R16,6-2 4-6 6-2,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Helena Sukova
8,H2H 1-0,Etsuko Inoue,R16,7-5 6-4,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Natalia Zvereva
9,H2H 1-0,Kathy Rinaldi,R16,7-5 6-1,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Brenda Schultz-McCarthy
10,H2H 1-0,Radomira Zrubakova,R16,6-1 7-5,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Kristin Godridge
11,H2H 1-0,Stacey Martin,R16,6-1 6-4,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Rachel McQuillan
12,H2H 2-0,Terry Phelps,R16,6-1 6-2,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Kimiko Date-Krumm
13,H2H 2-0,Patty Fendick,R16,6-2 6-3,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Judith Wiesner
14,H2H 1-0,Michelle Jaggard-Lai,R16,6-3 6-0,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Jana Novotna
15,H2H 2-0,Petra Langrova,R32,6-3 6-4,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Helena Sukova
16,H2H 1-1,Rennae Stubbs,R32,7-6 6-3,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Isabelle Demongeot
17,H2H 2-0,Dianne  Van Rensburg,R32,7-6 6-3,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Etsuko Inoue
18,H2H 2-0,Nicole Krijger-Jagerman,R32,6-2 6-4,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Natalia Zvereva
19,H2H 2-0,Kristine Kunce,R32,4-6 6-3 6-3,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Brenda Schultz-McCarthy
20,H2H 3-0,Maya Kidowaki,R32,6-2 4-6 6-4,1990-01-01,hard,https://matchstat.com/tennis/tournaments/w/Brisbane/1990,Brisbane,Kathy Rinaldi
