,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
31,,G Dabrowski / Z Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,7-5 3-6 10-7,grass,A Hlavackova / S Peng,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
32,,K Pliskova / K Pliskova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,WO,grass,A Hlavackova / S Peng,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
33,,N Broady / A Sevastova,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,1.62,SF,6-4 6-2,grass,G Dabrowski / Z Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
34,,H Chan / Y Chan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-2 7-6(3),grass,A Hlavackova / S Peng,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
35,,X Han / Y Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-4 6-3,grass,K Pliskova / K Pliskova,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
36,,A Kudryavtseva / L Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,2.15,QF,6-2 6-2,grass,G Dabrowski / Z Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
37,,Y Xu / S Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,2-6 7-5 10-6,grass,N Broady / A Sevastova,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
38,,R Olaru / A Tatishvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,4-6 6-3 13-11,grass,H Chan / Y Chan,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
39,,N Melichar / A Rosolska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-2 6-4,grass,A Hlavackova / S Peng,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
40,,O Savchuk / K Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(1) 6-1,grass,X Han / Y Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
41,,F Christie / L Robson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-7(2) 6-4 12-10,grass,K Pliskova / K Pliskova,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
42,,J Rae / A Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,1.82,R16,6-3 3-6 10-6,grass,A Kudryavtseva / L Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
43,,C Buyukakcay / K Nara,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.62,R16,6-3 6-2,grass,G Dabrowski / Z Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
44,,S Aoyama / R Voracova,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,2.35,R16,3-6 6-2 11-9,grass,N Broady / A Sevastova,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
45,,L Davis / C McHale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-3 2-6 10-8,grass,Y Xu / S Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
46,H2H 1-0,Katie Boulter,3.0,2.0,8394894.0,3557786.0,,2.62,Katie Boulter,23.0,3.0,0.0,39.0,9.0,38.0,21.0,11.0,17.0,3.0,6.0,,,,,2.0,79.0,,,2.62,1.44,FQ,6-0 6-1,grass,Kai-Lin Zhang,1.0,4.0,8394894.0,3557785.0,,1.44,Kai-Lin Zhang,56.0,8.0,5.0,40.0,26.0,35.0,23.0,19.0,12.0,11.0,7.0,,,,,1.0,79.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
47,H2H 2-0,Tamira Paszek,1.0,3.0,8394895.0,3557773.0,,2.375,Tamira Paszek,41.0,2.0,1.0,48.0,15.0,47.0,36.0,20.0,11.0,6.0,8.0,,,,,1.0,98.0,,,2.38,1.53,FQ,6-4 6-1,grass,Ashleigh Barty,2.0,2.0,8394895.0,3557774.0,,1.533,Ashleigh Barty,57.0,6.0,4.0,50.0,24.0,46.0,28.0,22.0,18.0,11.0,9.0,,,,,2.0,98.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
48,H2H 1-0,Andrea Hlavackova,5.0,7.0,8394896.0,3557812.0,,2.1,Andrea Hlavackova,99.0,18.0,6.0,109.0,47.0,97.0,51.0,30.0,46.0,22.0,15.0,,,,,2.0,213.0,,,2.10,1.70,FQ,6-2 4-6 7-6(2),grass,Michelle Larcher De Brito,4.0,7.0,8394896.0,3557811.0,,1.7,Michelle Larcher De Brito,114.0,13.0,7.0,104.0,52.0,102.0,66.0,44.0,36.0,18.0,15.0,,,,,1.0,213.0,,,2016-06-06,https://matchstat.com/tennis/tournaments/w/Nottingham/2016,Nottingham
