,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
21,H2H 1-0,Lucie Hradecka,6.0,7.0,8412060.0,3573321.0,,1.72,Lucie Hradecka,63.0,7.0,3.0,59.0,25.0,71.0,36.0,25.0,35.0,13.0,10.0,,,,,1.0,137.0,,,1.72,2.00,R32,6-2 7-5,clay,Irina Khromacheva,1.0,5.0,8412060.0,3573322.0,,2.0,Irina Khromacheva,74.0,11.0,6.0,78.0,40.0,54.0,30.0,22.0,24.0,12.0,10.0,,,,,2.0,137.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
22,H2H 3-0,Jana Cepelova,3.0,5.0,8412061.0,3573323.0,,2.5,Jana Cepelova,39.0,0.0,0.0,48.0,12.0,51.0,30.0,18.0,21.0,9.0,7.0,,,,,1.0,104.0,,,2.50,1.50,R32,6-0 6-3,clay,Julia Goerges,7.0,0.0,8412061.0,3573324.0,,1.5,Julia Goerges,65.0,10.0,4.0,56.0,29.0,48.0,26.0,22.0,22.0,14.0,8.0,,,,,2.0,104.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
23,H2H 1-0,Mona Barthel,2.0,7.0,8412062.0,3573295.0,,2.0,Mona Barthel,91.0,10.0,4.0,102.0,46.0,78.0,45.0,30.0,33.0,15.0,13.0,,,,,1.0,187.0,,,2.00,1.75,R32,2-6 6-1 7-5,clay,Viktorija Golubic,1.0,4.0,8412062.0,3573296.0,,1.75,Viktorija Golubic,96.0,8.0,5.0,85.0,40.0,98.0,69.0,43.0,29.0,13.0,14.0,,,,,2.0,187.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
24,H2H 1-0,Barbara Haas,0.0,6.0,8412063.0,3573548.0,,1.77,Barbara Haas,77.0,14.0,7.0,88.0,50.0,69.0,49.0,20.0,20.0,7.0,10.0,,,,,2.0,163.0,,,1.77,2.05,R32,6-3 7-6(8),clay,Evgeniya Rodina,0.0,10.0,8412063.0,3573547.0,,2.05,Evgeniya Rodina,86.0,13.0,8.0,75.0,48.0,78.0,60.0,28.0,18.0,10.0,11.0,,,,,1.0,163.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
25,H2H 1-0,Stefanie Voegele,3.0,3.0,8412064.0,3573318.0,,3.0,Stefanie Voegele,92.0,15.0,6.0,98.0,48.0,95.0,54.0,32.0,41.0,12.0,14.0,,,,,2.0,196.0,,,3.00,1.36,R32,6-4 4-6 6-1,clay,Carina Witthoeft,1.0,10.0,8412064.0,3573317.0,,1.36,Carina Witthoeft,104.0,15.0,9.0,98.0,54.0,88.0,47.0,28.0,41.0,22.0,13.0,,,,,1.0,196.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
26,H2H 1-0,Caroline Garcia,10.0,7.0,8412065.0,3573320.0,,1.36,Caroline Garcia,89.0,8.0,1.0,100.0,33.0,88.0,44.0,31.0,44.0,25.0,14.0,,,,,2.0,195.0,,,1.36,3.00,R32,6-7(5) 6-1 6-4,clay,Lara Arruabarrena,3.0,6.0,8412065.0,3573319.0,,3.0,Lara Arruabarrena,106.0,13.0,4.0,95.0,39.0,94.0,56.0,45.0,38.0,22.0,15.0,,,,,1.0,195.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
27,H2H 1-1,Marina Erakovic,2.0,7.0,8412066.0,3573314.0,,2.5,Marina Erakovic,96.0,13.0,6.0,115.0,55.0,78.0,56.0,33.0,22.0,8.0,15.0,,,,,2.0,200.0,,,2.50,1.50,R32,3-6 6-2 7-5,clay,Annika Beck,2.0,3.0,8412066.0,3573313.0,,1.5,Annika Beck,104.0,11.0,8.0,85.0,44.0,112.0,93.0,52.0,19.0,8.0,14.0,,,,,1.0,200.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
28,H2H 1-0,Patty Schnyder,1.0,3.0,8412067.0,3573315.0,,3.5,Patty Schnyder,111.0,14.0,8.0,109.0,57.0,107.0,64.0,35.0,43.0,19.0,15.0,,,,,1.0,219.0,,,3.50,1.28,R32,2-6 7-5 6-4,clay,Katerina Siniakova,0.0,8.0,8412067.0,3573316.0,,1.28,Katerina Siniakova,108.0,24.0,8.0,110.0,56.0,101.0,66.0,35.0,35.0,17.0,15.0,,,,,2.0,219.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
29,H2H 2-1,Maria Sakkari,2.0,1.0,8412068.0,3573309.0,,1.72,Maria Sakkari,54.0,2.0,0.0,71.0,24.0,53.0,40.0,25.0,13.0,5.0,9.0,,,,,1.0,125.0,,,1.72,2.00,R32,7-5 6-1,clay,Anett Kontaveit,4.0,4.0,8412068.0,3573310.0,,2.0,Anett Kontaveit,71.0,4.0,3.0,54.0,24.0,67.0,32.0,26.0,35.0,21.0,10.0,,,,,2.0,125.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
30,H2H 1-0,Jelena Jankovic,0.0,4.0,8412069.0,3573312.0,,1.1,Jelena Jankovic,81.0,7.0,5.0,84.0,38.0,76.0,51.0,28.0,25.0,15.0,12.0,,,,,2.0,164.0,,,1.10,7.00,R32,1-6 6-4 6-2,clay,Rebeka Masarova,4.0,1.0,8412069.0,3573311.0,,7.0,Rebeka Masarova,83.0,10.0,5.0,80.0,37.0,83.0,52.0,29.0,31.0,17.0,13.0,,,,,1.0,164.0,,,2016-07-11,https://matchstat.com/tennis/tournaments/w/Gstaad/2016,Gstaad
