,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
37,,J Konta / E Svitolina,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10,1.70,QF,6-2 7-6(5),grass,N Broady / H Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
38,,K Bondarenko / O Savchuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 7-6(5),grass,H Chan / Y Chan,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
39,,M Doi / K Nara,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,1.64,R16,6-3 4-6 10-8,grass,C Chuang / A Pavlyuchenkova,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
40,,S Peng / Y Xu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-1 7-6(2),grass,A Klepac / K Srebotnik,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
41,,A Krunic / A Rosolska,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,1.37,R16,7-6(3) 7-6(4),grass,V King / A Kudryavtseva,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
42,,I Begu / R Olaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,2-6 6-0 10-8,grass,K Pliskova / B Strycova,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
43,,A Hlavackova / L Safarova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-3 1-6 10-6,grass,D Jurak / A Rodionova,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
44,,T Babos / O Kalashnikova,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,2.75,R16,2-6 6-3 10-1,grass,J Konta / E Svitolina,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
45,,S Mirza / C Vandeweghe,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,4.00,R16,6-4 6-4,grass,N Broady / H Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
46,H2H 2-2,Anna Tatishvili,1.0,2.0,8399691.0,3560800.0,,2.45,Anna Tatishvili,54.0,10.0,1.0,81.0,31.0,46.0,33.0,15.0,13.0,8.0,8.0,,,,,2.0,129.0,,,2.45,1.50,FQ,6-3 6-2,grass,Tamira Paszek,4.0,2.0,8399691.0,3560799.0,,1.5,Tamira Paszek,75.0,6.0,4.0,48.0,25.0,79.0,52.0,39.0,27.0,11.0,9.0,,,,,1.0,129.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
47,H2H 3-2,Kateryna Bondarenko,3.0,7.0,8399692.0,3560801.0,,2.05,Kateryna Bondarenko,63.0,3.0,3.0,63.0,25.0,67.0,51.0,31.0,16.0,7.0,11.0,,,,,1.0,137.0,,,2.05,1.70,FQ,7-5 6-4,grass,Tsvetana Pironkova,0.0,2.0,8399692.0,3560802.0,,1.7,Tsvetana Pironkova,74.0,11.0,5.0,74.0,36.0,61.0,40.0,25.0,21.0,13.0,11.0,,,,,2.0,137.0,,,2016-06-13,https://matchstat.com/tennis/tournaments/w/Birmingham/2016,Birmingham
